PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,SEASON_TYPE
202704,Reggie Jackson,DEN,2023-10-24,DEN vs. LAL,W,24,8,3,1,1,0,2,0.375,0.4,,11,Regular Season
203932,Aaron Gordon,DEN,2023-10-24,DEN vs. LAL,W,35,15,7,5,2,1,0,0.636,0.5,,6,Regular Season
203999,Nikola Jokić,DEN,2023-10-24,DEN vs. LAL,W,36,29,13,11,1,1,2,0.545,0.6,0.5,15,Regular Season
1629008,Michael Porter Jr.,DEN,2023-10-24,DEN vs. LAL,W,30,12,12,2,2,0,0,0.385,0.222,,12,Regular Season
1629618,Jalen Pickett,DEN,2023-10-24,DEN vs. LAL,W,1,2,0,0,0,0,0,1.0,,,0,Regular Season
1630296,Braxton Key,DEN,2023-10-24,DEN vs. LAL,W,1,0,0,0,0,0,0,,,,0,Regular Season
1631221,Collin Gillespie,DEN,2023-10-24,DEN vs. LAL,W,1,0,0,0,0,0,0,,,,0,Regular Season
202691,Klay Thompson,GSW,2023-10-24,GSW vs. PHX,L,36,15,7,3,0,1,3,0.333,0.273,,9,Regular Season
203967,Dario Saric,GSW,2023-10-24,GSW vs. PHX,L,20,7,7,1,0,2,0,0.273,0.333,,7,Regular Season
1627780,Gary Payton II,GSW,2023-10-24,GSW vs. PHX,L,22,1,2,2,3,0,0,0.0,0.0,0.5,15,Regular Season
1629629,Cam Reddish,LAL,2023-10-24,LAL @ DEN,L,18,7,4,0,0,1,0,0.5,0.5,1.0,7,Regular Season
1626164,Devin Booker,PHX,2023-10-24,PHX @ GSW,W,37,32,6,8,1,0,6,0.619,0.375,1.0,5,Regular Season
1631212,Peyton Watson,DEN,2023-10-24,DEN vs. LAL,W,11,3,0,0,0,1,1,0.333,0.333,,1,Regular Season
1626172,Kevon Looney,GSW,2023-10-24,GSW vs. PHX,L,28,7,11,1,0,0,2,0.5,,1.0,-11,Regular Season
1629060,Rui Hachimura,LAL,2023-10-24,LAL @ DEN,L,15,6,3,0,0,0,0,0.3,0.0,,-8,Regular Season
1629216,Gabe Vincent,LAL,2023-10-24,LAL @ DEN,L,22,6,1,2,1,0,2,0.375,0.0,,-17,Regular Season
1631108,Max Christie,LAL,2023-10-24,LAL @ DEN,L,1,0,0,0,0,0,0,,,,0,Regular Season
1629234,Drew Eubanks,PHX,2023-10-24,PHX @ GSW,W,19,4,7,2,0,3,3,0.333,,0.5,-2,Regular Season
1627750,Jamal Murray,DEN,2023-10-24,DEN vs. LAL,W,34,21,2,6,0,1,1,0.615,0.6,1.0,3,Regular Season
1631128,Christian Braun,DEN,2023-10-24,DEN vs. LAL,W,19,5,3,2,0,1,1,0.4,0.0,0.5,5,Regular Season
1626156,D'Angelo Russell,LAL,2023-10-24,LAL @ DEN,L,36,11,4,7,1,0,3,0.333,0.4,0.5,1,Regular Season
1629642,Nassir Little,PHX,2023-10-24,PHX @ GSW,W,3,3,1,0,1,0,0,1.0,1.0,,-3,Regular Season
203484,Kentavious Caldwell-Pope,DEN,2023-10-24,DEN vs. LAL,W,36,20,2,1,3,1,3,0.667,0.667,1.0,10,Regular Season
1630192,Zeke Nnaji,DEN,2023-10-24,DEN vs. LAL,W,12,4,0,1,0,0,1,0.333,0.0,1.0,-3,Regular Season
201939,Stephen Curry,GSW,2023-10-24,GSW vs. PHX,L,31,27,5,1,1,0,2,0.4,0.286,1.0,-9,Regular Season
203952,Andrew Wiggins,GSW,2023-10-24,GSW vs. PHX,L,27,10,1,0,0,1,0,0.333,0.0,0.667,-22,Regular Season
