PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1630649,Stanley Umude,DET,3.93,18.02,21.95,2022-23,3.9,17.58,21.48,4,Regular Season
1630648,Jordan Schakel,WAS,4.75,5.96,10.71,2022-23,4.64,6.12,10.76,10,Regular Season
1628416,Tyler Dorsey,DAL,9.72,-0.88,8.84,2022-23,10.02,-1.02,9.0,15,Regular Season
203999,Nikola Jokić,DEN,3.3,1.03,4.33,2022-23,3.28,1.06,4.34,4866,Regular Season
1629685,Dylan Windler,CLE,2.7,0.97,3.67,2022-23,2.9,0.89,3.79,16,Regular Season
202710,Jimmy Butler III,MIA,2.86,0.46,3.32,2022-23,2.86,0.41,3.27,4326,Regular Season
203954,Joel Embiid,PHI,2.64,0.64,3.28,2022-23,2.68,0.5,3.18,4632,Regular Season
1630169,Tyrese Haliburton,IND,2.77,0.34,3.11,2022-23,2.78,0.36,3.14,3992,Regular Season
203081,Damian Lillard,POR,3.36,-0.34,3.02,2022-23,3.38,-0.4,2.98,4394,Regular Season
1629029,Luka Dončić,DAL,2.58,0.38,2.96,2022-23,2.59,0.36,2.95,4886,Regular Season
1627885,Shaquille Harrison,LAL,0.74,2.13,2.87,2022-23,0.69,2.18,2.87,260,Regular Season
1628425,Sterling Brown,LAL,0.18,2.54,2.72,2022-23,0.28,2.47,2.75,60,Regular Season
201142,Kevin Durant,PHX,2.14,0.44,2.58,2022-23,2.17,0.34,2.51,3466,Regular Season
1630241,Sam Merrill,CLE,1.09,1.39,2.48,2022-23,1.12,1.48,2.6,118,Regular Season
201939,Stephen Curry,GSW,2.72,-0.25,2.47,2022-23,2.79,-0.28,2.51,4242,Regular Season
1628396,Tony Bradley,CHI,1.21,1.19,2.4,2022-23,1.24,1.2,2.44,73,Regular Season
1628983,Shai Gilgeous-Alexander,OKC,2.1,0.25,2.35,2022-23,2.12,0.13,2.25,5234,Regular Season
202695,Kawhi Leonard,LAC,1.72,0.54,2.26,2022-23,1.74,0.52,2.26,3581,Regular Season
201935,James Harden,PHI,2.05,0.17,2.22,2022-23,2.02,0.18,2.2,4282,Regular Season
1630643,Jay Huff,WAS,1.86,0.29,2.15,2022-23,1.85,0.28,2.13,212,Regular Season
1631165,Keon Ellis,SAC,1.2,0.89,2.09,2022-23,1.19,0.93,2.12,142,Regular Season
203076,Anthony Davis,LAL,1.15,0.94,2.09,2022-23,1.15,0.9,2.05,4083,Regular Season
204001,Kristaps Porziņģis,WAS,1.1,0.95,2.05,2022-23,1.06,0.93,1.99,4410,Regular Season
1628371,Jonathan Isaac,ORL,-0.7,2.74,2.04,2022-23,-0.71,2.84,2.13,260,Regular Season
1626153,Delon Wright,WAS,0.69,1.34,2.03,2022-23,0.66,1.4,2.06,2538,Regular Season
101108,Chris Paul,PHX,1.28,0.64,1.92,2022-23,1.25,0.69,1.94,3851,Regular Season
202681,Kyrie Irving,DAL,1.84,-0.04,1.8,2022-23,1.87,-0.07,1.8,4595,Regular Season
1628378,Donovan Mitchell,CLE,1.89,-0.12,1.77,2022-23,1.95,-0.17,1.78,4920,Regular Season
1627734,Domantas Sabonis,SAC,1.6,0.15,1.75,2022-23,1.57,0.2,1.77,5748,Regular Season
1629663,Louis King,PHI,2.38,-0.64,1.74,2022-23,2.46,-0.65,1.81,62,Regular Season
1629651,Nic Claxton,BKN,0.11,1.59,1.7,2022-23,0.08,1.57,1.65,4660,Regular Season
1628369,Jayson Tatum,BOS,1.64,0.06,1.7,2022-23,1.68,0.02,1.7,5693,Regular Season
203507,Giannis Antetokounmpo,MIL,1.49,0.18,1.67,2022-23,1.45,0.12,1.57,4345,Regular Season
1630620,Darius Days,HOU,1.48,0.18,1.66,2022-23,1.5,0.23,1.73,52,Regular Season
1630267,Facundo Campazzo,DAL,-0.63,2.29,1.66,2022-23,-0.61,2.3,1.69,101,Regular Season
1630219,Skylar Mays,POR,1.72,-0.06,1.66,2022-23,1.71,-0.04,1.67,412,Regular Season
1626167,Myles Turner,IND,0.45,1.16,1.61,2022-23,0.43,1.1,1.53,3854,Regular Season
1628991,Jaren Jackson Jr.,MEM,0.11,1.49,1.6,2022-23,0.11,1.39,1.5,3839,Regular Season
203490,Otto Porter Jr.,TOR,0.17,1.34,1.51,2022-23,0.12,1.39,1.51,305,Regular Season
1627739,Kris Dunn,UTA,0.9,0.54,1.44,2022-23,0.9,0.55,1.45,1253,Regular Season
