PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_IPM,D_IPM,IPM,IPM_POSS,WPA
1628404,Josh Hart,1610612752,NYK,30.0,Playoffs,18,35.7,0.556,11.6,8.8,2.4,6.3,4.4,1.1,0.6,1.9,3.4,0.472,0.37,0.776,0.542,0.599,0.14,0.179,2.29,27.6,12.1,0.066,0.179,0.122,111.7,112.1,-0.4,96.35,0.112,0.3,109.4,109.5,-0.1,0.142,-0.4,0.1,-0.5,11.9,45.89666666666667,0.78,0.67,1.45,0.56,0.5597,-0.0181,144.0,3.3,23.0,,,,,,,,,
203944,Julius Randle,1610612750,MIN,30.0,Playoffs,15,35.6,0.6,21.7,5.9,1.8,4.1,4.9,0.8,0.1,3.3,3.0,0.502,0.385,0.88,0.568,0.622,0.249,0.233,1.51,19.2,12.7,0.051,0.114,0.083,113.2,109.7,3.5,96.13,0.137,2.7,110.8,109.4,1.4,0.256,3.5,1.4,2.1,80.8,13.935,2.83,-0.83,2.0,0.54,0.5292,0.0385,229.0,8.0,40.1,,,,,,,,,
1630558,Davion Mitchell,1610612748,MIA,26.0,Playoffs,4,35.5,0.0,15.0,2.3,0.5,1.8,6.3,0.8,0.3,2.0,2.8,0.61,0.5,0.429,0.695,0.681,0.168,0.287,3.13,32.5,10.4,0.014,0.055,0.033,106.2,136.5,-30.3,92.7,0.092,-20.8,105.5,134.0,-28.5,0.171,-30.3,-43.8,13.5,-58.7,4.155,1.02,-4.65,-3.62,-0.06,0.5214,0.1737,41.0,8.3,32.0,,,,,,,,,
1626157,Karl-Anthony Towns,1610612752,NYK,29.0,Playoffs,18,35.5,0.556,21.4,11.6,2.1,9.5,1.3,0.7,0.7,2.2,4.3,0.488,0.351,0.845,0.533,0.589,0.24,0.063,0.6,6.2,10.4,0.057,0.271,0.161,111.4,111.8,-0.4,96.4,0.143,1.1,108.7,109.6,-0.9,0.249,-0.4,-0.9,0.5,15.0,42.87833333333333,0.93,-1.1,-0.17,0.29,0.5308,0.0044,284.0,2.7,31.6,,,,,,,,,
1629029,Luka Dončić,1610612747,LAL,26.0,Regular Season,50,35.4,0.62,28.2,8.2,0.8,7.4,7.7,1.8,0.4,3.6,2.5,0.45,0.368,0.782,0.536,0.587,0.328,0.342,2.14,21.8,10.2,0.023,0.198,0.112,119.6,110.5,9.1,100.22,0.17,6.9,118.7,109.6,9.2,0.335,8.4,-4.5,12.9,6.2,79.05333333333333,5.75,1.25,6.99,4.1,0.5151,0.022,1023.0,13.6,54.9,3.17,1.0,4.17,7384.0,2.9,0.99,3.89,7384.0,31.25
1629639,Tyler Herro,1610612748,MIA,25.0,Regular Season,77,35.4,0.481,23.9,5.2,0.5,4.7,5.5,0.9,0.2,2.6,1.1,0.472,0.375,0.878,0.563,0.605,0.271,0.254,2.14,20.0,9.3,0.013,0.132,0.073,113.9,112.6,1.3,97.78,0.139,1.3,112.9,112.0,0.9,0.279,1.3,-2.4,3.7,-11.8,175.91166666666666,4.1,-0.49,3.61,3.48,0.5224,0.0419,1376.0,9.0,43.1,2.21,-1.34,0.87,11064.0,2.03,-1.18,0.85,11064.0,49.55
1628973,Jalen Brunson,1610612752,NYK,28.0,Regular Season,65,35.4,0.615,26.0,2.9,0.4,2.5,7.3,0.9,0.1,2.5,2.1,0.488,0.383,0.821,0.551,0.605,0.289,0.318,2.9,23.5,8.1,0.012,0.072,0.042,118.3,115.7,2.6,97.79,0.138,2.2,116.4,115.3,1.0,0.295,2.6,6.2,-3.6,5.7,135.34,4.45,-1.29,3.16,2.99,0.5111,0.0397,1200.0,12.5,49.8,1.6,-2.18,-0.58,9368.0,2.08,-1.73,0.35,9368.0,44.69
201935,James Harden,1610612746,LAC,35.0,Regular Season,79,35.3,0.633,22.8,5.8,0.7,5.1,8.7,1.5,0.7,4.3,2.1,0.41,0.352,0.874,0.501,0.582,0.286,0.365,2.01,26.9,13.4,0.02,0.143,0.083,115.4,109.2,6.2,98.82,0.145,4.4,113.7,108.0,5.7,0.294,6.2,2.2,4.0,1.6,131.69166666666666,3.6,0.73,4.32,4.47,0.5219,-0.0211,1295.0,13.0,51.2,0.69,-0.03,0.66,11539.0,0.94,0.11,1.05,11539.0,44.26
203897,Zach LaVine,1610612758,SAC,30.0,Regular Season,74,35.2,0.432,23.3,4.3,0.3,4.0,4.2,0.8,0.2,2.8,1.6,0.511,0.446,0.825,0.609,0.639,0.251,0.178,1.49,16.7,11.2,0.009,0.107,0.059,115.4,116.8,-1.4,101.28,0.115,-0.9,114.4,115.3,-0.9,0.257,0.5,-8.7,9.2,-10.9,114.17,2.51,-1.61,0.9,1.88,0.5424,0.0663,1223.0,7.4,37.8,1.6,-1.6,0.0,10999.0,1.43,-1.6,-0.17,10999.0,39.24
1627832,Fred VanVleet,1610612745,HOU,31.0,Regular Season,60,35.2,0.683,14.1,3.7,0.5,3.2,5.6,1.6,0.4,1.5,2.3,0.378,0.345,0.81,0.483,0.515,0.176,0.217,3.83,27.0,7.1,0.014,0.089,0.049,115.0,108.8,6.2,98.18,0.093,4.4,111.9,107.2,4.7,0.18,6.2,2.9,3.3,1.9,118.54666666666668,-0.49,1.06,0.57,1.34,0.522,-0.034,751.0,4.9,30.5,1.01,1.35,2.36,8733.0,0.51,1.21,1.72,8733.0,19.38
