GROUP_ID,PLAYERS,TEAM_ABBREVIATION,POSS_OFF,POSS_DEF,NET_ACTUAL,NET_EXPECTED,CHEMISTRY,SEASON,SEASON_TYPE
-203992-1629027-1630168-1630180-1630552-,B. Bogdanović - T. Young - O. Okongwu - S. Bey - J. Johnson,ATL,111,113,59.9,4.4,55.5,2022-23,Regular Season
-1626167-1627741-1630169-1630174-1631097-,M. Turner - B. Hield - T. Haliburton - A. Nesmith - B. Mathurin,IND,147,143,35.1,-3.1,38.2,2022-23,Regular Season
-201143-1627759-1628369-1628401-1629057-,A. Horford - J. Brown - J. Tatum - D. White - R. Williams III,BOS,138,142,48.1,10.0,38.1,2022-23,Regular Season
-1626204-1628984-1629627-1630230-1630631-,L. Nance Jr. - D. Graham - Z. Williamson - N. Marshall - J. Alvarado,NOP,115,112,41.6,4.5,37.1,2022-23,Regular Season
-1628392-1628404-1629628-1630167-1630540-,I. Hartenstein - J. Hart - R. Barrett - O. Toppin - M. McBride,NYK,104,108,41.6,5.7,35.9,2022-23,Regular Season
-204001-1628398-1628420-1629655-1630557-,K. Porziņģis - K. Kuzma - M. Morris - D. Gafford - C. Kispert,WAS,159,155,31.5,-1.2,32.7,2022-23,Regular Season
-1629645-1630224-1630231-1630578-1631106-,K. Porter Jr. - J. Green - K. Martin - A. Sengun - T. Eason,HOU,159,153,27.3,-3.1,30.3,2022-23,Regular Season
-201976-202696-203897-1629632-1630172-,P. Beverley - N. Vučević - Z. LaVine - C. White - P. Williams,CHI,130,128,24.6,-2.0,26.7,2022-23,Regular Season
-202691-203110-1628978-1629673-1630228-,K. Thompson - D. Green - D. DiVincenzo - J. Poole - J. Kuminga,GSW,135,141,25.9,-0.1,26.0,2022-23,Regular Season
-200782-202699-203954-1629680-1630178-,P. Tucker - T. Harris - J. Embiid - M. Thybulle - T. Maxey,PHI,106,104,32.2,7.7,24.5,2022-23,Regular Season
-1627747-1628378-1628386-1629731-1630596-,C. LeVert - D. Mitchell - J. Allen - D. Wade - E. Mobley,CLE,109,111,26.4,2.4,24.1,2022-23,Regular Season
-203484-203932-203999-1628971-1631128-,K. Caldwell-Pope - A. Gordon - N. Jokić - B. Brown - C. Braun,DEN,141,140,30.9,6.8,24.0,2022-23,Regular Season
-101108-1627814-1628470-1628969-1629028-,C. Paul - D. Lee - T. Craig - M. Bridges - D. Ayton,PHX,147,146,19.6,-2.5,22.1,2022-23,Regular Season
-201569-1630227-1630231-1630578-1631095-,E. Gordon - D. Nix - K. Martin - A. Sengun - J. Smith Jr.,HOU,108,103,10.9,-11.1,22.0,2022-23,Regular Season
-201144-203497-203937-1627752-1630183-,M. Conley - R. Gobert - K. Anderson - T. Prince - J. McDaniels,MIN,116,115,19.7,-1.7,21.3,2022-23,Regular Season
-203926-1626169-1626196-1628380-1631103-,D. McDermott - S. Johnson - J. Richardson - Z. Collins - M. Branham,SAS,111,113,13.9,-6.5,20.4,2022-23,Regular Season
-203488-1628983-1629652-1630581-1631114-,M. Muscala - S. Gilgeous-Alexander - L. Dort - J. Giddey - J. Williams,OKC,172,173,22.4,2.0,20.4,2022-23,Regular Season
-1627783-1628384-1629018-1630567-1631132-,P. Siakam - O. Anunoby - G. Trent Jr. - S. Barnes - C. Koloko,TOR,139,137,24.6,4.6,19.9,2022-23,Regular Season
-2544-201976-203471-1628418-1628972-,L. James - P. Beverley - D. Schröder - T. Bryant - T. Brown Jr.,LAL,249,251,19.3,-0.3,19.6,2022-23,Regular Season
-201933-203935-1627759-1628369-1628401-,B. Griffin - M. Smart - J. Brown - J. Tatum - D. White,BOS,144,144,26.9,7.3,19.6,2022-23,Regular Season
-203486-1626162-1626179-1628372-1629023-,M. Plumlee - K. Oubre Jr. - T. Rozier - D. Smith Jr. - P. Washington,CHA,104,108,9.4,-8.3,17.7,2022-23,Regular Season
-1628415-1628991-1629630-1629634-1630217-,D. Brooks - J. Jackson Jr. - J. Morant - B. Clarke - D. Bane,MEM,116,117,24.1,7.2,16.9,2022-23,Regular Season
-203506-1628389-1628997-1629622-1629639-,V. Oladipo - B. Adebayo - C. Martin - M. Strus - T. Herro,MIA,152,154,15.5,-1.2,16.7,2022-23,Regular Season
-203932-203999-1627750-1628971-1629008-,A. Gordon - N. Jokić - J. Murray - B. Brown - M. Porter Jr.,DEN,123,120,27.1,10.5,16.6,2022-23,Regular Season
-1629645-1630224-1630231-1631095-1631106-,K. Porter Jr. - J. Green - K. Martin - J. Smith Jr. - T. Eason,HOU,121,121,3.3,-12.9,16.2,2022-23,Regular Season
-1626153-1628398-1629060-1629655-1630166-,D. Wright - K. Kuzma - R. Hachimura - D. Gafford - D. Avdija,WAS,113,120,17.7,1.4,16.2,2022-23,Regular Season
-201939-202691-203110-203952-1626172-,S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,GSW,705,707,23.4,7.3,16.2,2022-23,Regular Season
-101108-1626164-1628969-1629028-1629661-,C. Paul - D. Booker - M. Bridges - D. Ayton - C. Johnson,PHX,166,164,21.0,4.9,16.1,2022-23,Regular Season
-201143-203935-1627759-1628401-1629684-,A. Horford - M. Smart - J. Brown - D. White - G. Williams,BOS,152,153,22.5,6.4,16.0,2022-23,Regular Season
-200768-202710-1628389-1628997-1629622-,K. Lowry - J. Butler III - B. Adebayo - C. Martin - M. Strus,MIA,205,203,15.6,0.1,15.5,2022-23,Regular Season
-203084-1626168-1628368-1628370-1629002-,H. Barnes - T. Lyles - D. Fox - M. Monk - C. Metu,SAC,182,183,20.3,4.9,15.4,2022-23,Regular Season
-203501-1626174-1628467-1629029-1630182-,T. Hardaway Jr. - C. Wood - M. Kleber - L. Dončić - J. Green,DAL,128,122,16.6,1.7,14.9,2022-23,Regular Season
-1626196-1627751-1629640-1630200-1631110-,J. Richardson - J. Poeltl - K. Johnson - T. Jones - J. Sochan,SAS,131,129,7.8,-7.1,14.9,2022-23,Regular Season
-203500-1629630-1629723-1630217-1630583-,S. Adams - J. Morant - J. Konchar - D. Bane - S. Aldama,MEM,127,129,25.2,10.4,14.8,2022-23,Regular Season
-201942-202696-203897-1629632-1630172-,D. DeRozan - N. Vučević - Z. LaVine - C. White - P. Williams,CHI,164,169,15.3,0.9,14.4,2022-23,Regular Season
-200782-202699-203954-1629001-1630178-,P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,178,180,18.3,3.9,14.4,2022-23,Regular Season
-204456-1629052-1630174-1630543-1631097-,T. McConnell - O. Brissett - A. Nesmith - I. Jackson - B. Mathurin,IND,103,104,13.6,-0.7,14.3,2022-23,Regular Season
-201609-201942-203083-1627884-1629632-,G. Dragic - D. DeRozan - A. Drummond - D. Jones Jr. - C. White,CHI,126,125,17.8,3.7,14.1,2022-23,Regular Season
-203482-203903-1628374-1629012-1629020-,K. Olynyk - J. Clarkson - L. Markkanen - C. Sexton - J. Vanderbilt,UTA,276,277,14.8,0.8,14.0,2022-23,Regular Season
-202710-1628389-1628997-1629216-1629639-,J. Butler III - B. Adebayo - C. Martin - G. Vincent - T. Herro,MIA,284,288,18.7,4.7,14.0,2022-23,Regular Season
-203084-1627734-1628370-1630558-1631099-,H. Barnes - D. Sabonis - M. Monk - D. Mitchell - K. Murray,SAC,127,129,16.0,2.1,13.9,2022-23,Regular Season
-101108-1628470-1628969-1629028-1629661-,C. Paul - T. Craig - M. Bridges - D. Ayton - C. Johnson,PHX,193,200,16.2,2.5,13.8,2022-23,Regular Season
-201566-202331-202694-202695-1627826-,R. Westbrook - P. George - M. Morris Sr. - K. Leonard - I. Zubac,LAC,238,239,14.5,0.7,13.8,2022-23,Regular Season
-201569-1628981-1629645-1630224-1631095-,E. Gordon - B. Fernando - K. Porter Jr. - J. Green - J. Smith Jr.,HOU,106,107,2.1,-11.0,13.1,2022-23,Regular Season
-202681-203493-203501-203939-1629029-,K. Irving - R. Bullock Jr. - T. Hardaway Jr. - D. Powell - L. Dončić,DAL,148,152,20.3,7.3,13.0,2022-23,Regular Season
-203484-203999-1628427-1628971-1629008-,K. Caldwell-Pope - N. Jokić - V. Čančar - B. Brown - M. Porter Jr.,DEN,166,168,19.6,6.9,12.7,2022-23,Regular Season
-2544-203076-1626156-1629020-1630559-,L. James - A. Davis - D. Russell - J. Vanderbilt - A. Reaves,LAL,169,165,20.1,7.4,12.7,2022-23,Regular Season
-203084-1627734-1628368-1628370-1628989-,H. Barnes - D. Sabonis - D. Fox - M. Monk - K. Huerter,SAC,160,158,13.5,0.8,12.6,2022-23,Regular Season
-1628365-1628976-1630532-1630591-1631094-,M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,126,117,7.2,-5.2,12.3,2022-23,Regular Season
-204456-1629052-1630188-1630537-1631097-,T. McConnell - O. Brissett - J. Smith - C. Duarte - B. Mathurin,IND,146,145,5.9,-5.9,11.8,2022-23,Regular Season
-1626167-1627741-1629614-1630169-1631097-,M. Turner - B. Hield - A. Nembhard - T. Haliburton - B. Mathurin,IND,242,227,7.3,-4.5,11.8,2022-23,Regular Season
-202330-203486-1626179-1629023-1629667-,G. Hayward - M. Plumlee - T. Rozier - P. Washington - J. McDaniels,CHA,100,103,7.6,-4.0,11.6,2022-23,Regular Season
-201566-201976-203076-1629022-1630559-,R. Westbrook - P. Beverley - A. Davis - L. Walker IV - A. Reaves,LAL,114,116,12.8,1.5,11.3,2022-23,Regular Season
-201942-201976-202696-203897-1627936-,D. DeRozan - P. Beverley - N. Vučević - Z. LaVine - A. Caruso,CHI,519,524,14.6,3.2,11.3,2022-23,Regular Season
-201939-202691-203110-1626172-1628978-,S. Curry - K. Thompson - D. Green - K. Looney - D. DiVincenzo,GSW,367,362,18.6,7.2,11.3,2022-23,Regular Season
-202681-203552-203925-1626220-1629651-,K. Irving - S. Curry - J. Harris - R. O'Neale - N. Claxton,BKN,219,229,11.7,0.5,11.2,2022-23,Regular Season
-201566-201569-201587-202695-1627826-,R. Westbrook - E. Gordon - N. Batum - K. Leonard - I. Zubac,LAC,178,174,14.5,3.6,10.9,2022-23,Regular Season
-1628983-1629026-1629652-1630581-1631114-,S. Gilgeous-Alexander - K. Williams - L. Dort - J. Giddey - J. Williams,OKC,155,152,14.0,3.2,10.8,2022-23,Regular Season
-200768-1628389-1628997-1629622-1629639-,K. Lowry - B. Adebayo - C. Martin - M. Strus - T. Herro,MIA,343,337,10.6,-0.1,10.7,2022-23,Regular Season
-101108-1626164-1628470-1629006-1629028-,C. Paul - D. Booker - T. Craig - J. Okogie - D. Ayton,PHX,478,469,10.2,-0.4,10.6,2022-23,Regular Season
-101108-202687-1626164-1628969-1629661-,C. Paul - B. Biyombo - D. Booker - M. Bridges - C. Johnson,PHX,124,129,20.8,10.7,10.1,2022-23,Regular Season
-203915-1626220-1627827-1628969-1629661-,S. Dinwiddie - R. O'Neale - D. Finney-Smith - M. Bridges - C. Johnson,BKN,113,106,9.4,0.2,9.3,2022-23,Regular Season
-203493-203915-203939-1627827-1629029-,R. Bullock Jr. - S. Dinwiddie - D. Powell - D. Finney-Smith - L. Dončić,DAL,317,314,10.6,1.2,9.3,2022-23,Regular Season
-101108-201142-1626164-1629006-1629028-,C. Paul - K. Durant - D. Booker - J. Okogie - D. Ayton,PHX,254,262,18.8,9.5,9.3,2022-23,Regular Season
-1629021-1629626-1630175-1630532-1630591-,M. Wagner - B. Bol - C. Anthony - F. Wagner - J. Suggs,ORL,284,288,10.3,1.0,9.2,2022-23,Regular Season
-203468-1626204-1627742-1630529-1630530-,C. McCollum - L. Nance Jr. - B. Ingram - H. Jones - T. Murphy III,NOP,272,273,11.9,2.8,9.2,2022-23,Regular Season
-201142-202681-203925-1626220-1629651-,K. Durant - K. Irving - J. Harris - R. O'Neale - N. Claxton,BKN,244,256,15.5,6.4,9.1,2022-23,Regular Season
-1627747-1628378-1628386-1629636-1630596-,C. LeVert - D. Mitchell - J. Allen - D. Garland - E. Mobley,CLE,458,451,14.7,5.6,9.1,2022-23,Regular Season
-201942-203083-1629632-1630172-1630245-,D. DeRozan - A. Drummond - C. White - P. Williams - A. Dosunmu,CHI,265,272,11.4,2.5,8.8,2022-23,Regular Season
-201572-201950-1626171-1626192-1628960-,B. Lopez - J. Holiday - B. Portis - P. Connaughton - G. Allen,MIL,126,128,12.4,3.7,8.7,2022-23,Regular Season
