PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,RA_FGM,RA_FGA,RA_FG_PCT,PAINT_FGM,PAINT_FGA,PAINT_FG_PCT,MID_FGM,MID_FGA,MID_FG_PCT,LC3_FGM,LC3_FGA,LC3_FG_PCT,RC3_FGM,RC3_FGA,RC3_FG_PCT,ATB3_FGM,ATB3_FGA,ATB3_FG_PCT,BC_FGM,BC_FGA,BC_FG_PCT,C3_FGM,C3_FGA,C3_FG_PCT,SEASON_TYPE
203932,Aaron Gordon,1610612743,DEN,26.0,Aaron,277.0,367.0,0.755,29.0,98.0,0.296,41.0,109.0,0.376,22.0,67.0,0.328,16.0,45.0,0.356,49.0,144.0,0.34,0.0,4.0,0.0,38.0,112.0,0.339,Regular Season
1630565,Aaron Henry,1610612755,PHI,22.0,Aaron,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,Regular Season
1628988,Aaron Holiday,1610612756,PHX,25.0,Aaron,48.0,80.0,0.6,49.0,105.0,0.467,15.0,50.0,0.3,5.0,13.0,0.385,2.0,4.0,0.5,32.0,86.0,0.372,0.0,0.0,0.0,7.0,17.0,0.412,Regular Season
1630174,Aaron Nesmith,1610612738,BOS,22.0,Aaron,26.0,34.0,0.765,7.0,17.0,0.412,8.0,16.0,0.5,5.0,25.0,0.2,4.0,19.0,0.211,22.0,71.0,0.31,0.0,0.0,0.0,9.0,44.0,0.205,Regular Season
1630598,Aaron Wiggins,1610612760,OKC,23.0,Aaron,71.0,110.0,0.645,39.0,83.0,0.47,4.0,7.0,0.571,11.0,30.0,0.367,6.0,23.0,0.261,25.0,84.0,0.298,0.0,0.0,0.0,17.0,53.0,0.321,Regular Season
1627846,Abdel Nader,1610612756,PHX,28.0,Abdel,8.0,13.0,0.615,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,1.0,5.0,0.2,Regular Season
1630278,Ade Murkey,1610612758,SAC,24.0,Ade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Regular Season
1629678,Admiral Schofield,1610612753,ORL,25.0,Admiral,15.0,27.0,0.556,10.0,20.0,0.5,3.0,3.0,1.0,4.0,12.0,0.333,6.0,17.0,0.353,16.0,48.0,0.333,0.0,2.0,0.0,10.0,29.0,0.345,Regular Season
1629958,Ahmad Caver,1610612754,IND,25.0,Ahmad,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,Regular Season
201143,Al Horford,1610612738,BOS,36.0,Al,91.0,126.0,0.722,63.0,118.0,0.534,23.0,60.0,0.383,11.0,34.0,0.324,20.0,44.0,0.455,58.0,187.0,0.31,0.0,0.0,0.0,31.0,78.0,0.397,Regular Season
