TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,TEAM_IPM,SRS,O_SRS,D_SRS,SOS,OSOS,DSOS,SEASON,SEASON_TYPE
1610612738,BOS,Boston Celtics,82,64,18,8.12,10.74,5.85,4.89,-0.6,-0.51,-0.09,2023-24,Regular Season
1610612750,MIN,Minnesota Timberwolves,82,56,26,5.95,6.38,-1.47,7.85,-0.07,-0.23,0.17,2023-24,Regular Season
1610612760,OKC,Oklahoma City Thunder,82,57,25,5.87,7.36,5.86,1.5,-0.05,-0.01,-0.04,2023-24,Regular Season
1610612743,DEN,Denver Nuggets,82,57,25,4.68,5.23,0.58,4.65,-0.03,-0.06,0.04,2023-24,Regular Season
1610612746,LAC,LA Clippers,82,51,31,3.94,3.41,1.52,1.89,0.13,0.11,0.02,2023-24,Regular Season
1610612740,NOP,New Orleans Pelicans,82,49,33,3.49,4.51,0.8,3.71,0.04,-0.09,0.13,2023-24,Regular Season
1610612756,PHX,Phoenix Suns,82,49,33,3.21,3.08,1.88,1.2,0.02,-0.15,0.17,2023-24,Regular Season
1610612749,MIL,Milwaukee Bucks,82,49,33,2.87,2.39,4.83,-2.43,-0.18,0.09,-0.27,2023-24,Regular Season
1610612754,IND,Indiana Pacers,82,47,35,2.79,2.75,9.12,-6.37,-0.3,0.04,-0.34,2023-24,Regular Season
1610612742,DAL,Dallas Mavericks,82,50,32,2.72,2.3,3.83,-1.53,0.09,0.18,-0.09,2023-24,Regular Season
1610612752,NYK,New York Knicks,82,50,32,2.53,4.36,-1.63,5.99,-0.23,-0.21,-0.02,2023-24,Regular Season
1610612739,CLE,Cleveland Cavaliers,82,48,34,2.32,1.98,-1.98,3.96,-0.44,-0.41,-0.03,2023-24,Regular Season
1610612755,PHI,Philadelphia 76ers,82,47,35,1.94,2.51,0.14,2.37,-0.54,-0.25,-0.3,2023-24,Regular Season
1610612747,LAL,Los Angeles Lakers,82,47,35,1.8,1.02,4.23,-3.21,0.48,0.43,0.05,2023-24,Regular Season
1610612744,GSW,Golden State Warriors,82,46,36,1.76,2.77,3.59,-0.82,0.16,0.03,0.13,2023-24,Regular Season
1610612748,MIA,Miami Heat,82,46,36,1.14,1.1,-4.53,5.63,-0.66,-0.46,-0.19,2023-24,Regular Season
1610612758,SAC,Sacramento Kings,82,46,36,0.92,2.29,2.59,-0.3,0.55,0.24,0.31,2023-24,Regular Season
1610612753,ORL,Orlando Magic,82,47,35,0.88,1.48,-4.14,5.62,-0.55,-0.39,-0.15,2023-24,Regular Season
1610612745,HOU,Houston Rockets,82,41,41,-0.1,1.24,0.12,1.12,0.12,0.01,0.11,2023-24,Regular Season
1610612741,CHI,Chicago Bulls,82,39,43,-0.94,-1.77,-2.08,0.32,-0.33,-0.14,-0.19,2023-24,Regular Season
1610612737,ATL,Atlanta Hawks,82,36,46,-1.66,-2.38,4.29,-6.67,-0.19,0.17,-0.37,2023-24,Regular Season
1610612751,BKN,Brooklyn Nets,82,32,50,-4.11,-3.02,-3.92,0.9,-0.13,-0.08,-0.05,2023-24,Regular Season
1610612759,SAS,San Antonio Spurs,82,22,60,-4.54,-5.8,-1.64,-4.16,0.69,0.48,0.22,2023-24,Regular Season
1610612762,UTA,Utah Jazz,82,31,51,-4.69,-4.22,1.99,-6.2,0.68,0.54,0.14,2023-24,Regular Season
1610612763,MEM,Memphis Grizzlies,82,27,55,-5.48,-6.57,-8.32,1.75,0.43,0.08,0.35,2023-24,Regular Season
1610612761,TOR,Toronto Raptors,82,25,57,-5.58,-6.45,-1.83,-4.62,-0.01,0.03,-0.04,2023-24,Regular Season
1610612765,DET,Detroit Pistons,82,14,68,-6.19,-9.01,-4.18,-4.83,0.05,0.13,-0.08,2023-24,Regular Season
1610612757,POR,Portland Trail Blazers,82,21,61,-7.38,-8.29,-7.6,-0.69,0.74,0.25,0.49,2023-24,Regular Season
1610612766,CHA,Charlotte Hornets,82,21,61,-7.91,-10.12,-7.73,-2.38,0.13,-0.11,0.23,2023-24,Regular Season
1610612764,WAS,Washington Wizards,82,15,67,-8.34,-9.29,-0.16,-9.14,-0.0,0.31,-0.31,2023-24,Regular Season
