TeamID,TeamCity,TeamName,Conference,Division,ConferenceRecord,PlayoffRank,WINS,LOSSES,WinPCT,HOME,ROAD,L10,STREAK,GB,TEAM_ABBREVIATION,SEASON_TYPE
1610612755,Philadelphia,76ers,East,Atlantic,31-11,1,49,23,0.681,29-7,20-16,8-2,W 2,0.0,PHI,Regular Season
1610612762,Utah,Jazz,West,Northwest,28-14,1,52,20,0.722,31-5,21-15,7-3,W 2,0.0,UTA,Regular Season
1610612751,Brooklyn,Nets,East,Atlantic,26-16,2,48,24,0.667,28-8,20-16,6-4,W 5,1.0,BKN,Regular Season
1610612756,Phoenix,Suns,West,Pacific,30-12,2,51,21,0.708,27-9,24-12,7-3,W 3,1.0,PHX,Regular Season
1610612743,Denver,Nuggets,West,Northwest,26-16,3,47,25,0.653,25-11,22-14,6-4,L 1,5.0,DEN,Regular Season
1610612749,Milwaukee,Bucks,East,Central,30-12,3,46,26,0.639,26-10,20-16,8-2,L 1,3.0,MIL,Regular Season
1610612752,New York,Knicks,East,Atlantic,25-17,4,41,31,0.569,25-11,16-20,7-3,W 3,8.0,NYK,Regular Season
1610612746,LA,Clippers,West,Pacific,27-15,4,47,25,0.653,26-10,21-15,4-6,L 2,5.0,LAC,Regular Season
1610612737,Atlanta,Hawks,East,Southeast,24-18,5,41,31,0.569,25-11,16-20,7-3,W 4,8.0,ATL,Regular Season
1610612742,Dallas,Mavericks,West,Southwest,21-21,5,42,30,0.583,21-15,21-15,7-3,L 1,10.0,DAL,Regular Season
1610612757,Portland,Trail Blazers,West,Northwest,23-19,6,42,30,0.583,20-16,22-14,8-2,W 1,10.0,POR,Regular Season
1610612748,Miami,Heat,East,Southeast,24-18,6,40,32,0.556,21-15,19-17,8-2,W 1,9.0,MIA,Regular Season
1610612738,Boston,Celtics,East,Atlantic,20-22,7,36,36,0.5,21-15,15-21,4-6,L 1,13.0,BOS,Regular Season
1610612747,Los Angeles,Lakers,West,Pacific,25-17,7,42,30,0.583,21-15,21-15,6-4,W 5,10.0,LAL,Regular Season
1610612763,Memphis,Grizzlies,West,Southwest,19-23,8,38,34,0.528,18-18,20-16,6-4,L 1,14.0,MEM,Regular Season
1610612764,Washington,Wizards,East,Southeast,16-26,8,34,38,0.472,19-17,15-21,6-4,W 2,15.0,WAS,Regular Season
1610612744,Golden State,Warriors,West,Pacific,25-17,9,39,33,0.542,25-11,14-22,8-2,W 6,13.0,GSW,Regular Season
1610612754,Indiana,Pacers,East,Central,20-22,9,34,38,0.472,13-23,21-15,5-5,W 1,15.0,IND,Regular Season
1610612759,San Antonio,Spurs,West,Southwest,17-25,10,33,39,0.458,14-22,19-17,2-8,L 4,19.0,SAS,Regular Season
1610612766,Charlotte,Hornets,East,Southeast,20-22,10,33,39,0.458,18-18,15-21,3-7,L 5,16.0,CHA,Regular Season
1610612740,New Orleans,Pelicans,West,Southwest,18-24,11,31,41,0.431,18-18,13-23,4-6,L 4,21.0,NOP,Regular Season
1610612741,Chicago,Bulls,East,Central,21-21,11,31,41,0.431,15-21,16-20,5-5,W 1,18.0,CHI,Regular Season
1610612758,Sacramento,Kings,West,Pacific,18-24,12,31,41,0.431,16-20,15-21,6-4,L 3,21.0,SAC,Regular Season
1610612761,Toronto,Raptors,East,Atlantic,17-25,12,27,45,0.375,16-20,11-25,1-9,L 7,22.0,TOR,Regular Season
1610612750,Minnesota,Timberwolves,West,Northwest,15-27,13,23,49,0.319,13-23,10-26,5-5,W 1,29.0,MIN,Regular Season
1610612739,Cleveland,Cavaliers,East,Central,16-26,13,22,50,0.306,13-23,9-27,1-9,L 2,27.0,CLE,Regular Season
1610612753,Orlando,Magic,East,Southeast,13-29,14,21,51,0.292,11-25,10-26,2-8,L 7,28.0,ORL,Regular Season
1610612760,Oklahoma City,Thunder,West,Northwest,12-30,14,22,50,0.306,10-26,12-24,1-9,W 1,30.0,OKC,Regular Season
1610612765,Detroit,Pistons,East,Central,12-30,15,20,52,0.278,13-23,7-29,1-9,L 5,29.0,DET,Regular Season
1610612745,Houston,Rockets,West,Southwest,11-31,15,17,55,0.236,9-27,8-28,2-8,L 1,35.0,HOU,Regular Season
