TEAM_ID,TEAM_NAME,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,SEASON_TYPE
1610612737,Atlanta Hawks,3247.0,4059,2469,1590,1000,29,539,1255,238,243,481,0.495,0.505,147,902,1049,0.14,0.86,Regular Season
1610612738,Boston Celtics,3466.0,4418,2527,1891,1204,62,802,1906,266,289,555,0.479,0.521,169,1128,1299,0.13,0.868,Regular Season
1610612751,Brooklyn Nets,3484.0,4636,2915,1721,881,37,745,1778,266,268,534,0.498,0.502,87,1108,1195,0.073,0.927,Regular Season
1610612766,Charlotte Hornets,3137.0,3855,2177,1678,889,50,475,1137,251,237,488,0.514,0.486,101,842,943,0.107,0.893,Regular Season
1610612741,Chicago Bulls,3127.0,3661,2150,1511,1132,62,590,1346,244,287,531,0.46,0.54,121,837,958,0.126,0.874,Regular Season
1610612739,Cleveland Cavaliers,3123.0,3640,2163,1477,810,36,658,1496,254,219,473,0.537,0.463,160,916,1076,0.149,0.851,Regular Season
1610612742,Dallas Mavericks,3610.0,4670,2918,1752,933,44,673,1571,248,261,509,0.487,0.513,69,1016,1085,0.064,0.936,Regular Season
1610612743,Denver Nuggets,3536.0,4138,2376,1762,1112,38,643,1437,244,275,519,0.47,0.53,131,774,905,0.145,0.855,Regular Season
1610612765,Detroit Pistons,3176.0,3924,2508,1416,963,25,600,1381,239,248,487,0.491,0.509,96,745,841,0.114,0.886,Regular Season
1610612744,Golden State Warriors,3133.0,4162,2437,1725,1006,38,693,1636,225,247,472,0.477,0.523,56,944,1000,0.056,0.944,Regular Season
1610612745,Houston Rockets,3467.0,4174,2497,1677,1146,64,388,950,300,290,590,0.508,0.492,79,1135,1215,0.065,0.934,Regular Season
1610612754,Indiana Pacers,3512.0,4485,2735,1750,1115,34,831,1866,231,244,475,0.486,0.514,99,903,1002,0.099,0.901,Regular Season
1610612746,LA Clippers,3450.0,4423,2626,1797,1050,63,806,1888,235,257,492,0.478,0.522,129,1194,1323,0.098,0.902,Regular Season
1610612747,Los Angeles Lakers,3401.0,4016,2417,1599,1169,51,611,1390,251,299,550,0.456,0.544,188,940,1128,0.167,0.833,Regular Season
1610612763,Memphis Grizzlies,3501.0,4922,3003,1919,1145,30,642,1434,255,302,557,0.458,0.542,161,1010,1173,0.137,0.861,Regular Season
1610612748,Miami Heat,3543.0,4421,2397,2024,1069,50,806,1934,268,260,528,0.508,0.492,111,1290,1401,0.079,0.921,Regular Season
1610612749,Milwaukee Bucks,3508.0,5489,3344,2145,1017,44,648,1542,292,286,578,0.505,0.495,114,1164,1278,0.089,0.911,Regular Season
1610612750,Minnesota Timberwolves,3100.0,3895,2421,1474,1069,43,543,1286,229,271,500,0.458,0.542,78,753,831,0.094,0.906,Regular Season
1610612740,New Orleans Pelicans,3473.0,4653,2891,1762,1164,43,686,1618,300,283,583,0.515,0.485,85,1042,1127,0.075,0.925,Regular Season
1610612752,New York Knicks,3175.0,3847,2201,1646,881,22,545,1231,243,269,512,0.475,0.525,166,996,1162,0.143,0.857,Regular Season
1610612760,Oklahoma City Thunder,3476.0,4532,2876,1656,1095,48,721,1549,260,306,566,0.459,0.541,107,975,1082,0.099,0.901,Regular Season
1610612753,Orlando Magic,3500.0,3931,2407,1524,1055,35,815,1882,259,281,540,0.48,0.52,119,941,1060,0.112,0.888,Regular Season
1610612755,Philadelphia 76ers,3510.0,3968,2577,1391,1076,28,595,1341,278,312,590,0.471,0.529,155,993,1148,0.135,0.865,Regular Season
1610612756,Phoenix Suns,3503.0,4390,2672,1718,1108,53,585,1292,277,268,545,0.508,0.492,115,1020,1135,0.101,0.899,Regular Season
1610612757,Portland Trail Blazers,3544.0,4524,2760,1764,967,26,837,1970,248,250,498,0.498,0.502,153,843,996,0.154,0.846,Regular Season
1610612758,Sacramento Kings,3480.0,4461,2513,1948,1165,28,683,1618,263,275,538,0.489,0.511,109,897,1006,0.108,0.892,Regular Season
1610612759,San Antonio Spurs,3432.0,4442,2718,1724,967,51,769,1715,250,271,521,0.48,0.52,81,1014,1095,0.074,0.926,Regular Season
1610612761,Toronto Raptors,3458.0,4518,2460,2058,1225,59,522,1309,264,319,583,0.453,0.547,103,1225,1328,0.078,0.922,Regular Season
1610612762,Utah Jazz,3456.0,4267,2687,1580,819,27,887,2070,255,212,467,0.546,0.454,125,1182,1307,0.096,0.904,Regular Season
1610612764,Washington Wizards,3459.0,4281,2672,1609,1087,91,679,1557,280,284,564,0.496,0.504,94,990,1084,0.087,0.913,Regular Season
1610612738,Boston Celtics,828.0,1055,570,485,203,11,156,354,61,61,122,0.5,0.5,36,305,341,0.106,0.894,Playoffs
1610612751,Brooklyn Nets,190.0,266,143,123,45,2,19,41,15,9,24,0.625,0.375,2,46,48,0.042,0.958,Playoffs
1610612742,Dallas Mavericks,292.0,366,226,140,56,3,69,155,16,19,35,0.457,0.543,9,79,88,0.102,0.898,Playoffs
1610612743,Denver Nuggets,910.0,1073,605,468,259,6,181,409,44,50,94,0.468,0.532,25,249,275,0.091,0.905,Playoffs
1610612745,Houston Rockets,577.0,608,339,269,159,17,65,162,32,39,71,0.451,0.549,14,232,246,0.057,0.943,Playoffs
1610612754,Indiana Pacers,192.0,198,109,89,46,2,21,52,14,13,27,0.519,0.481,0,45,45,0.0,1.0,Playoffs
1610612746,LA Clippers,620.0,767,424,343,174,10,117,265,50,45,95,0.526,0.474,12,230,242,0.05,0.95,Playoffs
1610612747,Los Angeles Lakers,1004.0,1114,653,461,305,7,107,242,42,72,114,0.368,0.632,61,200,261,0.234,0.766,Playoffs
1610612748,Miami Heat,1016.0,1210,655,555,288,7,191,458,66,70,136,0.485,0.515,23,350,373,0.062,0.938,Playoffs
1610612749,Milwaukee Bucks,484.0,659,364,295,132,6,44,106,41,28,69,0.594,0.406,8,141,149,0.054,0.946,Playoffs
1610612760,Oklahoma City Thunder,341.0,442,191,251,79,6,31,69,25,24,49,0.51,0.49,18,50,68,0.265,0.735,Playoffs
1610612753,Orlando Magic,239.0,247,119,128,55,7,59,139,11,16,27,0.407,0.593,2,59,61,0.033,0.967,Playoffs
1610612755,Philadelphia 76ers,190.0,200,110,90,30,0,20,43,11,13,24,0.458,0.542,14,72,86,0.163,0.837,Playoffs
1610612757,Portland Trail Blazers,240.0,281,164,117,68,1,37,90,14,16,30,0.467,0.533,13,64,77,0.169,0.831,Playoffs
1610612761,Toronto Raptors,533.0,674,342,332,126,10,76,181,42,46,88,0.477,0.523,14,164,178,0.079,0.921,Playoffs
1610612762,Utah Jazz,339.0,423,234,189,73,5,85,206,23,20,43,0.535,0.465,6,165,171,0.035,0.965,Playoffs
