GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",On,78,2603.0,4.5,116.1,112.0,4.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",On,3,34.0,-47.4,98.7,143.4,-44.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",On,76,2520.0,5.8,116.8,110.6,6.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642368,"Dante, N'Faly",On,4,15.0,31.1,109.1,86.7,22.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642484,"Dennis, RayJ",On,3,34.0,-16.7,109.2,125.0,-15.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642933,"Gilbert, Keshon",On,1,26.0,-20.7,126.8,146.4,-19.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,77,1179.0,1.8,112.5,110.1,2.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",On,7,51.0,1.9,118.1,120.5,-2.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631216,"Houstan, Caleb",On,18,75.0,0.6,97.6,98.2,-0.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,72,2532.0,3.5,115.5,112.3,3.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628379,"Kennard, Luke",On,46,943.0,0.3,111.2,111.4,-0.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630557,"Kispert, Corey",On,39,710.0,-6.0,108.2,114.9,-6.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631132,"Koloko, Christian",On,14,156.0,-7.4,104.0,111.0,-6.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",On,46,1028.0,-2.1,109.9,111.5,-1.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630228,"Kuminga, Jonathan",On,16,354.0,13.5,113.7,101.6,12.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629111,"Landale, Jock",On,23,446.0,3.7,114.9,111.7,3.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203468,"McCollum, CJ",On,41,1182.0,10.7,114.9,104.4,10.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642854,"Newell, Asa",On,44,500.0,-4.2,110.2,114.0,-3.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,74,2297.0,2.3,113.4,111.3,2.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,204001,"Porziņģis, Kristaps",On,17,413.0,5.7,117.2,111.3,5.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",On,67,1503.0,-0.5,112.8,112.6,0.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631210,"Toppin, Jacob",On,5,17.0,37.0,102.7,71.4,31.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629216,"Vincent, Gabe",On,24,320.0,5.4,116.4,111.1,5.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",On,53,536.0,-9.0,102.2,110.8,-8.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,10,280.0,-6.3,119.4,126.2,-6.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",Off,82,1348.0,-1.6,108.5,109.6,-1.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",Off,4,158.0,6.4,115.5,110.6,4.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",Off,82,1431.0,-3.6,108.1,112.5,-4.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642368,"Dante, N'Faly",Off,52,2491.0,-1.0,113.5,114.5,-1.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642484,"Dennis, RayJ",Off,47,2227.0,5.2,115.1,110.4,4.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642365,"Djurisic, Nikola",Off,56,2698.0,-1.3,113.6,114.9,-1.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642933,"Gilbert, Keshon",Off,20,939.0,10.6,119.4,109.5,9.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",Off,82,2772.0,2.7,114.2,112.2,1.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",Off,29,1346.0,8.5,117.5,109.5,8.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631216,"Houstan, Caleb",Off,78,3684.0,2.7,115.4,112.9,2.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",Off,82,1419.0,0.4,111.0,110.8,0.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628379,"Kennard, Luke",Off,53,1611.0,-1.4,113.2,114.3,-1.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630557,"Kispert, Corey",Off,43,1359.0,11.4,118.4,107.5,10.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631132,"Koloko, Christian",Off,39,1721.0,7.3,117.2,110.4,6.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",Off,51,1430.0,-0.3,113.9,114.0,0.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630228,"Kuminga, Jonathan",Off,29,1043.0,6.4,117.8,111.9,5.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629111,"Landale, Jock",Off,30,999.0,10.0,117.9,108.3,9.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203468,"McCollum, CJ",Off,43,887.0,-1.6,113.5,114.9,-1.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642947,"Ndiaye, Eli John",Off,34,1642.0,-1.6,114.7,116.2,-1.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642854,"Newell, Asa",Off,82,3451.0,3.4,115.1,112.1,3.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",Off,82,1654.0,2.6,114.3,110.9,3.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,204001,"Porziņģis, Kristaps",Off,52,2093.0,-2.1,112.2,114.1,-2.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1641871,"Reath, Duop",Off,1,48.0,12.0,118.7,107.5,11.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",Off,82,2448.0,4.2,114.8,110.9,3.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631210,"Toppin, Jacob",Off,27,1289.0,0.1,114.6,114.5,0.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629216,"Vincent, Gabe",Off,29,1077.0,9.1,117.2,107.9,9.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",Off,82,3415.0,4.2,116.4,112.7,3.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642013,"Williams, Malik",Off,8,384.0,-3.9,111.3,115.0,-3.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",Off,39,1602.0,0.0,112.4,112.3,0.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",On,6,213.0,-18.3,101.8,120.0,-18.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",On,4,41.0,-3.5,96.3,101.3,-5.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",On,6,166.0,-22.0,101.5,121.9,-20.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,6,50.0,-29.5,91.5,123.1,-31.6,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",On,2,13.0,-55.2,85.7,139.3,-53.6,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,6,214.0,-20.4,104.8,125.3,-20.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630557,"Kispert, Corey",On,5,54.0,11.5,114.2,100.9,13.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630228,"Kuminga, Jonathan",On,6,156.0,-17.2,100.6,119.8,-19.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203468,"McCollum, CJ",On,6,192.0,-15.2,104.6,119.7,-15.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1642854,"Newell, Asa",On,2,11.0,40.2,115.0,70.0,45.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,6,199.0,-18.1,105.1,123.5,-18.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",On,3,23.0,-4.2,106.7,111.1,-4.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629216,"Vincent, Gabe",On,6,93.0,-30.4,93.7,127.4,-33.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",On,3,15.0,9.3,113.3,96.9,16.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",Off,6,75.0,-15.3,100.6,118.6,-18.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",Off,6,247.0,-19.8,104.2,124.5,-20.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",Off,6,122.0,-11.4,102.8,118.0,-15.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",Off,6,238.0,-15.0,104.8,120.4,-15.6,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",Off,6,275.0,-15.7,104.5,120.8,-16.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",Off,6,74.0,-9.1,96.6,107.5,-10.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630557,"Kispert, Corey",Off,6,234.0,-24.2,101.1,125.6,-24.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630228,"Kuminga, Jonathan",Off,6,132.0,-17.8,104.1,121.2,-17.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629111,"Landale, Jock",Off,6,288.0,-17.5,103.8,121.9,-18.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203468,"McCollum, CJ",Off,6,96.0,-22.1,97.9,118.2,-20.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1642854,"Newell, Asa",Off,6,277.0,-19.7,103.2,123.5,-20.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",Off,6,89.0,-16.1,95.1,112.8,-17.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",Off,6,265.0,-18.6,103.6,122.3,-18.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629216,"Vincent, Gabe",Off,6,195.0,-11.3,107.3,116.9,-9.6,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",Off,6,273.0,-19.0,103.3,122.9,-19.6,Atlanta Hawks,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630625,"Banton, Dalano",On,4,52.0,-10.2,106.3,115.0,-8.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629646,"Bassey, Charles",On,5,17.0,-14.0,83.3,97.2,-13.9,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628449,"Boucher, Chris",On,9,94.0,2.5,114.3,109.9,4.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",On,71,2443.0,6.3,119.5,113.0,6.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630568,"Garza, Luka",On,69,1118.0,5.3,119.4,113.6,5.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642864,"González, Hugo",On,74,1084.0,10.9,118.0,106.2,11.9,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631199,"Harper Jr., Ron",On,29,318.0,2.7,111.6,109.0,2.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630573,"Hauser, Sam",On,78,1934.0,9.2,119.8,111.0,8.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631169,"Minott, Josh",On,33,526.0,3.2,116.3,111.0,5.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",On,79,2556.0,8.0,120.1,112.1,8.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629674,"Queta, Neemias",On,76,1926.0,12.0,118.8,105.6,13.2,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631248,"Scheierman, Baylor",On,77,1429.0,6.7,116.3,109.0,7.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642917,"Shulga, Max",On,11,36.0,-11.9,92.4,100.0,-7.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629014,"Simons, Anfernee",On,49,1202.0,6.6,118.8,112.7,6.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",On,16,522.0,10.9,120.7,110.2,10.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630214,"Tillman, Xavier",On,14,111.0,-13.8,111.1,121.5,-10.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642910,"Tonje, John",On,6,42.0,-6.9,106.6,108.4,-1.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202696,"Vučević, Nikola",On,16,338.0,11.1,112.6,102.3,10.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1641775,"Walsh, Jordan",On,68,1212.0,3.8,117.9,112.8,5.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628401,"White, Derrick",On,77,2625.0,10.9,119.3,108.0,11.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642873,"Williams, Amari",On,22,146.0,-19.1,89.0,106.4,-17.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630625,"Banton, Dalano",Off,6,236.0,16.9,120.1,102.6,17.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629646,"Bassey, Charles",Off,10,463.0,10.5,123.3,112.5,10.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628449,"Boucher, Chris",Off,51,2364.0,7.5,120.8,112.6,8.2,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",Off,82,1503.0,9.9,117.3,106.7,10.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630568,"Garza, Luka",Off,82,2828.0,8.6,118.3,108.8,9.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642864,"González, Hugo",Off,82,2862.0,6.5,118.7,112.2,6.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631199,"Harper Jr., Ron",Off,82,3628.0,8.1,120.3,111.7,8.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630573,"Hauser, Sam",Off,82,2012.0,6.3,116.5,109.7,6.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631169,"Minott, Josh",Off,51,1932.0,8.4,120.7,112.0,8.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",Off,82,1390.0,7.1,115.3,107.5,7.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629674,"Queta, Neemias",Off,82,2020.0,3.6,117.3,113.4,3.9,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1631248,"Scheierman, Baylor",Off,82,2517.0,8.2,120.0,111.4,8.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642917,"Shulga, Max",Off,82,3910.0,7.9,120.2,111.8,8.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629014,"Simons, Anfernee",Off,51,1256.0,8.0,119.1,110.2,9.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",Off,82,3424.0,7.2,119.4,111.7,7.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630214,"Tillman, Xavier",Off,51,2347.0,8.3,121.0,111.9,9.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642910,"Tonje, John",Off,31,1446.0,8.7,119.0,109.9,9.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202696,"Vučević, Nikola",Off,31,1150.0,7.5,119.6,111.1,8.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1641775,"Walsh, Jordan",Off,82,2734.0,9.4,119.1,109.6,9.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628401,"White, Derrick",Off,82,1321.0,1.2,117.0,115.4,1.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1642873,"Williams, Amari",Off,82,3800.0,8.7,121.0,111.8,9.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630625,"Banton, Dalano",On,2,4.0,119.0,150.0,28.6,121.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",On,7,249.0,-4.4,106.1,111.0,-4.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630568,"Garza, Luka",On,7,59.0,10.5,117.4,108.4,9.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642864,"González, Hugo",On,4,19.0,23.0,126.5,94.4,32.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1631199,"Harper Jr., Ron",On,6,25.0,15.2,105.9,92.0,13.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630573,"Hauser, Sam",On,7,164.0,-5.0,102.7,107.9,-5.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",On,7,231.0,9.2,120.9,110.9,10.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629674,"Queta, Neemias",On,7,152.0,0.9,108.8,105.7,3.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1631248,"Scheierman, Baylor",On,7,99.0,-1.5,110.6,109.9,0.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642917,"Shulga, Max",On,2,5.0,51.4,125.0,62.5,62.5,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",On,6,218.0,6.2,119.4,112.9,6.6,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202696,"Vučević, Nikola",On,6,114.0,3.8,115.4,111.4,3.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1641775,"Walsh, Jordan",On,7,89.0,21.1,122.3,100.0,22.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628401,"White, Derrick",On,7,251.0,-4.6,107.9,113.6,-5.8,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642873,"Williams, Amari",On,1,2.0,-31.0,33.3,66.7,-33.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630625,"Banton, Dalano",Off,7,332.0,1.4,113.1,111.7,1.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",Off,7,87.0,23.7,131.6,107.7,23.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630568,"Garza, Luka",Off,7,277.0,1.2,111.4,109.7,1.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642864,"González, Hugo",Off,7,317.0,1.7,112.8,110.9,1.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1631199,"Harper Jr., Ron",Off,7,311.0,1.9,114.2,112.0,2.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630573,"Hauser, Sam",Off,7,172.0,10.3,120.6,111.0,9.6,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",Off,7,105.0,-10.9,94.4,107.1,-12.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629674,"Queta, Neemias",Off,7,184.0,4.4,115.1,110.8,4.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1631248,"Scheierman, Baylor",Off,7,237.0,4.7,113.6,108.2,5.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642917,"Shulga, Max",Off,7,331.0,2.2,113.4,111.3,2.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",Off,7,118.0,-3.3,100.9,105.2,-4.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202696,"Vučević, Nikola",Off,7,222.0,2.4,110.5,107.3,3.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1641775,"Walsh, Jordan",Off,7,247.0,-3.7,109.1,113.8,-4.6,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628401,"White, Derrick",Off,7,85.0,24.8,126.9,98.2,28.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1642873,"Williams, Amari",Off,7,334.0,3.0,113.9,110.9,3.0,Boston Celtics,Playoffs
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628386,"Allen, Jarrett",On,56,1519.0,6.7,119.3,112.9,6.4,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628366,"Ball, Lonzo",On,35,728.0,2.1,111.0,109.7,1.3,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1642468,"Brown, Darius",On,1,3.0,-72.0,100.0,180.0,-80.0,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628418,"Bryant, Thomas",On,60,732.0,2.6,114.4,110.7,3.6,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1631165,"Ellis, Keon",On,29,720.0,4.5,118.8,114.3,4.5,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1642400,"Enaruna, Tristan",On,9,85.0,24.2,123.5,101.7,21.7,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629636,"Garland, Darius",On,26,792.0,-2.4,114.7,117.7,-3.0,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201935,"Harden, James",On,26,879.0,4.3,118.8,114.9,4.0,Cleveland Cavaliers,Regular Season
