GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612737,ATL,Atlanta Hawks,1631230,"Barlow, Dominick",On,35,375.0,-0.3,110.2,111.8,-1.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,24,598.0,-3.5,105.8,109.8,-4.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1641723,"Bufkin, Kobe",On,10,124.0,-8.9,95.3,103.3,-8.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,55,1176.0,-3.2,108.7,111.5,-2.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",On,76,2571.0,-1.2,113.3,114.2,-0.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,33,533.0,7.8,113.4,104.7,8.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,37,1064.0,-2.7,111.8,114.5,-2.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,36,1284.0,2.1,111.8,110.2,1.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",On,57,1153.0,-2.7,109.7,111.6,-1.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627747,"LeVert, Caris",On,26,692.0,1.4,118.5,117.1,1.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629611,"Mann, Terance",On,30,682.0,-1.1,118.5,118.7,-0.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629726,"Mathews, Garrison",On,47,830.0,-3.5,107.9,111.4,-3.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1626204,"Nance Jr., Larry",On,24,463.0,-9.8,107.5,116.5,-9.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627777,"Niang, Georges",On,28,644.0,-0.3,119.6,119.4,0.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,74,2064.0,0.9,114.9,113.7,1.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631342,"Plowden, Daeqwon",On,6,72.0,19.5,104.0,84.2,19.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",On,75,1843.0,-3.2,112.3,115.0,-2.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631223,"Roddy, David",On,27,346.0,-9.8,105.7,114.3,-8.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631210,"Toppin, Jacob",On,1,27.0,-12.7,110.9,119.3,-8.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",On,31,501.0,-1.8,106.2,108.4,-2.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,76,2739.0,0.6,115.2,114.6,0.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631230,"Barlow, Dominick",Off,82,3581.0,-1.2,113.7,114.7,-1.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",Off,51,1865.0,-2.9,111.1,114.1,-3.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1641723,"Bufkin, Kobe",Off,82,3832.0,-0.9,114.2,115.0,-0.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",Off,82,2780.0,-0.2,114.5,114.6,-0.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",Off,82,1385.0,-1.0,111.1,112.1,-1.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",Off,82,3423.0,-2.5,113.3,115.6,-2.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630284,"Harris, Kevon",Off,1,48.0,2.0,130.7,128.7,2.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",Off,51,1399.0,-3.4,108.0,111.5,-3.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630538,"Hyland, Bones",Off,2,96.0,9.5,115.4,105.2,10.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",Off,82,2672.0,-2.7,113.4,115.7,-2.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",Off,82,2803.0,-0.5,114.2,114.7,-0.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627747,"LeVert, Caris",Off,31,801.0,2.6,117.2,114.2,3.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1641754,"Lundy, Seth",Off,27,1301.0,-2.5,110.8,113.4,-2.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629611,"Mann, Terance",Off,31,811.0,4.7,116.7,112.9,3.8,Atlanta Hawks,Regular Season
