PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
203999,Nikola Jokić,DEN,3.49,0.92,4.41,2025-26,3.47,0.89,4.36,4838,Regular Season
1628983,Shai Gilgeous-Alexander,OKC,3.81,0.4,4.21,2025-26,3.84,0.42,4.26,4798,Regular Season
1641807,Norchad Omier,LAC,4.57,-0.4,4.17,2025-26,4.55,-0.49,4.06,48,Regular Season
1630649,Stanley Umude,SAS,1.34,2.79,4.13,2025-26,1.35,2.79,4.14,12,Regular Season
1641803,Tristen Newton,HOU,3.04,0.9,3.94,2025-26,2.87,0.49,3.36,26,Regular Season
1641705,Victor Wembanyama,SAS,1.32,2.39,3.71,2025-26,1.31,2.3,3.61,3946,Regular Season
1630828,Alex Antetokounmpo,MIL,4.5,-0.83,3.67,2025-26,4.48,-0.72,3.76,44,Regular Season
202695,Kawhi Leonard,LAC,2.48,0.91,3.39,2025-26,2.46,0.85,3.31,4255,Regular Season
1642955,Kadary Richmond,WAS,0.93,2.45,3.38,2025-26,1.01,2.4,3.41,151,Regular Season
203507,Giannis Antetokounmpo,MIL,2.94,0.41,3.35,2025-26,2.91,0.42,3.33,2164,Regular Season
1629660,Ty Jerome,MEM,3.31,-0.04,3.27,2025-26,3.29,-0.06,3.23,706,Regular Season
1641815,Isaiah Stevens,SAC,1.42,1.74,3.16,2025-26,1.47,1.68,3.15,82,Regular Season
1629029,Luka Dončić,LAL,2.65,0.33,2.98,2025-26,2.62,0.36,2.98,4824,Regular Season
1643257,Jayson Kent,POR,0.76,2.19,2.95,2025-26,0.8,2.14,2.94,42,Regular Season
1643024,Chris Mañon,LAL,-0.47,3.27,2.8,2025-26,-0.45,3.22,2.77,94,Regular Season
1629312,Haywood Highsmith,PHX,2.28,0.1,2.38,2025-26,2.3,0.04,2.34,176,Regular Season
202710,Jimmy Butler III,GSW,2.22,0.07,2.29,2025-26,2.21,0.03,2.24,2490,Regular Season
1629680,Matisse Thybulle,POR,-0.12,2.32,2.2,2025-26,-0.07,2.23,2.16,1024,Regular Season
201939,Stephen Curry,GSW,2.23,-0.1,2.13,2025-26,2.23,-0.14,2.09,2879,Regular Season
1631115,Orlando Robinson,ORL,1.56,0.53,2.09,2025-26,1.56,0.43,1.99,47,Regular Season
1642357,David Jones Garcia,SAS,0.82,1.24,2.06,2025-26,0.81,1.17,1.98,150,Regular Season
1631102,TyTy Washington Jr.,LAC,0.43,1.61,2.04,2025-26,0.48,1.55,2.03,172,Regular Season
1630194,Paul Reed,DET,1.03,0.98,2.01,2025-26,1.06,0.91,1.97,1896,Regular Season
1630846,Olivier Sarr,CLE,0.13,1.87,2.0,2025-26,0.2,1.91,2.11,90,Regular Season
1641753,Chris Livingston,CLE,1.1,0.89,1.99,2025-26,1.1,0.95,2.05,35,Regular Season
204456,T.J. McConnell,IND,1.21,0.72,1.93,2025-26,1.21,0.69,1.9,2048,Regular Season
1628378,Donovan Mitchell,CLE,1.99,-0.09,1.9,2025-26,1.98,-0.09,1.89,4986,Regular Season
1627750,Jamal Murray,DEN,2.1,-0.22,1.88,2025-26,2.1,-0.21,1.89,5512,Regular Season
1629027,Trae Young,WAS,2.07,-0.24,1.83,2025-26,2.06,-0.22,1.84,858,Regular Season
1630178,Tyrese Maxey,PHI,1.48,0.29,1.77,2025-26,1.48,0.29,1.77,5610,Regular Season
1629610,DaQuan Jeffries,SAC,1.93,-0.26,1.67,2025-26,1.95,-0.28,1.67,120,Regular Season
1630200,Tre Jones,CHI,1.37,0.26,1.63,2025-26,1.4,0.27,1.67,3856,Regular Season
1631105,Jalen Duren,DET,1.7,-0.09,1.61,2025-26,1.71,-0.08,1.63,4161,Regular Season
1642911,Rocco Zikarsky,MIN,-0.38,1.96,1.58,2025-26,-0.27,2.01,1.74,76,Regular Season
1628386,Jarrett Allen,CLE,0.92,0.66,1.58,2025-26,0.92,0.63,1.55,3248,Regular Season
1631214,Alondes Williams,WAS,1.03,0.51,1.54,2025-26,1.1,0.5,1.6,214,Regular Season
1631096,Chet Holmgren,OKC,0.48,1.04,1.52,2025-26,0.51,1.01,1.52,4192,Regular Season
1630198,Isaiah Joe,OKC,1.3,0.2,1.5,2025-26,1.31,0.14,1.45,3166,Regular Season
1642285,Cam Spencer,MEM,1.84,-0.34,1.5,2025-26,1.87,-0.33,1.54,3627,Regular Season
1627746,Skal Labissiere,WAS,0.69,0.76,1.45,2025-26,0.72,0.7,1.42,76,Regular Season
1629723,John Konchar,UTA,-0.17,1.56,1.39,2025-26,-0.14,1.48,1.34,2436,Regular Season
1641801,Emanuel Miller,SAS,1.02,0.35,1.37,2025-26,1.0,0.29,1.29,68,Regular Season
1641761,Grant Nelson,BKN,-0.88,2.23,1.35,2025-26,-0.77,2.31,1.54,70,Regular Season
1631223,David Roddy,DEN,0.96,0.37,1.33,2025-26,0.93,0.28,1.21,156,Regular Season
1642434,Riley Minix,CLE,1.58,-0.27,1.31,2025-26,1.63,-0.28,1.35,129,Regular Season
