PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1631214,Alondes Williams,LAC,20.01,0.3,20.31,2024-25,19.62,0.89,20.51,6,Regular Season
203999,Nikola Jokić,DEN,3.61,1.03,4.64,2024-25,3.54,1.11,4.65,5490,Regular Season
1628983,Shai Gilgeous-Alexander,OKC,3.42,0.53,3.95,2024-25,3.38,0.55,3.93,5546,Regular Season
1641879,Yuri Collins,GSW,1.46,2.15,3.61,2024-25,1.5,1.93,3.43,34,Regular Season
1629667,Jalen McDaniels,SAC,0.47,3.06,3.53,2024-25,0.42,3.11,3.53,17,Regular Season
1630169,Tyrese Haliburton,IND,2.59,0.44,3.03,2024-25,2.58,0.48,3.06,5142,Regular Season
1641752,Bobi Klintman,DET,1.65,1.34,2.99,2024-25,1.6,1.19,2.79,82,Regular Season
203507,Giannis Antetokounmpo,MIL,2.26,0.56,2.82,2024-25,2.21,0.57,2.78,4785,Regular Season
1630164,James Wiseman,IND,3.44,-0.88,2.56,2024-25,3.4,-0.95,2.45,11,Regular Season
1629680,Matisse Thybulle,POR,0.27,2.06,2.33,2024-25,0.24,2.11,2.35,666,Regular Season
202710,Jimmy Butler III,GSW,2.09,0.2,2.29,2024-25,2.08,0.17,2.25,3568,Regular Season
1641705,Victor Wembanyama,SAS,0.11,2.18,2.29,2024-25,0.11,2.29,2.4,3189,Regular Season
1629029,Luka Dončić,LAL,1.77,0.49,2.26,2024-25,1.76,0.53,2.29,3692,Regular Season
204001,Kristaps Porziņģis,BOS,1.12,0.98,2.1,2024-25,1.12,0.96,2.08,2514,Regular Season
1627936,Alex Caruso,OKC,0.43,1.66,2.09,2024-25,0.42,1.65,2.07,2219,Regular Season
1629660,Ty Jerome,CLE,1.97,0.1,2.07,2024-25,1.93,0.12,2.05,2948,Regular Season
1630194,Paul Reed,DET,-0.13,2.09,1.96,2024-25,-0.14,2.02,1.88,906,Regular Season
203076,Anthony Davis,DAL,0.7,1.22,1.92,2024-25,0.68,1.21,1.89,3520,Regular Season
203081,Damian Lillard,MIL,2.0,-0.14,1.86,2024-25,1.99,-0.1,1.89,4406,Regular Season
201939,Stephen Curry,GSW,2.0,-0.24,1.76,2024-25,1.99,-0.14,1.85,4766,Regular Season
1642368,N'Faly Dante,HOU,0.54,1.21,1.75,2024-25,0.47,1.12,1.59,110,Regular Season
1628386,Jarrett Allen,CLE,0.85,0.8,1.65,2024-25,0.78,0.81,1.59,4870,Regular Season
1626143,Jahlil Okafor,IND,0.83,0.81,1.64,2024-25,0.77,0.88,1.65,7,Regular Season
1630222,Mason Jones,SAC,2.1,-0.48,1.62,2024-25,2.11,-0.55,1.56,90,Regular Season
1628973,Jalen Brunson,NYK,1.92,-0.32,1.6,2024-25,1.91,-0.33,1.58,4684,Regular Season
1631221,Collin Gillespie,PHX,1.15,0.44,1.59,2024-25,1.15,0.44,1.59,929,Regular Season
1629655,Daniel Gafford,DAL,1.07,0.51,1.58,2024-25,1.03,0.47,1.5,2583,Regular Season
1642050,Jackson Rowe,GSW,0.78,0.79,1.57,2024-25,0.78,0.75,1.53,116,Regular Season
1630572,Sandro Mamukelashvili,SAS,1.41,0.14,1.55,2024-25,1.4,0.13,1.53,1416,Regular Season
