PLAYER_ID,HX,HY,FGA,FGM,FG3A,FG3M,SEASON_TYPE
0,0.0,0.0,38773,28201,0,0,Regular Season
0,21.7,37.5,14121,7232,0,0,Regular Season
0,-21.7,37.5,12959,6557,0,0,Regular Season
0,0.0,75.0,6746,3150,0,0,Regular Season
0,-216.5,0.0,6001,2262,5878,2222,Regular Season
0,129.9,225.0,5853,2049,5852,2048,Regular Season
0,-129.9,225.0,5638,2027,5638,2027,Regular Season
0,43.3,0.0,5151,2690,0,0,Regular Season
0,-43.3,0.0,4734,2402,0,0,Regular Season
0,216.5,0.0,4693,1831,4584,1793,Regular Season
0,238.2,37.5,4540,1780,4539,1780,Regular Season
0,-21.7,262.5,4240,1518,4240,1518,Regular Season
0,-238.2,37.5,4019,1567,4016,1566,Regular Season
0,-194.9,187.5,3990,1412,3990,1412,Regular Season
0,21.7,262.5,3964,1341,3964,1341,Regular Season
0,-151.6,187.5,3503,1264,3441,1235,Regular Season
0,43.3,75.0,3312,1422,0,0,Regular Season
0,194.9,187.5,3182,1132,3182,1132,Regular Season
0,65.0,262.5,3163,1159,3163,1159,Regular Season
0,65.0,37.5,3143,1344,0,0,Regular Season
0,-65.0,262.5,3106,1086,3106,1086,Regular Season
0,-43.3,75.0,3092,1313,0,0,Regular Season
0,151.6,187.5,2969,1044,2926,1030,Regular Season
0,21.7,112.5,2919,1291,0,0,Regular Season
0,-216.5,150.0,2902,1081,2902,1081,Regular Season
0,-21.7,112.5,2743,1277,0,0,Regular Season
0,-65.0,37.5,2548,1005,0,0,Regular Season
0,-173.2,225.0,2533,899,2533,899,Regular Season
0,216.5,150.0,2488,946,2488,946,Regular Season
0,108.3,262.5,2314,829,2314,829,Regular Season
0,-108.3,262.5,2255,788,2255,788,Regular Season
0,173.2,225.0,2247,775,2247,775,Regular Season
0,-86.6,225.0,2227,803,2185,785,Regular Season
0,86.6,225.0,2211,756,2166,744,Regular Season
0,216.5,75.0,1843,670,1793,653,Regular Season
0,0.0,150.0,1807,806,0,0,Regular Season
0,65.0,112.5,1727,822,0,0,Regular Season
