TEAM_ID,TEAM_NAME,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,SEASON_TYPE
1610612737,Atlanta Hawks,3927.0,3386,2015,1371,1563,34,598,1414,193,200,393,0.491,0.509,96,358,454,0.211,0.789,Regular Season
1610612738,Boston Celtics,3930.0,3555,2161,1394,1155,19,685,1746,206,187,393,0.524,0.476,122,459,581,0.21,0.79,Regular Season
1610612751,Brooklyn Nets,3923.0,3057,1741,1316,1314,41,598,1392,183,170,353,0.518,0.482,87,388,475,0.183,0.817,Regular Season
1610612766,Charlotte Hornets,3864.0,3155,1810,1345,1261,24,763,1825,222,207,429,0.517,0.483,158,426,584,0.271,0.729,Regular Season
1610612741,Chicago Bulls,3896.0,3560,2038,1522,1165,13,586,1352,170,179,349,0.487,0.513,89,405,494,0.18,0.82,Regular Season
1610612739,Cleveland Cavaliers,3914.0,3554,2253,1301,1325,25,824,1963,223,184,407,0.548,0.452,80,479,559,0.143,0.857,Regular Season
1610612742,Dallas Mavericks,3896.0,3483,2247,1236,1207,17,668,1527,197,203,400,0.493,0.508,88,382,470,0.187,0.813,Regular Season
1610612743,Denver Nuggets,3940.0,2986,1751,1235,1246,11,766,1795,170,188,358,0.475,0.525,147,353,500,0.294,0.706,Regular Season
1610612765,Detroit Pistons,3915.0,3428,2087,1341,1289,26,863,2057,197,205,402,0.49,0.51,156,421,577,0.27,0.73,Regular Season
1610612744,Golden State Warriors,3914.0,3617,2197,1420,1594,50,768,1914,240,201,441,0.544,0.456,104,496,600,0.173,0.827,Regular Season
1610612745,Houston Rockets,3932.0,3231,2069,1162,1377,27,717,1680,212,191,403,0.526,0.474,197,439,636,0.31,0.69,Regular Season
1610612754,Indiana Pacers,3928.0,3213,1924,1289,1359,23,566,1313,185,205,390,0.474,0.526,78,407,485,0.161,0.839,Regular Season
1610612746,LA Clippers,3909.0,2937,1671,1266,1413,8,629,1455,170,216,386,0.44,0.56,100,402,502,0.199,0.801,Regular Season
1610612747,Los Angeles Lakers,3904.0,3180,1857,1323,1246,51,660,1579,168,198,366,0.459,0.541,94,432,526,0.179,0.821,Regular Season
1610612763,Memphis Grizzlies,3891.0,3478,2135,1343,1378,24,419,965,212,226,438,0.484,0.516,118,445,563,0.21,0.79,Regular Season
1610612748,Miami Heat,3948.0,3018,1754,1264,1355,24,682,1625,178,196,374,0.476,0.524,86,488,574,0.15,0.85,Regular Season
1610612749,Milwaukee Bucks,3906.0,3320,2078,1242,1258,20,604,1424,151,151,302,0.5,0.5,98,418,516,0.19,0.81,Regular Season
1610612750,Minnesota Timberwolves,3931.0,3147,1954,1193,1409,23,712,1783,192,197,389,0.494,0.506,111,377,488,0.227,0.773,Regular Season
1610612740,New Orleans Pelicans,3902.0,3177,1781,1396,1435,20,695,1630,207,190,397,0.521,0.479,96,381,477,0.201,0.799,Regular Season
1610612752,New York Knicks,3933.0,3256,1911,1345,1336,42,699,1609,192,221,413,0.465,0.535,122,466,588,0.207,0.793,Regular Season
1610612760,Oklahoma City Thunder,3910.0,3570,2016,1554,1751,63,684,1525,208,274,482,0.432,0.568,75,513,588,0.128,0.872,Regular Season
1610612753,Orlando Magic,3892.0,3208,2011,1197,1448,28,649,1464,200,190,390,0.513,0.487,141,396,537,0.263,0.737,Regular Season
1610612755,Philadelphia 76ers,3914.0,2833,1569,1264,1586,30,624,1470,179,222,401,0.446,0.554,114,339,453,0.252,0.748,Regular Season
1610612756,Phoenix Suns,3903.0,2969,1702,1267,1157,13,729,1651,199,183,382,0.521,0.479,77,385,462,0.167,0.833,Regular Season
1610612757,Portland Trail Blazers,3910.0,3298,2027,1271,1290,47,648,1533,193,182,375,0.515,0.485,122,316,438,0.279,0.721,Regular Season
1610612758,Sacramento Kings,3937.0,3222,1838,1384,1307,35,838,1899,180,183,363,0.496,0.504,146,409,555,0.263,0.737,Regular Season
1610612759,San Antonio Spurs,3895.0,3183,1950,1233,1332,11,589,1368,189,228,417,0.453,0.547,67,305,372,0.18,0.82,Regular Season
1610612761,Toronto Raptors,3924.0,3188,1842,1346,1468,35,631,1425,183,185,368,0.497,0.503,96,388,484,0.198,0.802,Regular Season
1610612762,Utah Jazz,3931.0,3354,1945,1409,1091,22,715,1760,214,154,368,0.582,0.418,116,377,493,0.235,0.765,Regular Season
1610612764,Washington Wizards,3887.0,3481,2041,1440,1190,22,710,1665,195,190,385,0.506,0.494,98,355,453,0.216,0.784,Regular Season
1610612738,Boston Celtics,526.0,497,302,195,148,7,75,191,29,26,55,0.527,0.473,12,69,81,0.148,0.852,Playoffs
1610612739,Cleveland Cavaliers,430.0,317,188,129,149,1,102,243,21,28,49,0.429,0.571,15,45,60,0.25,0.75,Playoffs
1610612743,Denver Nuggets,668.0,469,277,192,190,1,127,297,28,31,59,0.475,0.525,19,51,70,0.271,0.729,Playoffs
1610612765,Detroit Pistons,288.0,263,182,81,100,1,59,135,14,13,27,0.519,0.481,9,35,44,0.205,0.795,Playoffs
1610612744,Golden State Warriors,565.0,489,336,153,219,10,100,246,20,25,45,0.444,0.556,18,90,108,0.167,0.833,Playoffs
1610612745,Houston Rockets,333.0,262,132,130,118,0,45,112,18,19,37,0.486,0.514,17,43,60,0.283,0.717,Playoffs
1610612754,Indiana Pacers,1094.0,942,582,360,353,8,192,445,57,55,112,0.509,0.491,27,169,196,0.138,0.862,Playoffs
1610612746,LA Clippers,335.0,289,189,100,111,1,41,92,15,13,28,0.536,0.464,7,23,30,0.233,0.767,Playoffs
1610612747,Los Angeles Lakers,239.0,179,106,73,82,4,41,95,13,11,24,0.542,0.458,5,30,35,0.143,0.857,Playoffs
1610612763,Memphis Grizzlies,192.0,186,117,69,47,1,36,86,7,9,16,0.438,0.563,2,15,17,0.118,0.882,Playoffs
1610612748,Miami Heat,190.0,146,65,81,57,1,18,42,8,12,20,0.4,0.6,6,20,26,0.231,0.769,Playoffs
1610612749,Milwaukee Bucks,243.0,189,127,62,63,0,36,80,12,5,17,0.706,0.294,16,17,33,0.485,0.515,Playoffs
1610612750,Minnesota Timberwolves,715.0,568,334,234,246,1,94,234,33,28,61,0.541,0.459,26,41,67,0.388,0.612,Playoffs
1610612752,New York Knicks,865.0,691,402,289,303,12,170,387,48,38,86,0.558,0.442,49,109,158,0.31,0.69,Playoffs
1610612760,Oklahoma City Thunder,1098.0,1046,643,403,469,7,206,453,60,58,118,0.508,0.492,24,101,125,0.192,0.808,Playoffs
1610612753,Orlando Magic,237.0,177,98,79,61,0,42,91,15,12,27,0.556,0.444,8,17,25,0.32,0.68,Playoffs
