PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1628989,K. Huerter,CHI,1.57,0.91,2.48,20322,2025-26,Regular Season
1627780,G. Payton II,GSW,1.88,0.55,2.43,11581,2025-26,Regular Season
1630194,P. Reed,DET,0.86,1.56,2.42,12069,2025-26,Regular Season
1642845,V. Edgecombe,PHI,1.38,1.03,2.41,11031,2025-26,Regular Season
1629011,M. Robinson,NYK,1.34,1.05,2.39,9010,2025-26,Regular Season
1630178,T. Maxey,PHI,2.29,0.1,2.39,30131,2025-26,Regular Season
1630205,L. Stevens,MEM,0.64,1.68,2.32,2925,2025-26,Regular Season
1630166,D. Avdija,POR,3.44,-1.13,2.31,28300,2025-26,Regular Season
1628988,A. Holiday,HOU,0.26,2.04,2.3,11899,2025-26,Regular Season
1629661,C. Johnson,DEN,2.58,-0.28,2.3,20759,2025-26,Regular Season
1629006,J. Okogie,HOU,1.17,1.12,2.29,12057,2025-26,Regular Season
1626156,D. Russell,DAL,0.76,1.52,2.28,18949,2025-26,Regular Season
1629660,T. Jerome,MEM,3.14,-0.89,2.25,7368,2025-26,Regular Season
1629060,R. Hachimura,LAL,1.21,1.04,2.25,23583,2025-26,Regular Season
1641739,T. Camara,POR,0.17,2.07,2.24,29502,2025-26,Regular Season
1629750,J. Green,DET,0.45,1.77,2.22,12454,2025-26,Regular Season
1630573,S. Hauser,BOS,2.27,-0.06,2.21,21121,2025-26,Regular Season
1630217,D. Bane,ORL,2.32,-0.16,2.16,27519,2025-26,Regular Season
1627884,D. Jones Jr.,LAC,0.7,1.45,2.15,20899,2025-26,Regular Season
1641989,E. Harkless,UTA,0.8,1.34,2.14,2917,2025-26,Regular Season
1630198,I. Joe,OKC,1.34,0.78,2.12,19293,2025-26,Regular Season
1628978,D. DiVincenzo,MIN,1.0,1.08,2.08,26858,2025-26,Regular Season
1629632,C. White,CHI,2.64,-0.61,2.03,27642,2025-26,Regular Season
1630241,S. Merrill,CLE,0.69,1.34,2.03,16057,2025-26,Regular Season
201143,A. Horford,GSW,1.18,0.84,2.02,17955,2025-26,Regular Season
1630163,L. Ball,CHA,4.09,-2.07,2.02,17825,2025-26,Regular Season
1631260,A. Green,MIL,0.87,1.14,2.01,18829,2025-26,Regular Season
1630193,I. Quickley,TOR,1.37,0.64,2.01,21430,2025-26,Regular Season
203076,A. Davis,DAL,0.75,1.25,2.0,21246,2025-26,Regular Season
1629628,R. Barrett,TOR,2.8,-0.81,1.99,23002,2025-26,Regular Season
1629675,N. Reid,MIN,0.04,1.92,1.96,25782,2025-26,Regular Season
1628976,W. Carter Jr.,ORL,-0.25,2.19,1.94,22505,2025-26,Regular Season
1630567,S. Barnes,TOR,0.19,1.74,1.93,29079,2025-26,Regular Season
1630170,D. Vassell,SAS,1.81,0.1,1.91,26659,2025-26,Regular Season
1627826,I. Zubac,LAC,-0.34,2.23,1.89,23968,2025-26,Regular Season
1629026,K. Williams,OKC,1.56,0.33,1.89,12521,2025-26,Regular Season
1628969,M. Bridges,NYK,0.84,1.05,1.89,35195,2025-26,Regular Season
1629130,D. Robinson,DET,1.56,0.32,1.88,23860,2025-26,Regular Season
203468,C. McCollum,WAS,1.56,0.31,1.87,26333,2025-26,Regular Season
203991,C. Capela,HOU,-1.05,2.92,1.87,16908,2025-26,Regular Season
1642853,R. Fleming,PHX,0.93,0.93,1.86,2676,2025-26,Regular Season
1631157,R. Rollins,MIL,1.24,0.62,1.86,13631,2025-26,Regular Season
1627739,K. Dunn,LAC,0.5,1.35,1.85,21781,2025-26,Regular Season
1629004,S. Mykhailiuk,UTA,1.5,0.3,1.8,9875,2025-26,Regular Season
1630162,A. Edwards,MIN,3.3,-1.53,1.77,32296,2025-26,Regular Season
1627736,M. Beasley,DET,0.82,0.95,1.77,19735,2025-26,Regular Season
201587,N. Batum,LAC,0.35,1.38,1.73,17234,2025-26,Regular Season
1642949,Y. Niederhäuser,LAC,0.6,1.1,1.7,1730,2025-26,Regular Season
1627750,J. Murray,DEN,4.48,-2.8,1.68,28715,2025-26,Regular Season
1628991,J. Jackson Jr.,MEM,-1.7,3.37,1.67,24895,2025-26,Regular Season
1628449,C. Boucher,BOS,1.59,0.07,1.66,6847,2025-26,Regular Season
203944,J. Randle,MIN,2.72,-1.11,1.61,26969,2025-26,Regular Season
1642347,J. Shead,TOR,0.54,1.04,1.58,13888,2025-26,Regular Season
1641796,P. Larsson,MIA,1.27,0.31,1.58,11306,2025-26,Regular Season
1628371,J. Isaac,ORL,-0.71,2.29,1.58,10324,2025-26,Regular Season
1626172,K. Looney,NOP,-0.25,1.83,1.58,11002,2025-26,Regular Season
1631099,K. Murray,SAC,-0.76,2.31,1.55,25047,2025-26,Regular Season
1628467,M. Kleber,LAL,0.7,0.85,1.55,8253,2025-26,Regular Season
201572,B. Lopez,LAC,0.02,1.52,1.54,27508,2025-26,Regular Season
1642352,K. Johnson,MIA,1.86,-0.33,1.53,1667,2025-26,Regular Season
1628973,J. Brunson,NYK,3.5,-1.97,1.53,31078,2025-26,Regular Season
1629680,M. Thybulle,POR,-1.2,2.71,1.51,9576,2025-26,Regular Season
1629630,J. Morant,MEM,0.29,1.22,1.51,10618,2025-26,Regular Season
201567,K. Love,UTA,1.54,-0.04,1.5,7561,2025-26,Regular Season
