GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,PLUS_MINUS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,POSS,EFG_PCT,TS_PCT,AST_RATIO,AST_PCT,AST_TO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PIE,SEASON_TYPE,team,team_id,players_list
Lineups,-2734-203115-1626168-,D. Harris - W. Barton - T. Lyles,21,14,7,0.667,186.286667,27.0,168.0,347.0,0.484,39.0,120.0,0.325,85.0,108.0,0.787,49.0,130.0,179.0,99.0,53.0,31.0,29.0,460.0,115.3,106.9,8.4,103.58,399,0.54,0.583,17.8,0.589,1.87,0.318,0.701,0.512,0.133,0.542,Regular Season,DEN,1610612743,"[""D. Harris"", ""W. Barton"", ""T. Lyles""]"
Lineups,-202326-203076-203121-,D. Cousins - A. Davis - D. Miller,35,20,15,0.571,186.25,53.0,147.0,311.0,0.473,32.0,105.0,0.305,105.0,134.0,0.784,34.0,142.0,176.0,88.0,65.0,30.0,18.0,431.0,103.9,94.0,9.8,105.28,415,0.524,0.582,16.1,0.599,1.35,0.253,0.782,0.528,0.157,0.573,Regular Season,NOP,1610612740,"[""D. Cousins"", ""A. Davis"", ""D. Miller""]"
Lineups,-203518-203924-203962-,A. Abrines - J. Grant - J. Huestis,40,24,16,0.6,186.136667,29.0,143.0,317.0,0.451,52.0,130.0,0.4,71.0,98.0,0.724,44.0,125.0,169.0,79.0,52.0,25.0,27.0,409.0,112.1,101.1,11.0,95.54,365,0.533,0.568,15.7,0.552,1.52,0.326,0.703,0.514,0.142,0.537,Regular Season,OKC,1610612760,"[""A. Abrines"", ""J. Grant"", ""J. Huestis""]"
Lineups,-202339-203503-1627748-,E. Bledsoe - T. Snell - T. Maker,42,27,15,0.643,186.108333,-3.0,150.0,316.0,0.475,34.0,111.0,0.306,75.0,94.0,0.798,37.0,110.0,147.0,87.0,61.0,41.0,18.0,409.0,104.9,103.5,1.4,101.62,390,0.528,0.572,16.7,0.58,1.43,0.247,0.702,0.468,0.156,0.495,Regular Season,MIL,1610612749,"[""E. Bledsoe"", ""T. Snell"", ""T. Maker""]"
Lineups,-201573-203954-204456-,J. Bayless - J. Embiid - T. McConnell,27,18,9,0.667,186.1,22.0,156.0,317.0,0.492,45.0,115.0,0.391,74.0,95.0,0.779,31.0,135.0,166.0,98.0,66.0,34.0,26.0,431.0,106.4,102.0,4.4,103.94,405,0.563,0.601,18.0,0.628,1.48,0.251,0.708,0.5,0.163,0.555,Regular Season,PHI,1610612755,"[""J. Bayless"", ""J. Embiid"", ""T. McConnell""]"
Lineups,-201143-203382-1626179-,A. Horford - A. Baynes - T. Rozier,16,9,7,0.563,185.978333,-25.0,137.0,320.0,0.428,42.0,119.0,0.353,46.0,58.0,0.793,41.0,127.0,168.0,74.0,50.0,17.0,21.0,362.0,103.1,107.8,-4.7,91.62,351,0.494,0.524,15.5,0.54,1.48,0.295,0.717,0.504,0.142,0.478,Playoffs,BOS,1610612738,"[""A. Horford"", ""A. Baynes"", ""T. Rozier""]"
Lineups,-201158-203145-1628381-,M. Belinelli - K. Bazemore - J. Collins,38,11,27,0.289,185.965,-39.0,143.0,331.0,0.432,25.0,109.0,0.229,72.0,87.0,0.828,38.0,112.0,150.0,77.0,55.0,31.0,18.0,383.0,94.1,107.1,-13.0,103.37,407,0.47,0.519,14.4,0.538,1.4,0.277,0.594,0.44,0.135,0.448,Regular Season,ATL,1610612737,"[""M. Belinelli"", ""K. Bazemore"", ""J. Collins""]"
Lineups,-203584-1627737-1627755-,T. Daniels - M. Chriss - T. Ulis,37,11,26,0.297,185.908333,-38.0,145.0,323.0,0.449,46.0,124.0,0.371,66.0,90.0,0.733,35.0,130.0,165.0,76.0,57.0,25.0,18.0,402.0,100.5,108.9,-8.4,103.79,400,0.52,0.554,14.6,0.524,1.33,0.221,0.713,0.464,0.143,0.427,Regular Season,PHX,1610612756,"[""T. Daniels"", ""M. Chriss"", ""T. Ulis""]"
Lineups,-201942-202685-1626153-,D. DeRozan - J. Valanciunas - D. Wright,36,23,13,0.639,185.895,-28.0,141.0,330.0,0.427,28.0,92.0,0.304,93.0,113.0,0.823,45.0,131.0,176.0,79.0,51.0,22.0,29.0,403.0,101.8,112.8,-11.1,100.44,396,0.47,0.531,14.8,0.56,1.55,0.315,0.693,0.505,0.129,0.474,Regular Season,TOR,1610612761,"[""D. DeRozan"", ""J. Valanciunas"", ""D. Wright""]"
Lineups,-201585-1626161-1627741-,K. Koufos - W. Cauley-Stein - B. Hield,28,13,15,0.464,185.781667,3.0,146.0,328.0,0.445,29.0,78.0,0.372,36.0,54.0,0.667,40.0,127.0,167.0,88.0,49.0,26.0,21.0,357.0,98.1,97.3,0.8,94.05,364,0.489,0.507,17.5,0.603,1.8,0.302,0.739,0.516,0.135,0.486,Regular Season,SAC,1610612758,"[""K. Koufos"", ""W. Cauley-Stein"", ""B. Hield""]"
