PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1626181,N. Powell,LAC,23.06,565,2022-23,Regular Season
1628401,D. White,BOS,22.86,518,2022-23,Regular Season
203497,R. Gobert,MIN,22.63,578,2022-23,Regular Season
1626162,K. Oubre Jr.,CHA,22.48,511,2022-23,Regular Season
1631099,K. Murray,SAC,22.45,416,2022-23,Regular Season
203471,D. Schröder,LAL,22.37,486,2022-23,Regular Season
1628381,J. Collins,ATL,22.35,502,2022-23,Regular Season
1628415,D. Brooks,MEM,22.35,512,2022-23,Regular Season
202685,J. Valančiūnas,NOP,22.32,631,2022-23,Regular Season
1628365,M. Fultz,ORL,22.26,461,2022-23,Regular Season
1628386,J. Allen,CLE,21.92,565,2022-23,Regular Season
1629651,N. Claxton,BKN,21.33,547,2022-23,Regular Season
1628976,W. Carter Jr.,ORL,21.13,466,2022-23,Regular Season
1629627,Z. Williamson,NOP,21.07,462,2022-23,Regular Season
1627747,C. LeVert,CLE,21.03,450,2022-23,Regular Season
201144,M. Conley,UTA,20.83,402,2022-23,Regular Season
1628971,B. Brown,DEN,20.82,474,2022-23,Regular Season
1626171,B. Portis,MIL,20.73,494,2022-23,Regular Season
1630559,A. Reaves,LAL,20.56,488,2022-23,Regular Season
201569,E. Gordon,HOU,20.44,433,2022-23,Regular Season
1627826,I. Zubac,LAC,20.0,492,2022-23,Regular Season
1627751,J. Poeltl,SAS,19.89,508,2022-23,Regular Season
101108,C. Paul,PHX,19.64,427,2022-23,Regular Season
1629675,N. Reid,MIN,19.62,396,2022-23,Regular Season
203486,M. Plumlee,CHA,19.58,528,2022-23,Regular Season
1629656,Q. Grimes,NYK,18.91,360,2022-23,Regular Season
203484,K. Caldwell-Pope,DEN,18.87,395,2022-23,Regular Season
1630163,L. Ball,CHA,18.87,398,2022-23,Regular Season
1630200,T. Jones,SAS,18.86,489,2022-23,Regular Season
1630168,O. Okongwu,ATL,18.82,470,2022-23,Regular Season
203991,C. Capela,ATL,18.74,429,2022-23,Regular Season
1630172,P. Williams,CHI,18.63,404,2022-23,Regular Season
1630174,A. Nesmith,IND,18.31,371,2022-23,Regular Season
1628404,J. Hart,POR,18.24,407,2022-23,Regular Season
1629001,D. Melton,PHI,18.24,346,2022-23,Regular Season
203994,J. Nurkić,POR,18.2,388,2022-23,Regular Season
1628960,G. Allen,MIL,18.04,359,2022-23,Regular Season
1630165,K. Hayes,DET,18.01,398,2022-23,Regular Season
1626145,T. Jones,MEM,17.95,391,2022-23,Regular Season
1630175,C. Anthony,ORL,17.85,429,2022-23,Regular Season
1629012,C. Sexton,UTA,17.66,400,2022-23,Regular Season
202330,G. Hayward,CHA,17.62,404,2022-23,Regular Season
1629614,A. Nembhard,IND,17.61,333,2022-23,Regular Season
200768,K. Lowry,MIA,17.6,312,2022-23,Regular Season
203992,B. Bogdanović,ATL,17.5,337,2022-23,Regular Season
1628380,Z. Collins,SAS,17.5,392,2022-23,Regular Season
202694,M. Morris Sr.,LAC,17.46,342,2022-23,Regular Season
1630557,C. Kispert,WAS,17.37,366,2022-23,Regular Season
1629632,C. White,CHI,17.26,324,2022-23,Regular Season
1629659,T. Horton-Tucker,UTA,17.18,383,2022-23,Regular Season
1629667,J. McDaniels,CHA,17.12,397,2022-23,Regular Season
1626220,R. O'Neale,BKN,17.04,279,2022-23,Regular Season
203935,M. Smart,BOS,16.91,337,2022-23,Regular Season
1628997,C. Martin,MIA,16.67,345,2022-23,Regular Season
1631117,W. Kessler,UTA,16.57,380,2022-23,Regular Season
1629655,D. Gafford,WAS,16.32,416,2022-23,Regular Season
1630198,I. Joe,OKC,16.23,306,2022-23,Regular Season
1629216,G. Vincent,MIA,16.23,296,2022-23,Regular Season
202692,A. Burks,DET,16.19,353,2022-23,Regular Season
1631101,S. Sharpe,POR,16.18,381,2022-23,Regular Season
202704,R. Jackson,LAC,15.99,334,2022-23,Regular Season
1629060,R. Hachimura,WAS,15.9,372,2022-23,Regular Season
1629669,J. Nowell,MIN,15.83,357,2022-23,Regular Season
203110,D. Green,GSW,15.78,327,2022-23,Regular Season
1630245,A. Dosunmu,CHI,15.71,347,2022-23,Regular Season
1627777,G. Niang,PHI,15.6,261,2022-23,Regular Season
1631106,T. Eason,HOU,15.55,404,2022-23,Regular Season
1630166,D. Avdija,WAS,15.4,375,2022-23,Regular Season
203926,D. McDermott,SAS,15.35,291,2022-23,Regular Season
1629611,T. Mann,LAC,15.23,364,2022-23,Regular Season
203937,K. Anderson,MIN,15.18,352,2022-23,Regular Season
1628449,C. Boucher,TOR,15.05,389,2022-23,Regular Season
1629022,L. Walker IV,LAL,15.03,327,2022-23,Regular Season
1630228,J. Kuminga,GSW,15.03,351,2022-23,Regular Season
1628978,D. DiVincenzo,GSW,14.98,293,2022-23,Regular Season
1626157,K. Towns,MIN,14.94,330,2022-23,Regular Season
1629684,G. Williams,BOS,14.85,310,2022-23,Regular Season
1630188,J. Smith,IND,14.75,346,2022-23,Regular Season
204456,T. McConnell,IND,14.66,341,2022-23,Regular Season
1631100,A. Griffin,ATL,14.59,290,2022-23,Regular Season
1630560,C. Thomas,BKN,14.56,352,2022-23,Regular Season
1629020,J. Vanderbilt,UTA,14.49,343,2022-23,Regular Season
1630170,D. Vassell,SAS,14.44,339,2022-23,Regular Season
1630538,B. Hyland,DEN,14.29,314,2022-23,Regular Season
1630529,H. Jones,NOP,14.27,358,2022-23,Regular Season
1631105,J. Duren,DET,14.12,353,2022-23,Regular Season
1629626,B. Bol,ORL,14.08,343,2022-23,Regular Season
1631110,J. Sochan,SAS,14.03,331,2022-23,Regular Season
1626196,J. Richardson,SAS,13.98,308,2022-23,Regular Season
1630583,S. Aldama,MEM,13.9,355,2022-23,Regular Season
201143,A. Horford,BOS,13.75,243,2022-23,Regular Season
1629661,C. Johnson,PHX,13.75,324,2022-23,Regular Season
201587,N. Batum,LAC,13.74,194,2022-23,Regular Season
1626172,K. Looney,GSW,13.72,336,2022-23,Regular Season
1628420,M. Morris,WAS,13.71,311,2022-23,Regular Season
1630182,J. Green,DAL,13.69,273,2022-23,Regular Season
203952,A. Wiggins,GSW,13.67,294,2022-23,Regular Season
1629003,S. Milton,PHI,13.66,340,2022-23,Regular Season
1630591,J. Suggs,ORL,13.64,272,2022-23,Regular Season
1627827,D. Finney-Smith,DAL,13.63,240,2022-23,Regular Season
1628966,K. Bates-Diop,SAS,13.63,355,2022-23,Regular Season
203493,R. Bullock Jr.,DAL,13.54,218,2022-23,Regular Season
1630230,N. Marshall,NOP,13.52,385,2022-23,Regular Season
