GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612737,ATL,Atlanta Hawks,1627760,"Barber, Cat",On,3,13.0,41.1,131.0,96.4,34.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,63,1849.0,5.0,116.6,112.1,4.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630602,"Brown Jr., Chaundee",On,3,83.0,-11.0,109.8,120.7,-10.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,74,2042.0,3.0,116.6,113.3,3.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",On,54,1663.0,1.0,113.5,112.7,0.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630536,"Cooper, Sharife",On,13,39.0,-43.5,62.1,106.0,-43.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203476,"Dieng, Gorgui",On,44,371.0,-8.1,100.3,109.5,-9.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,201568,"Gallinari, Danilo",On,66,1672.0,3.1,116.0,112.6,3.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630792,"Hill, Malcolm",On,3,46.0,10.5,128.9,119.8,9.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203524,"Hill, Solomon",On,13,139.0,14.1,109.4,95.1,14.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628989,"Huerter, Kevin",On,74,2188.0,3.7,116.4,112.5,3.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,53,1577.0,0.9,114.6,113.9,0.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628411,"Iwundu, Wes",On,3,82.0,0.0,117.0,118.4,-1.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,22,120.0,-7.6,95.8,105.8,-10.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628995,"Knox II, Kevin",On,17,112.0,-10.3,102.4,112.5,-10.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627789,"Luwawu-Cabarrot, Timothe",On,52,685.0,-3.6,109.7,113.2,-3.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630219,"Mays, Skylar",On,28,220.0,-11.6,104.6,117.5,-12.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,48,992.0,5.3,114.6,109.1,5.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628419,"Oliver, Cameron",On,2,43.0,-2.2,122.5,123.3,-0.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629629,"Reddish, Cam",On,34,797.0,-10.0,103.8,113.8,-10.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,202362,"Stephenson, Lance",On,6,70.0,5.5,104.1,97.3,6.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,101150,"Williams, Lou",On,56,799.0,0.9,110.4,109.5,0.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1626153,"Wright, Delon",On,77,1453.0,2.0,111.6,108.8,2.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,76,2652.0,2.9,117.2,114.9,2.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627760,"Barber, Cat",Off,5,227.0,-11.2,116.3,127.8,-11.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",Off,82,2092.0,-1.5,112.0,113.4,-1.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630602,"Brown Jr., Chaundee",Off,6,205.0,3.0,126.5,123.5,3.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",Off,82,1899.0,0.0,110.9,111.2,-0.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629598,"Clemons, Chris",Off,5,240.0,-5.2,118.3,123.2,-4.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",Off,82,2278.0,1.9,114.7,112.9,1.8,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630536,"Cooper, Sharife",Off,82,3902.0,2.0,115.9,113.8,2.1,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203476,"Dieng, Gorgui",Off,82,3570.0,2.6,116.5,113.7,2.7,Atlanta Hawks,Regular Season
