GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612737,ATL,Atlanta Hawks,200765,"Rondo, Rajon",Off,44,1720.0,3.5,114.9,111.9,3.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203503,"Snell, Tony",Off,72,2489.0,2.0,113.2,111.2,2.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,101150,"Williams, Lou",Off,28,854.0,5.3,116.9,111.5,5.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",Off,72,1356.0,-3.5,104.4,107.8,-3.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,18,598.0,2.6,110.2,107.7,2.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,18,569.0,0.2,109.3,108.0,1.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",On,18,576.0,1.2,112.1,110.4,1.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1627739,"Dunn, Kris",On,5,33.0,13.1,98.6,91.3,7.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,6,12.0,28.8,96.0,77.3,18.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,201568,"Gallinari, Danilo",On,18,442.0,-2.7,106.7,110.2,-3.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203524,"Hill, Solomon",On,14,145.0,-21.8,92.9,110.3,-17.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628989,"Huerter, Kevin",On,18,558.0,-4.0,106.8,110.8,-4.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,5,152.0,10.8,111.2,100.3,10.9,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630233,"Knight, Nathan",On,6,14.0,-24.1,61.3,86.7,-25.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630219,"Mays, Skylar",On,7,17.0,0.0,75.0,81.1,-6.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,18,166.0,-6.7,98.0,104.8,-6.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629629,"Reddish, Cam",On,4,92.0,-0.5,111.3,112.4,-1.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203503,"Snell, Tony",On,9,66.0,-28.5,89.4,114.6,-25.2,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,101150,"Williams, Lou",On,18,277.0,-3.3,105.1,108.6,-3.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,16,603.0,-0.6,110.9,111.7,-0.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",Off,18,266.0,-10.8,101.8,110.5,-8.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",Off,18,295.0,-4.7,102.9,110.3,-7.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",Off,18,288.0,-6.8,99.2,105.1,-5.9,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1627739,"Dunn, Kris",Off,18,831.0,-2.1,108.9,111.3,-2.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",Off,18,852.0,-1.9,108.9,110.9,-2.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,201568,"Gallinari, Danilo",Off,18,422.0,-0.2,107.7,107.5,0.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629164,"Goodwin, Brandon",Off,18,864.0,-1.5,108.8,110.5,-1.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203524,"Hill, Solomon",Off,18,719.0,2.6,111.5,109.2,2.3,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1628989,"Huerter, Kevin",Off,18,306.0,3.1,107.9,104.9,3.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",Off,18,712.0,-4.1,107.8,112.3,-4.5,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630233,"Knight, Nathan",Off,18,850.0,-1.1,109.5,111.0,-1.4,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630219,"Mays, Skylar",Off,18,847.0,-1.5,109.5,111.2,-1.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",Off,18,698.0,-0.3,109.9,110.0,-0.1,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629629,"Reddish, Cam",Off,18,772.0,-1.6,108.2,110.0,-1.8,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,203503,"Snell, Tony",Off,18,798.0,0.7,110.2,109.5,0.7,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,101150,"Williams, Lou",Off,18,587.0,-0.7,108.1,109.2,-1.0,Atlanta Hawks,Playoffs
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",Off,18,261.0,-3.7,100.2,103.2,-3.0,Atlanta Hawks,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",On,58,1999.0,1.7,113.5,111.8,1.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629035,"Edwards, Carsen",On,31,276.0,-4.4,105.1,109.2,-4.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629605,"Fall, Tacko",On,19,136.0,9.2,113.9,107.6,6.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203095,"Fournier, Evan",On,16,472.0,4.5,113.4,109.9,3.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629750,"Green, Javonte",On,25,345.0,-5.4,105.3,109.8,-4.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628436,"Kornet, Luke",On,18,254.0,8.3,109.4,101.7,7.7,Boston Celtics,Regular Season
