TeamID,TeamCity,TeamName,Conference,Division,ConferenceRecord,PlayoffRank,WINS,LOSSES,WinPCT,HOME,ROAD,L10,STREAK,GB,TEAM_ABBREVIATION,SEASON_TYPE
1610612760,Oklahoma City,Thunder,West,Northwest,36-16,1,57,25,0.695,33-8,24-17,7-3,W 5,0.0,OKC,Regular Season
1610612738,Boston,Celtics,East,Atlantic,41-11,1,64,18,0.78,37-4,27-14,7-3,W 2,0.0,BOS,Regular Season
1610612743,Denver,Nuggets,West,Northwest,33-19,2,57,25,0.695,33-8,24-17,6-4,W 1,0.0,DEN,Regular Season
1610612752,New York,Knicks,East,Atlantic,35-17,2,50,32,0.61,27-14,23-18,6-4,W 5,14.0,NYK,Regular Season
1610612750,Minnesota,Timberwolves,West,Northwest,37-15,3,56,26,0.683,30-11,26-15,6-4,L 1,1.0,MIN,Regular Season
1610612749,Milwaukee,Bucks,East,Central,34-18,3,49,33,0.598,31-11,18-22,3-7,L 2,15.0,MIL,Regular Season
1610612739,Cleveland,Cavaliers,East,Central,31-21,4,48,34,0.585,26-15,22-19,4-6,L 1,16.0,CLE,Regular Season
1610612746,LA,Clippers,West,Pacific,30-22,4,51,31,0.622,25-16,26-15,6-4,L 3,6.0,LAC,Regular Season
1610612753,Orlando,Magic,East,Southeast,32-20,5,47,35,0.573,29-12,18-23,5-5,W 1,17.0,ORL,Regular Season
1610612742,Dallas,Mavericks,West,Southwest,31-21,5,50,32,0.61,25-16,25-16,7-3,L 2,7.0,DAL,Regular Season
1610612756,Phoenix,Suns,West,Pacific,29-23,6,49,33,0.598,25-16,24-17,7-3,W 3,8.0,PHX,Regular Season
1610612754,Indiana,Pacers,East,Central,32-20,6,47,35,0.573,26-15,21-20,7-3,W 1,17.0,IND,Regular Season
1610612740,New Orleans,Pelicans,West,Southwest,30-22,7,49,33,0.598,21-19,28-14,5-5,L 1,8.0,NOP,Regular Season
1610612755,Philadelphia,76ers,East,Atlantic,31-21,7,47,35,0.573,25-16,22-19,8-2,W 8,17.0,PHI,Regular Season
1610612747,Los Angeles,Lakers,West,Pacific,27-25,8,47,35,0.573,28-14,19-21,7-3,W 2,10.0,LAL,Regular Season
1610612748,Miami,Heat,East,Southeast,32-20,8,46,36,0.561,22-19,24-17,7-3,W 2,18.0,MIA,Regular Season
1610612741,Chicago,Bulls,East,Central,22-29,9,39,43,0.476,20-21,19-22,5-5,L 1,25.0,CHI,Regular Season
1610612758,Sacramento,Kings,West,Pacific,30-22,9,46,36,0.561,24-17,22-19,4-6,W 1,11.0,SAC,Regular Season
1610612737,Atlanta,Hawks,East,Southeast,22-30,10,36,46,0.439,21-20,15-26,3-7,L 6,28.0,ATL,Regular Season
1610612744,Golden State,Warriors,West,Pacific,26-26,10,46,36,0.561,21-20,25-16,8-2,W 1,11.0,GSW,Regular Season
1610612751,Brooklyn,Nets,East,Atlantic,24-28,11,32,50,0.39,20-21,12-29,5-5,L 2,32.0,BKN,Regular Season
1610612745,Houston,Rockets,West,Southwest,28-24,11,41,41,0.5,27-14,14-27,4-6,W 2,16.0,HOU,Regular Season
1610612761,Toronto,Raptors,East,Atlantic,18-34,12,25,57,0.305,14-27,11-30,2-8,L 4,39.0,TOR,Regular Season
1610612762,Utah,Jazz,West,Northwest,16-36,12,31,51,0.378,21-20,10-31,2-8,L 1,26.0,UTA,Regular Season
1610612766,Charlotte,Hornets,East,Southeast,14-38,13,21,61,0.256,11-30,10-31,3-7,W 1,43.0,CHA,Regular Season
1610612763,Memphis,Grizzlies,West,Southwest,14-37,13,27,55,0.329,9-32,18-23,3-7,L 5,30.0,MEM,Regular Season
1610612759,San Antonio,Spurs,West,Southwest,14-37,14,22,60,0.268,12-29,10-31,6-4,W 2,35.0,SAS,Regular Season
1610612764,Washington,Wizards,East,Southeast,11-41,14,15,67,0.183,7-34,8-33,1-9,L 6,49.0,WAS,Regular Season
1610612765,Detroit,Pistons,East,Central,10-41,15,14,68,0.171,7-33,7-35,2-8,L 1,50.0,DET,Regular Season
1610612757,Portland,Trail Blazers,West,Northwest,8-44,15,21,61,0.256,11-30,10-31,2-8,L 5,36.0,POR,Regular Season
