OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_TOV,SFL,SEASON_TYPE
201942,DeMar DeRozan,1628384,OG Anunoby,6,43.8,229.5,32,13,39,1,8,6,4,Regular Season
203999,Nikola Jokić,1627734,Domantas Sabonis,4,44.0,219.1,53,22,48,2,10,2,4,Regular Season
1627734,Domantas Sabonis,202685,Jonas Valančiūnas,5,40.8,215.4,56,24,39,0,2,12,6,Regular Season
1627736,Malik Beasley,1630169,Tyrese Haliburton,5,39.6,213.3,17,7,19,3,9,0,0,Regular Season
203076,Anthony Davis,203994,Jusuf Nurkić,5,38.3,207.9,36,16,44,0,1,1,4,Regular Season
203994,Jusuf Nurkić,203076,Anthony Davis,5,41.2,203.9,22,7,20,1,3,8,6,Regular Season
201142,Kevin Durant,203084,Harrison Barnes,4,39.7,201.4,38,16,34,2,10,9,2,Regular Season
1627734,Domantas Sabonis,203999,Nikola Jokić,4,39.1,200.0,54,24,48,1,2,5,4,Regular Season
203076,Anthony Davis,1627734,Domantas Sabonis,4,36.6,195.2,44,15,39,2,4,4,7,Regular Season
1628384,OG Anunoby,201942,DeMar DeRozan,6,40.7,193.9,36,15,21,6,8,7,0,Regular Season
1630578,Alperen Sengun,203999,Nikola Jokić,4,40.0,191.4,65,30,57,2,9,7,3,Regular Season
203497,Rudy Gobert,1631096,Chet Holmgren,4,40.4,189.7,31,12,24,0,1,2,3,Regular Season
203507,Giannis Antetokounmpo,203944,Julius Randle,4,34.8,188.1,55,25,39,2,3,9,4,Regular Season
1627734,Domantas Sabonis,203076,Anthony Davis,4,37.0,186.5,36,16,25,0,1,5,4,Regular Season
203999,Nikola Jokić,1630578,Alperen Sengun,4,39.9,185.9,77,34,75,4,14,7,4,Regular Season
1628386,Jarrett Allen,202696,Nikola Vučević,4,40.2,184.6,27,13,21,0,2,2,1,Regular Season
202685,Jonas Valančiūnas,1627734,Domantas Sabonis,5,37.7,181.3,35,15,25,0,0,2,3,Regular Season
201572,Brook Lopez,1626167,Myles Turner,5,36.2,179.9,29,11,33,4,19,2,2,Regular Season
1626164,Devin Booker,1631099,Keegan Murray,5,35.3,177.8,39,14,27,2,6,4,6,Regular Season
203944,Julius Randle,203507,Giannis Antetokounmpo,4,33.6,172.7,33,13,32,1,6,7,5,Regular Season
1627826,Ivica Zubac,1627734,Domantas Sabonis,4,36.8,168.2,28,14,28,0,0,4,0,Regular Season
1627736,Malik Beasley,1628973,Jalen Brunson,5,31.5,166.4,25,9,21,7,15,0,0,Regular Season
1627734,Domantas Sabonis,203994,Jusuf Nurkić,4,34.6,163.8,39,17,34,1,3,5,3,Regular Season
201572,Brook Lopez,202696,Nikola Vučević,4,31.2,162.2,37,13,21,9,16,4,1,Regular Season
2544,LeBron James,1628415,Dillon Brooks,4,30.6,160.8,47,20,36,2,10,3,5,Regular Season
1628389,Bam Adebayo,1631105,Jalen Duren,4,33.4,159.0,36,16,28,2,2,4,2,Regular Season
203497,Rudy Gobert,1627734,Domantas Sabonis,3,31.6,158.5,26,11,17,0,0,4,3,Regular Season
1627734,Domantas Sabonis,203497,Rudy Gobert,3,34.2,157.9,36,15,31,1,3,3,3,Regular Season
1627734,Domantas Sabonis,1627826,Ivica Zubac,4,29.4,157.2,32,11,35,1,5,4,7,Regular Season
203484,Kentavious Caldwell-Pope,201939,Stephen Curry,4,32.5,155.7,10,4,14,2,9,0,0,Regular Season
203497,Rudy Gobert,1641705,Victor Wembanyama,4,30.9,155.3,32,14,25,0,0,3,3,Regular Season
203084,Harrison Barnes,201142,Kevin Durant,4,29.4,154.1,12,5,13,2,6,0,0,Regular Season
1628389,Bam Adebayo,203991,Clint Capela,4,34.0,153.2,25,11,20,1,2,5,2,Regular Season
