PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
203507,G. Antetokounmpo,MIL,2.52,4.17,6.69,30050,2019-20,Regular Season
2544,L. James,LAL,3.77,2.63,6.4,30798,2019-20,Regular Season
101108,C. Paul,OKC,4.74,1.43,6.17,24353,2019-20,Regular Season
201142,K. Durant,GSW,5.54,0.24,5.78,21570,2019-20,Regular Season
201939,S. Curry,GSW,5.31,0.35,5.66,17925,2019-20,Regular Season
203954,J. Embiid,PHI,1.78,3.87,5.65,23523,2019-20,Regular Season
201935,J. Harden,HOU,4.85,0.72,5.57,33052,2019-20,Regular Season
1628369,J. Tatum,BOS,2.47,3.08,5.55,29665,2019-20,Regular Season
201950,J. Holiday,NOP,3.37,1.87,5.24,32193,2019-20,Regular Season
202695,K. Leonard,LAC,3.86,1.34,5.2,17180,2019-20,Regular Season
1627783,P. Siakam,TOR,2.68,2.51,5.19,26561,2019-20,Regular Season
203081,D. Lillard,POR,5.24,-0.2,5.04,33807,2019-20,Regular Season
200794,P. Millsap,DEN,2.02,3.01,5.03,17517,2019-20,Regular Season
202331,P. George,LAC,2.92,1.98,4.9,30410,2019-20,Regular Season
1627936,A. Caruso,LAL,1.03,3.62,4.65,9647,2019-20,Regular Season
202710,J. Butler III,MIA,2.84,1.74,4.58,26017,2019-20,Regular Season
1629130,D. Robinson,MIA,3.07,1.51,4.58,9613,2019-20,Regular Season
203490,O. Porter Jr.,CHI,2.77,1.41,4.18,18535,2019-20,Regular Season
201143,A. Horford,PHI,1.93,2.18,4.11,25923,2019-20,Regular Season
200768,K. Lowry,TOR,2.1,1.97,4.07,28785,2019-20,Regular Season
203496,R. Covington,HOU,0.46,3.61,4.07,25024,2019-20,Regular Season
201976,P. Beverley,LAC,2.23,1.79,4.02,16101,2019-20,Regular Season
204060,J. Ingles,UTA,1.52,2.43,3.95,30172,2019-20,Regular Season
202696,N. Vučević,ORL,2.36,1.34,3.7,25837,2019-20,Regular Season
201980,D. Green,LAL,2.37,1.29,3.66,23672,2019-20,Regular Season
201937,R. Rubio,PHX,1.19,2.46,3.65,25870,2019-20,Regular Season
1628978,D. DiVincenzo,MIL,1.37,2.27,3.64,8558,2019-20,Regular Season
202357,N. Bjelica,SAC,2.91,0.69,3.6,21719,2019-20,Regular Season
201588,G. Hill,MIL,2.77,0.76,3.53,18282,2019-20,Regular Season
201188,M. Gasol,TOR,1.02,2.5,3.52,24313,2019-20,Regular Season
203500,S. Adams,OKC,1.82,1.66,3.48,28923,2019-20,Regular Season
202704,R. Jackson,LAC,2.44,1.04,3.48,17281,2019-20,Regular Season
202339,E. Bledsoe,MIL,2.27,1.11,3.38,26833,2019-20,Regular Season
1626159,J. Winslow,MIA,0.11,3.27,3.38,16470,2019-20,Regular Season
203506,V. Oladipo,IND,1.06,2.29,3.35,17363,2019-20,Regular Season
204001,K. Porziņģis,DAL,1.97,1.36,3.33,14045,2019-20,Regular Season
202722,D. Bertans,WAS,3.63,-0.31,3.32,18244,2019-20,Regular Season
203076,A. Davis,LAL,0.9,2.37,3.27,28904,2019-20,Regular Season
1626220,R. O'Neale,UTA,1.2,2.03,3.23,20233,2019-20,Regular Season
1627751,J. Poeltl,SAS,2.58,0.61,3.19,16600,2019-20,Regular Season
1629056,T. Davis,TOR,2.35,0.83,3.18,5151,2019-20,Regular Season
203497,R. Gobert,UTA,0.2,2.98,3.18,28015,2019-20,Regular Season
1626157,K. Towns,MIN,4.01,-0.86,3.15,27719,2019-20,Regular Season
1627826,I. Zubac,LAC,-0.83,3.95,3.12,11791,2019-20,Regular Season
203999,N. Jokić,DEN,2.6,0.51,3.11,29627,2019-20,Regular Season
2403,Nene,HOU,0.64,2.37,3.01,5485,2019-20,Regular Season
203994,J. Nurkić,POR,0.97,2.01,2.98,18080,2019-20,Regular Season
1628401,D. White,SAS,1.02,1.93,2.95,14844,2019-20,Regular Season
1629067,I. Bonga,WAS,-0.57,3.47,2.9,5876,2019-20,Regular Season
1629185,C. Chiozza,BKN,0.62,2.26,2.88,1886,2019-20,Regular Season
203939,D. Powell,DAL,2.38,0.5,2.88,17989,2019-20,Regular Season
203471,D. Schröder,OKC,0.99,1.86,2.85,27125,2019-20,Regular Season
1626149,M. Harrell,LAC,1.5,1.3,2.8,22435,2019-20,Regular Season
201988,P. Mills,SAS,3.31,-0.52,2.79,23039,2019-20,Regular Season
203110,D. Green,GSW,0.19,2.47,2.66,23792,2019-20,Regular Season
201572,B. Lopez,MIL,0.45,2.17,2.62,25564,2019-20,Regular Season
203526,R. Neto,PHI,0.62,1.98,2.6,6835,2019-20,Regular Season
202689,K. Walker,BOS,3.89,-1.3,2.59,30670,2019-20,Regular Season
2738,A. Iguodala,MIA,0.47,2.11,2.58,15307,2019-20,Regular Season
1629640,K. Johnson,SAS,1.95,0.62,2.57,1335,2019-20,Regular Season
1628988,A. Holiday,IND,1.77,0.79,2.56,9516,2019-20,Regular Season
203114,K. Middleton,MIL,2.28,0.26,2.54,30816,2019-20,Regular Season
2736,L. Deng,MIN,1.66,0.82,2.48,1691,2019-20,Regular Season
1629011,M. Robinson,NYK,0.89,1.57,2.46,11601,2019-20,Regular Season
1626174,C. Wood,DET,1.69,0.75,2.44,6631,2019-20,Regular Season
202330,G. Hayward,BOS,2.38,0.02,2.4,15340,2019-20,Regular Season
203468,C. McCollum,POR,2.84,-0.45,2.39,32940,2019-20,Regular Season
1628389,B. Adebayo,MIA,0.57,1.78,2.35,23287,2019-20,Regular Season
1627750,J. Murray,DEN,3.02,-0.73,2.29,28269,2019-20,Regular Season
201568,D. Gallinari,OKC,3.93,-1.64,2.29,18980,2019-20,Regular Season
202703,N. Mirotic,MIL,1.66,0.61,2.27,11918,2019-20,Regular Season
203107,T. Satoransky,CHI,1.0,1.26,2.26,23699,2019-20,Regular Season
1628539,M. Mulder,GSW,1.31,0.94,2.25,839,2019-20,Regular Season
1629630,J. Morant,MEM,1.32,0.93,2.25,8972,2019-20,Regular Season
201601,L. Mbah a Moute,HOU,0.37,1.78,2.15,6801,2019-20,Regular Season
200746,L. Aldridge,SAS,1.08,1.02,2.1,28306,2019-20,Regular Season
1629001,D. Melton,MEM,1.66,0.43,2.09,9320,2019-20,Regular Season
203077,M. Kidd-Gilchrist,DAL,-0.72,2.81,2.09,13809,2019-20,Regular Season
201162,J. Dudley,LAL,0.68,1.34,2.02,9430,2019-20,Regular Season
1628969,M. Bridges,PHX,0.79,1.18,1.97,19053,2019-20,Regular Season
202709,C. Joseph,SAC,-0.03,1.93,1.9,24826,2019-20,Regular Season
201569,E. Gordon,HOU,2.03,-0.14,1.89,22529,2019-20,Regular Season
202954,B. Wanamaker,BOS,1.46,0.43,1.89,7213,2019-20,Regular Season
1629690,A. Mokoka,CHI,1.62,0.26,1.88,460,2019-20,Regular Season
1628021,D. Nwaba,BKN,0.46,1.39,1.85,11998,2019-20,Regular Season
1627827,D. Finney-Smith,DAL,0.67,1.17,1.84,18972,2019-20,Regular Season
203935,M. Smart,BOS,0.3,1.54,1.84,24035,2019-20,Regular Season
1627732,B. Simmons,PHI,0.62,1.21,1.83,31826,2019-20,Regular Season
203382,A. Baynes,PHX,-0.17,1.97,1.8,13454,2019-20,Regular Season
200757,T. Sefolosha,HOU,0.34,1.46,1.8,7734,2019-20,Regular Season
1626145,T. Jones,MEM,1.38,0.4,1.78,17975,2019-20,Regular Season
1627790,A. Zizic,CLE,1.27,0.49,1.76,6259,2019-20,Regular Season
1627832,F. VanVleet,TOR,0.53,1.2,1.73,21634,2019-20,Regular Season
202329,A. Aminu,ORL,-0.47,2.19,1.72,19831,2019-20,Regular Season
201566,R. Westbrook,HOU,0.79,0.93,1.72,32871,2019-20,Regular Season
202355,H. Whiteside,POR,0.4,1.29,1.69,21057,2019-20,Regular Season
1628998,C. Martin,CHA,0.95,0.73,1.68,3664,2019-20,Regular Season
1627734,D. Sabonis,IND,0.94,0.74,1.68,23874,2019-20,Regular Season
202685,J. Valančiūnas,MEM,0.66,1.02,1.68,19682,2019-20,Regular Season
1628386,J. Allen,BKN,0.87,0.8,1.67,22856,2019-20,Regular Season
1629726,G. Mathews,WAS,0.82,0.84,1.66,980,2019-20,Regular Season
1629627,Z. Williamson,NOP,1.25,0.39,1.64,2975,2019-20,Regular Season
203552,S. Curry,DAL,2.08,-0.44,1.64,12394,2019-20,Regular Season
1628467,M. Kleber,DAL,0.18,1.45,1.63,19111,2019-20,Regular Season
203460,A. Roberson,OKC,-1.44,3.05,1.61,4541,2019-20,Regular Season
201567,K. Love,CLE,2.32,-0.72,1.6,16684,2019-20,Regular Season
203962,J. Huestis,OKC,0.83,0.76,1.59,3912,2019-20,Regular Season
1628420,M. Morris,DEN,0.5,1.08,1.58,14995,2019-20,Regular Season
1626167,M. Turner,IND,-0.58,2.15,1.57,23663,2019-20,Regular Season
1629675,N. Reid,MIN,0.76,0.8,1.56,2169,2019-20,Regular Season
1628392,I. Hartenstein,HOU,0.65,0.91,1.56,2103,2019-20,Regular Season
202691,K. Thompson,GSW,1.39,0.17,1.56,21808,2019-20,Regular Season
203482,K. Olynyk,MIA,1.95,-0.41,1.54,20147,2019-20,Regular Season
1627763,M. Brogdon,IND,1.02,0.51,1.53,20632,2019-20,Regular Season
202324,D. Favors,NOP,0.3,1.23,1.53,21502,2019-20,Regular Season
1629752,J. Morgan,UTA,0.84,0.68,1.52,578,2019-20,Regular Season
203078,B. Beal,WAS,3.81,-2.31,1.5,34086,2019-20,Regular Season
201933,B. Griffin,DET,1.48,0.01,1.49,21007,2019-20,Regular Season
201144,M. Conley,UTA,1.32,0.16,1.48,16682,2019-20,Regular Season
203521,M. Dellavedova,CLE,-0.61,2.08,1.47,9627,2019-20,Regular Season
1626178,R. Hollis-Jefferson,TOR,0.03,1.44,1.47,18171,2019-20,Regular Season
201571,D. Augustin,ORL,-0.06,1.48,1.42,22561,2019-20,Regular Season
201149,J. Noah,LAC,-0.38,1.76,1.38,3263,2019-20,Regular Season
201960,D. Carroll,HOU,0.76,0.61,1.37,17575,2019-20,Regular Season
203501,T. Hardaway Jr.,DAL,2.12,-0.78,1.34,25429,2019-20,Regular Season
200755,J. Redick,NOP,2.45,-1.11,1.34,26363,2019-20,Regular Season
1627812,Y. Ferrell,SAC,-0.02,1.35,1.33,15912,2019-20,Regular Season
1628464,D. Theis,BOS,-0.47,1.8,1.33,14131,2019-20,Regular Season
202083,W. Matthews,MIL,-0.22,1.54,1.32,24599,2019-20,Regular Season
203487,M. Carter-Williams,ORL,1.9,-0.58,1.32,8476,2019-20,Regular Season
1626161,W. Cauley-Stein,DAL,-1.27,2.58,1.31,22459,2019-20,Regular Season
1626259,M. Miller,TOR,1.61,-0.3,1.31,1498,2019-20,Regular Season
1628379,L. Kennard,DET,1.3,0.01,1.31,15508,2019-20,Regular Season
2733,S. Livingston,GSW,0.54,0.76,1.3,8699,2019-20,Regular Season
1626164,D. Booker,PHX,4.05,-2.75,1.3,28413,2019-20,Regular Season
