PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1641806,Markquis Nowell,TOR,11.34,3.47,14.81,2023-24,10.99,3.14,14.13,7,Regular Season
1628391,D.J. Wilson,ORL,4.61,1.26,5.87,2023-24,4.63,1.26,5.89,28,Regular Season
1628977,Hamidou Diallo,WAS,0.92,4.85,5.77,2023-24,0.85,4.54,5.39,10,Regular Season
1631245,Quenton Jackson,IND,1.72,3.16,4.88,2023-24,1.61,2.93,4.54,20,Regular Season
203999,Nikola Jokić,DEN,2.95,1.07,4.02,2023-24,2.95,1.02,3.97,5612,Regular Season
1628983,Shai Gilgeous-Alexander,OKC,2.92,0.97,3.89,2023-24,2.92,0.88,3.8,5458,Regular Season
1631157,Ryan Rollins,MIL,1.06,2.76,3.82,2023-24,1.04,2.6,3.64,172,Regular Season
203954,Joel Embiid,PHI,2.85,0.49,3.34,2023-24,2.86,0.4,3.26,2770,Regular Season
1629029,Luka Dončić,DAL,2.84,0.4,3.24,2023-24,2.84,0.35,3.19,5548,Regular Season
203507,Giannis Antetokounmpo,MIL,2.39,0.6,2.99,2023-24,2.39,0.54,2.93,5455,Regular Season
1631169,Josh Minott,MIN,1.02,1.92,2.94,2023-24,1.0,1.83,2.83,200,Regular Season
1631159,Leonard Miller,MIN,2.1,0.79,2.89,2023-24,2.09,0.76,2.85,114,Regular Season
1630169,Tyrese Haliburton,IND,2.61,0.17,2.78,2023-24,2.59,0.15,2.74,4822,Regular Season
1630288,Jeff Dowtin Jr.,PHI,1.64,0.92,2.56,2023-24,1.62,0.89,2.51,284,Regular Season
1641809,Drew Peterson,BOS,1.66,0.88,2.54,2023-24,1.69,0.87,2.56,50,Regular Season
1630564,RaiQuan Gray,SAS,2.54,-0.01,2.53,2023-24,2.55,-0.01,2.54,80,Regular Season
202695,Kawhi Leonard,LAC,1.38,0.89,2.27,2023-24,1.39,0.85,2.24,4766,Regular Season
1628424,Kobi Simmons,TOR,0.12,2.09,2.21,2023-24,0.08,2.0,2.08,140,Regular Season
1629603,Mamadi Diakite,NYK,1.38,0.75,2.13,2023-24,1.35,0.66,2.01,47,Regular Season
204001,Kristaps Porziņģis,BOS,1.15,0.98,2.13,2023-24,1.15,0.95,2.1,3539,Regular Season
203076,Anthony Davis,LAL,0.88,1.2,2.08,2023-24,0.89,1.15,2.04,5782,Regular Season
1630643,Jay Huff,DEN,0.61,1.45,2.06,2023-24,0.62,1.43,2.05,103,Regular Season
1629162,Jordan McLaughlin,MIN,1.15,0.82,1.97,2023-24,1.12,0.79,1.91,1284,Regular Season
2544,LeBron James,LAL,1.83,0.13,1.96,2023-24,1.84,0.09,1.93,5308,Regular Season
1631217,Moussa Diabaté,LAC,1.41,0.54,1.95,2023-24,1.34,0.48,1.82,127,Regular Season
202710,Jimmy Butler III,MIA,1.83,-0.03,1.8,2023-24,1.81,-0.07,1.74,4126,Regular Season
1628378,Donovan Mitchell,CLE,1.57,0.21,1.78,2023-24,1.58,0.18,1.76,4042,Regular Season
202681,Kyrie Irving,DAL,1.66,0.1,1.76,2023-24,1.68,0.09,1.77,4275,Regular Season
201935,James Harden,LAC,1.5,0.24,1.74,2023-24,1.48,0.21,1.69,5006,Regular Season
1629655,Daniel Gafford,DAL,0.43,1.27,1.7,2023-24,0.44,1.26,1.7,3918,Regular Season
1628374,Lauri Markkanen,UTA,1.56,0.11,1.67,2023-24,1.55,0.1,1.65,3876,Regular Season
