PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
203497,R. Gobert,UTA,2.7,3.73,6.43,9143,2020-21,Regular Season
202695,K. Leonard,LAC,4.62,1.48,6.1,7223,2020-21,Regular Season
201142,K. Durant,BKN,3.85,1.02,4.87,4980,2020-21,Regular Season
2544,L. James,LAL,2.51,2.16,4.67,6283,2020-21,Regular Season
203954,J. Embiid,PHI,3.22,1.39,4.61,6651,2020-21,Regular Season
203991,C. Capela,ATL,1.53,3.02,4.55,7823,2020-21,Regular Season
201144,M. Conley,UTA,1.62,2.87,4.49,6247,2020-21,Regular Season
202331,P. George,LAC,1.83,2.58,4.41,7399,2020-21,Regular Season
201152,T. Young,CHI,4.15,0.06,4.21,6837,2020-21,Regular Season
1626220,R. O'Neale,UTA,2.33,1.81,4.14,9302,2020-21,Regular Season
203110,D. Green,GSW,3.67,0.41,4.08,8618,2020-21,Regular Season
203507,G. Antetokounmpo,MIL,1.53,2.16,3.69,8708,2020-21,Regular Season
1627827,D. Finney-Smith,DAL,2.81,0.61,3.42,7875,2020-21,Regular Season
1626157,K. Towns,MIN,3.09,0.31,3.4,7210,2020-21,Regular Season
1628408,P. Dozier,DEN,-0.31,3.68,3.37,4502,2020-21,Regular Season
202710,J. Butler III,MIA,1.3,1.93,3.23,7111,2020-21,Regular Season
1628415,D. Brooks,MEM,1.87,1.34,3.21,8521,2020-21,Regular Season
201950,J. Holiday,MIL,2.29,0.89,3.18,8268,2020-21,Regular Season
1626161,W. Cauley-Stein,DAL,0.97,2.21,3.18,3688,2020-21,Regular Season
1627750,J. Murray,DEN,2.46,0.67,3.13,6889,2020-21,Regular Season
203496,R. Covington,POR,2.82,0.3,3.12,9367,2020-21,Regular Season
1629651,N. Claxton,BKN,0.37,2.57,2.94,2479,2020-21,Regular Season
1627777,G. Niang,UTA,1.01,1.92,2.93,4845,2020-21,Regular Season
1627936,A. Caruso,LAL,0.09,2.83,2.92,5048,2020-21,Regular Season
1626192,P. Connaughton,MIL,1.34,1.55,2.89,6824,2020-21,Regular Season
203925,J. Harris,BKN,1.8,1.04,2.84,9055,2020-21,Regular Season
201939,S. Curry,GSW,2.92,-0.08,2.84,9484,2020-21,Regular Season
1628969,M. Bridges,PHX,1.82,1.01,2.83,9609,2020-21,Regular Season
1629680,M. Thybulle,PHI,1.33,1.39,2.72,5459,2020-21,Regular Season
1627751,J. Poeltl,SAS,1.15,1.56,2.71,7658,2020-21,Regular Season
1629627,Z. Williamson,NOP,2.58,0.08,2.66,8642,2020-21,Regular Season
1627732,B. Simmons,PHI,1.03,1.62,2.65,7947,2020-21,Regular Season
1629008,M. Porter Jr.,DEN,3.18,-0.53,2.65,7826,2020-21,Regular Season
1626172,K. Looney,GSW,1.46,1.18,2.64,4909,2020-21,Regular Season
201587,N. Batum,LAC,1.77,0.81,2.58,7519,2020-21,Regular Season
1629001,D. Melton,MEM,0.82,1.72,2.54,4468,2020-21,Regular Season
204456,T. McConnell,IND,1.87,0.67,2.54,7785,2020-21,Regular Season
203967,D. Šarić,PHX,1.9,0.64,2.54,3609,2020-21,Regular Season
1627783,P. Siakam,TOR,2.29,0.24,2.53,8353,2020-21,Regular Season
1629029,L. Dončić,DAL,3.32,-0.83,2.49,9367,2020-21,Regular Season
1629130,D. Robinson,MIA,0.55,1.88,2.43,9163,2020-21,Regular Season
202704,R. Jackson,LAC,1.89,0.5,2.39,6335,2020-21,Regular Season
101108,C. Paul,PHX,1.3,1.08,2.38,8984,2020-21,Regular Season
1628384,O. Anunoby,TOR,0.79,1.58,2.37,5961,2020-21,Regular Season
1626167,M. Turner,IND,0.13,2.22,2.35,6099,2020-21,Regular Season
203999,N. Jokić,DEN,3.81,-1.5,2.31,10193,2020-21,Regular Season
1628401,D. White,SAS,1.37,0.93,2.3,4393,2020-21,Regular Season
1626166,C. Payne,PHX,2.25,0.02,2.27,4422,2020-21,Regular Season
203468,C. McCollum,POR,2.15,0.11,2.26,6702,2020-21,Regular Season
204060,J. Ingles,UTA,1.41,0.85,2.26,7818,2020-21,Regular Season
1626164,D. Booker,PHX,3.12,-0.86,2.26,9331,2020-21,Regular Season
1627749,D. Murray,SAS,0.73,1.49,2.22,8918,2020-21,Regular Season
