bin,n_games,predicted,actual
0%–10%,7,0.089,0.0
10%–20%,151,0.168,0.172
20%–30%,656,0.254,0.259
30%–40%,1101,0.354,0.361
40%–50%,1494,0.452,0.445
50%–60%,2093,0.551,0.554
60%–70%,1845,0.648,0.637
70%–80%,1419,0.748,0.758
80%–90%,687,0.842,0.841
90%–100%,56,0.919,0.893
