GROUP_ID,PLAYERS,TEAM_ABBREVIATION,POSS_OFF,POSS_DEF,NET_ACTUAL,NET_EXPECTED,CHEMISTRY,SEASON,SEASON_TYPE
-201950-202326-202734-203076-203121-,J. Holiday - D. Cousins - E. Moore - A. Davis - D. Miller,NOP,129,126,41.2,6.8,34.5,2017-18,Regular Season
-2749-201967-202326-203121-203546-,J. Nelson - D. Cunningham - D. Cousins - D. Miller - I. Clark,NOP,129,125,31.0,-2.9,33.9,2017-18,Regular Season
-203458-203477-203584-1627733-1627863-,A. Len - I. Canaan - T. Daniels - D. Bender - D. House Jr.,PHX,108,108,25.4,-4.5,30.0,2017-18,Regular Season
-101161-201158-203496-203967-1627732-,A. Johnson - M. Belinelli - R. Covington - D. Šarić - B. Simmons,PHI,223,224,32.6,6.9,25.7,2017-18,Regular Season
-202693-203078-203107-203490-1626162-,M. Morris - B. Beal - T. Satoransky - O. Porter Jr. - K. Oubre Jr.,WAS,196,183,25.5,-0.2,25.7,2017-18,Regular Season
-200794-203115-203914-203999-1627750-,P. Millsap - W. Barton - G. Harris - N. Jokić - J. Murray,DEN,138,136,33.2,8.2,25.0,2017-18,Regular Season
-201143-202681-203382-203935-1627759-,A. Horford - K. Irving - A. Baynes - M. Smart - J. Brown,BOS,104,103,31.0,6.5,24.5,2017-18,Regular Season
-2200-2225-200746-201980-203937-,P. Gasol - T. Parker - L. Aldridge - D. Green - K. Anderson,SAS,147,147,28.6,4.5,24.1,2017-18,Regular Season
-203200-1626171-1627739-1627756-1628374-,J. Holiday - B. Portis - K. Dunn - D. Valentine - L. Markkanen,CHI,106,102,17.5,-5.6,23.2,2017-18,Regular Season
-202323-202334-203081-1626192-1628380-,E. Turner - E. Davis - D. Lillard - P. Connaughton - Z. Collins,POR,167,166,27.3,4.1,23.2,2017-18,Regular Season
-201568-201599-202340-202699-203085-,D. Gallinari - D. Jordan - A. Bradley - T. Harris - A. Rivers,LAC,118,122,15.1,-6.9,22.0,2017-18,Regular Season
-201599-203085-203710-203966-1628462-,D. Jordan - A. Rivers - C. Williams - J. Wilson - M. Teodosic,LAC,113,117,24.6,2.7,21.9,2017-18,Regular Season
-2403-2772-200782-201569-201935-,Nene - T. Ariza - P. Tucker - E. Gordon - J. Harden,HOU,113,117,34.5,12.6,21.9,2017-18,Regular Season
-201609-201949-201961-203482-1626196-,G. Dragic - J. Johnson - W. Ellington - K. Olynyk - J. Richardson,MIA,148,143,24.5,3.0,21.6,2017-18,Regular Season
-202362-202709-202711-203506-1627734-,L. Stephenson - C. Joseph - B. Bogdanović - V. Oladipo - D. Sabonis,IND,133,132,23.4,2.2,21.2,2017-18,Regular Season
-101108-201583-201601-201935-203991-,C. Paul - R. Anderson - L. Mbah a Moute - J. Harden - C. Capela,HOU,113,117,29.3,8.3,21.1,2017-18,Regular Season
-201143-202681-202694-203935-1627759-,A. Horford - K. Irving - M. Morris Sr. - M. Smart - J. Brown,BOS,162,157,25.2,4.2,21.0,2017-18,Regular Season
-202334-203468-203894-1626192-1628380-,E. Davis - C. McCollum - S. Napier - P. Connaughton - Z. Collins,POR,230,234,22.4,2.6,19.9,2017-18,Regular Season
-1717-202083-203084-1627812-1628467-,D. Nowitzki - W. Matthews - H. Barnes - Y. Ferrell - M. Kleber,DAL,131,129,14.5,-5.2,19.7,2017-18,Regular Season
-201937-203109-203497-204060-1628378-,R. Rubio - J. Crowder - R. Gobert - J. Ingles - D. Mitchell,UTA,410,396,27.2,7.7,19.5,2017-18,Regular Season
-202083-203084-203939-1627812-1628372-,W. Matthews - H. Barnes - D. Powell - Y. Ferrell - D. Smith Jr.,DAL,256,268,16.2,-3.1,19.4,2017-18,Regular Season
-203496-203954-203967-1627732-1627789-,R. Covington - J. Embiid - D. Šarić - B. Simmons - T. Luwawu-Cabarrot,PHI,140,141,29.8,10.6,19.2,2017-18,Regular Season
-201571-202696-203082-203095-203932-,D. Augustin - N. Vučević - T. Ross - E. Fournier - A. Gordon,ORL,156,154,19.7,0.7,19.0,2017-18,Regular Season
-203145-203471-203473-1627752-1628381-,K. Bazemore - D. Schröder - D. Dedmon - T. Prince - J. Collins,ATL,249,251,9.0,-9.7,18.7,2017-18,Regular Season
-201949-201961-203079-203482-204020-,J. Johnson - W. Ellington - D. Waiters - K. Olynyk - T. Johnson,MIA,107,109,19.7,1.6,18.1,2017-18,Regular Season
-201959-202710-203476-203952-1626145-,T. Gibson - J. Butler III - G. Dieng - A. Wiggins - T. Jones,MIN,106,109,23.0,5.3,17.7,2017-18,Regular Season
-201950-202326-202734-203076-203546-,J. Holiday - D. Cousins - E. Moore - A. Davis - I. Clark,NOP,145,140,25.5,7.9,17.6,2017-18,Regular Season
-202329-203081-203468-203894-203994-,A. Aminu - D. Lillard - C. McCollum - S. Napier - J. Nurkić,POR,155,154,20.4,3.5,17.0,2017-18,Regular Season
-201563-203124-203926-1627758-1628373-,M. Beasley - K. O'Quinn - D. McDermott - R. Baker - F. Ntilikina,NYK,132,135,16.5,-0.2,16.7,2017-18,Regular Season
-2037-201952-201959-202710-1626157-,J. Crawford - J. Teague - T. Gibson - J. Butler III - K. Towns,MIN,106,105,19.1,2.6,16.5,2017-18,Regular Season
-2730-101107-202689-203087-1628407-,D. Howard - M. Williams - K. Walker - J. Lamb - D. Bacon,CHA,259,268,20.7,4.4,16.3,2017-18,Regular Season
-201577-203200-1626170-1628021-1628374-,R. Lopez - J. Holiday - J. Grant - D. Nwaba - L. Markkanen,CHI,178,186,9.5,-6.6,16.1,2017-18,Regular Season
-203112-203917-203925-1627747-1628386-,Q. Acy - N. Stauskas - J. Harris - C. LeVert - J. Allen,BKN,154,158,12.3,-3.8,16.0,2017-18,Regular Season
-201960-203459-1626156-1626178-1628386-,D. Carroll - A. Crabbe - D. Russell - R. Hollis-Jefferson - J. Allen,BKN,189,190,13.5,-2.5,16.0,2017-18,Regular Season
-202083-203084-1626257-1627812-1628467-,W. Matthews - H. Barnes - S. Mejri - Y. Ferrell - M. Kleber,DAL,115,115,14.9,-1.0,15.9,2017-18,Regular Season
-201188-201936-203210-1626150-1628415-,M. Gasol - T. Evans - J. Green - A. Harrison - D. Brooks,MEM,374,371,11.9,-3.9,15.8,2017-18,Regular Season
-203484-203944-1627742-1628366-1628398-,K. Caldwell-Pope - J. Randle - B. Ingram - L. Ball - K. Kuzma,LAL,206,205,14.6,-0.8,15.4,2017-18,Regular Season
-2037-202357-203476-1626145-1626157-,J. Crawford - N. Bjelica - G. Dieng - T. Jones - K. Towns,MIN,146,150,18.2,2.8,15.4,2017-18,Regular Season
-202339-203089-203114-203507-1627780-,E. Bledsoe - J. Henson - K. Middleton - G. Antetokounmpo - G. Payton II,MIL,106,103,18.8,3.8,15.0,2017-18,Regular Season
-201577-203200-1627739-1628021-1628374-,R. Lopez - J. Holiday - K. Dunn - D. Nwaba - L. Markkanen,CHI,123,126,10.9,-3.9,14.8,2017-18,Regular Season
-201144-201188-203516-1626185-1628415-,M. Conley - M. Gasol - J. Ennis III - J. Martin - D. Brooks,MEM,118,121,9.0,-5.5,14.6,2017-18,Regular Season
-101133-203078-203118-204025-1626162-,I. Mahinmi - B. Beal - M. Scott - T. Frazier - K. Oubre Jr.,WAS,110,114,13.7,-0.8,14.5,2017-18,Regular Season
-1717-2734-200826-203939-1627812-,D. Nowitzki - D. Harris - J. Barea - D. Powell - Y. Ferrell,DAL,468,450,19.6,5.4,14.2,2017-18,Regular Season
-202083-203084-1626257-1628372-1628467-,W. Matthews - H. Barnes - S. Mejri - D. Smith Jr. - M. Kleber,DAL,118,116,6.5,-7.5,14.0,2017-18,Regular Season
-203458-203901-203933-1626164-1627733-,A. Len - E. Payton - T. Warren - D. Booker - D. Bender,PHX,151,150,-1.2,-14.5,13.3,2017-18,Regular Season
