TEAM_ID,TEAM_NAME,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,SEASON_TYPE
1610612744,Golden State Warriors,1060.0,1401,787,614,299,20,178,454,74,93,167,0.443,0.557,49,431,480,0.102,0.898,Playoffs
1610612745,Houston Rockets,532.0,583,338,245,131,8,61,141,42,43,85,0.494,0.506,23,287,310,0.074,0.926,Playoffs
1610612754,Indiana Pacers,177.0,184,108,76,43,1,26,62,16,12,28,0.571,0.429,9,53,62,0.145,0.855,Playoffs
1610612746,LA Clippers,287.0,353,220,133,73,5,41,92,23,21,44,0.523,0.477,7,140,147,0.048,0.952,Playoffs
1610612749,Milwaukee Bucks,726.0,1052,655,397,168,11,68,155,60,78,138,0.435,0.565,34,275,309,0.11,0.89,Playoffs
1610612760,Oklahoma City Thunder,240.0,360,245,115,59,8,41,86,25,23,48,0.521,0.479,7,129,136,0.051,0.949,Playoffs
1610612753,Orlando Magic,240.0,260,165,95,65,2,33,74,15,12,27,0.556,0.444,20,80,100,0.2,0.8,Playoffs
1610612755,Philadelphia 76ers,570.0,650,407,243,138,4,102,235,38,34,72,0.528,0.472,28,239,267,0.105,0.895,Playoffs
1610612757,Portland Trail Blazers,786.0,972,647,325,220,10,144,352,52,71,123,0.423,0.577,48,429,477,0.101,0.899,Playoffs
1610612759,San Antonio Spurs,333.0,469,323,146,55,3,65,139,27,20,47,0.574,0.426,9,148,157,0.057,0.943,Playoffs
1610612761,Toronto Raptors,1156.0,1464,842,622,357,22,171,406,83,96,179,0.464,0.536,48,631,679,0.071,0.929,Playoffs
1610612762,Utah Jazz,238.0,272,131,141,61,1,26,56,14,16,30,0.467,0.533,14,99,113,0.124,0.876,Playoffs
