PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1630162,A. Edwards,MIN,55.43,1136,2024-25,Regular Season
203999,N. Jokić,DEN,55.35,1145,2024-25,Regular Season
1628983,S. Gilgeous-Alexander,OKC,51.58,1461,2024-25,Regular Season
1629027,T. Young,ATL,49.74,1057,2024-25,Regular Season
1629639,T. Herro,MIA,49.55,938,2024-25,Regular Season
201942,D. DeRozan,SAC,47.89,1002,2024-25,Regular Season
203507,G. Antetokounmpo,MIL,47.16,1228,2024-25,Regular Season
1628369,J. Tatum,BOS,46.97,1020,2024-25,Regular Season
1630595,C. Cunningham,DET,46.49,997,2024-25,Regular Season
1628973,J. Brunson,NYK,44.69,953,2024-25,Regular Season
201935,J. Harden,LAC,44.26,1035,2024-25,Regular Season
201939,S. Curry,GSW,44.1,843,2024-25,Regular Season
1626164,D. Booker,PHX,43.67,1086,2024-25,Regular Season
2544,L. James,LAL,42.15,910,2024-25,Regular Season
201142,K. Durant,PHX,42.05,895,2024-25,Regular Season
1630224,J. Green,HOU,40.79,881,2024-25,Regular Season
203897,Z. LaVine,CHI,39.24,860,2024-25,Regular Season
1628378,D. Mitchell,CLE,39.24,883,2024-25,Regular Season
1628368,D. Fox,SAC,38.69,801,2024-25,Regular Season
1629632,C. White,CHI,38.32,785,2024-25,Regular Season
1628991,J. Jackson Jr.,MEM,38.25,903,2024-25,Regular Season
1630178,T. Maxey,PHI,38.05,731,2024-25,Regular Season
1627783,P. Siakam,IND,37.86,839,2024-25,Regular Season
1626157,K. Towns,NYK,36.97,978,2024-25,Regular Season
1630578,A. Sengun,HOU,36.92,863,2024-25,Regular Season
1629636,D. Garland,CLE,35.92,778,2024-25,Regular Season
203081,D. Lillard,MIL,35.42,806,2024-25,Regular Season
1627750,J. Murray,DEN,35.2,749,2024-25,Regular Season
1630169,T. Haliburton,IND,34.74,665,2024-25,Regular Season
1629014,A. Simons,POR,34.7,654,2024-25,Regular Season
1630559,A. Reaves,LAL,34.17,797,2024-25,Regular Season
1628389,B. Adebayo,MIA,34.07,791,2024-25,Regular Season
1627734,D. Sabonis,SAC,33.87,743,2024-25,Regular Season
1630532,F. Wagner,ORL,33.63,808,2024-25,Regular Season
1628969,M. Bridges,NYK,32.39,688,2024-25,Regular Season
1628970,M. Bridges,CHA,32.29,690,2024-25,Regular Season
1629008,M. Porter Jr.,DEN,32.29,677,2024-25,Regular Season
1627759,J. Brown,BOS,32.17,762,2024-25,Regular Season
1631101,S. Sharpe,POR,31.87,689,2024-25,Regular Season
1629673,J. Poole,WAS,31.51,699,2024-25,Regular Season
1626181,N. Powell,LAC,31.51,670,2024-25,Regular Season
202696,N. Vučević,CHI,31.35,670,2024-25,Regular Season
1630217,D. Bane,MEM,31.31,670,2024-25,Regular Season
202681,K. Irving,DAL,31.26,642,2024-25,Regular Season
1629029,L. Dončić,DAL,31.25,770,2024-25,Regular Season
1631114,J. Williams,OKC,30.84,801,2024-25,Regular Season
1629630,J. Morant,MEM,30.8,666,2024-25,Regular Season
1631094,P. Banchero,ORL,30.59,691,2024-25,Regular Season
1627826,I. Zubac,LAC,30.42,748,2024-25,Regular Season
203944,J. Randle,MIN,30.22,724,2024-25,Regular Season
1627736,M. Beasley,DET,30.17,556,2024-25,Regular Season
203468,C. McCollum,NOP,30.14,568,2024-25,Regular Season
203076,A. Davis,LAL,29.77,756,2024-25,Regular Season
1630163,L. Ball,CHA,29.74,599,2024-25,Regular Season
1641705,V. Wembanyama,SAS,29.55,566,2024-25,Regular Season
1630166,D. Avdija,POR,29.44,692,2024-25,Regular Season
1629628,R. Barrett,TOR,29.06,656,2024-25,Regular Season
1629675,N. Reid,MIN,28.86,537,2024-25,Regular Season
1628370,M. Monk,SAC,28.73,566,2024-25,Regular Season
1628384,O. Anunoby,NYK,28.69,671,2024-25,Regular Season
