GROUP_ID,PLAYERS,TEAM_ABBREVIATION,POSS_OFF,POSS_DEF,NET_ACTUAL,NET_EXPECTED,CHEMISTRY,SEASON,SEASON_TYPE
-202699-203552-203954-1627732-1629003-,T. Harris - S. Curry - J. Embiid - B. Simmons - S. Milton,PHI,109,109,52.8,7.1,45.6,2020-21,Regular Season
-201152-202066-202696-1629632-1630172-,T. Young - G. Temple - N. Vučević - C. White - P. Williams,CHI,116,112,29.4,-5.9,35.3,2020-21,Regular Season
-202696-203516-203932-1628407-1630175-,N. Vučević - J. Ennis III - A. Gordon - D. Bacon - C. Anthony,ORL,118,117,22.1,-11.2,33.2,2020-21,Regular Season
-203200-203926-204456-1628988-1629048-,J. Holiday - D. McDermott - T. McConnell - A. Holiday - G. Bitadze,IND,107,101,29.5,-2.5,32.0,2020-21,Regular Season
-202711-203497-204060-1626220-1627777-,B. Bogdanović - R. Gobert - J. Ingles - R. O'Neale - G. Niang,UTA,171,179,44.9,14.8,30.1,2020-21,Regular Season
-202330-1626179-1628970-1628984-1629023-,G. Hayward - T. Rozier - M. Bridges - D. Graham - P. Washington,CHA,144,139,28.4,0.6,27.8,2020-21,Regular Season
-203501-1626161-1627827-1628973-1629029-,T. Hardaway Jr. - W. Cauley-Stein - D. Finney-Smith - J. Brunson - L. Dončić,DAL,127,123,35.8,9.1,26.7,2020-21,Regular Season
-201937-1626156-1626157-1629020-1630162-,R. Rubio - D. Russell - K. Towns - J. Vanderbilt - A. Edwards,MIN,141,139,27.9,2.4,25.5,2020-21,Regular Season
-203200-203926-204456-1627734-1627763-,J. Holiday - D. McDermott - T. McConnell - D. Sabonis - M. Brogdon,IND,147,147,23.3,-1.9,25.2,2020-21,Regular Season
-201144-203497-204060-1626220-1628378-,M. Conley - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,123,123,37.7,12.9,24.8,2020-21,Regular Season
-201571-201950-203114-203507-1626171-,D. Augustin - J. Holiday - K. Middleton - G. Antetokounmpo - B. Portis,MIL,111,106,29.0,5.2,23.8,2020-21,Regular Season
-1628404-1629627-1629637-1629638-1630184-,J. Hart - Z. Williamson - J. Hayes - N. Alexander-Walker - K. Lewis Jr.,NOP,130,127,23.4,0.1,23.3,2020-21,Regular Season
-201571-201572-203114-203507-1628978-,D. Augustin - B. Lopez - K. Middleton - G. Antetokounmpo - D. DiVincenzo,MIL,178,168,25.7,2.9,22.8,2020-21,Regular Season
-1626156-1626157-1629006-1630162-1630183-,D. Russell - K. Towns - J. Okogie - A. Edwards - J. McDaniels,MIN,152,152,17.0,-5.1,22.0,2020-21,Regular Season
-203486-203924-1626153-1628367-1630180-,M. Plumlee - J. Grant - D. Wright - J. Jackson - S. Bey,DET,108,109,17.5,-4.1,21.6,2020-21,Regular Season
-201144-203497-203903-1627777-1629671-,M. Conley - R. Gobert - J. Clarkson - G. Niang - M. Oni,UTA,194,188,35.0,13.9,21.1,2020-21,Regular Season
-200752-201988-1627749-1627751-1630170-,R. Gay - P. Mills - D. Murray - J. Poeltl - D. Vassell,SAS,264,264,25.7,5.0,20.7,2020-21,Regular Season
-201572-201950-203114-203507-1626192-,B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - P. Connaughton,MIL,143,147,29.5,9.5,20.0,2020-21,Regular Season
-1626179-1628970-1628984-1628998-1629023-,T. Rozier - M. Bridges - D. Graham - C. Martin - P. Washington,CHA,173,171,22.0,2.0,20.0,2020-21,Regular Season
-203524-203991-203992-1628989-1629164-,S. Hill - C. Capela - B. Bogdanović - K. Huerter - B. Goodwin,ATL,140,149,22.8,3.4,19.5,2020-21,Regular Season
