TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,FTA_RATE_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON_TYPE
1610612737,Atlanta Hawks,82,29,53,0.354,48.4,41.4,91.8,0.451,13.0,37.0,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,113.3,-6.0,1,26,26,26,7,15,4,21,4,3,16,18,12,21,4,18,12,10,30,11,14,24,29,5,12,26,105.5,107.5,111.2,113.1,-5.7,-5.5,0.624,1.52,17.7,0.284,0.718,0.496,0.162,0.522,0.555,106.4,104.56,87.13,8642,0.464,23,28,26,9,29,16,8,24,20,30,17,17,1,26,0.255,0.541,0.313,0.143,0.282,17,27,29,12,24,Regular Season
1610612738,Boston Celtics,82,49,33,0.598,48.2,42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,112.4,4.4,1,9,9,9,18,11,9,14,6,7,7,28,29,4,20,16,22,5,3,4,10,2,12,26,14,6,110.1,111.3,104.9,107.0,5.1,4.3,0.624,2.05,18.8,0.257,0.728,0.495,0.127,0.534,0.567,102.0,100.43,83.69,8282,0.53,10,6,6,8,2,4,24,15,23,3,7,10,16,5,0.215,0.514,0.259,0.15,0.272,30,9,18,8,15,Regular Season
1610612739,Cleveland Cavaliers,82,19,63,0.232,48.2,38.9,87.6,0.444,10.3,29.1,0.355,16.4,20.7,0.792,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,104.5,-9.6,1,28,28,28,24,26,23,28,20,24,13,22,27,7,12,28,26,29,9,28,30,27,6,28,29,30,105.0,106.8,115.1,116.8,-10.1,-10.0,0.532,1.54,15.6,0.282,0.732,0.496,0.138,0.503,0.54,98.9,97.37,81.14,8021,0.436,25,30,30,29,27,29,10,11,21,13,29,29,29,30,0.236,0.564,0.235,0.128,0.268,25,30,4,26,11,Regular Season
1610612740,New Orleans Pelicans,82,33,49,0.402,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.761,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,115.4,-1.3,1,22,22,22,24,2,3,6,22,21,24,13,11,18,8,6,5,3,24,18,7,23,19,13,3,21,108.6,110.7,110.4,112.0,-1.8,-1.3,0.619,1.82,18.6,0.285,0.729,0.509,0.142,0.529,0.563,105.6,103.89,86.58,8553,0.498,12,22,20,11,12,7,7,14,9,22,11,12,2,16,0.254,0.532,0.253,0.13,0.271,19,21,15,23,14,Regular Season
1610612741,Chicago Bulls,82,22,60,0.268,48.5,39.8,87.9,0.453,9.1,25.9,0.351,16.2,20.7,0.783,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,104.9,-8.4,1,27,27,27,3,23,22,20,30,27,19,25,26,11,30,21,25,27,19,20,26,28,9,30,27,27,102.5,104.5,110.9,112.8,-8.4,-8.3,0.55,1.55,16.3,0.242,0.727,0.483,0.141,0.505,0.541,101.1,99.3,82.75,8232,0.453,29,25,27,25,26,26,30,16,27,20,28,28,20,27,0.235,0.541,0.247,0.133,0.273,26,26,9,18,16,Regular Season
1610612742,Dallas Mavericks,82,33,49,0.402,48.2,38.8,86.9,0.447,12.5,36.6,0.34,18.8,25.3,0.742,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,108.9,-1.3,1,22,22,22,18,28,28,27,7,4,27,7,5,25,16,14,16,22,20,29,26,6,8,2,21,20,106.6,108.7,108.3,110.1,-1.7,-1.5,0.603,1.64,17.0,0.273,0.734,0.503,0.142,0.519,0.555,101.4,99.6,83.0,8216,0.492,20,18,21,13,21,21,13,10,12,21,19,16,19,20,0.291,0.522,0.246,0.13,0.266,4,16,8,24,10,Regular Season
1610612743,Denver Nuggets,82,54,28,0.659,48.1,41.9,90.0,0.466,11.0,31.4,0.351,15.8,20.9,0.755,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,110.7,4.0,1,4,4,4,27,12,11,13,18,16,17,27,25,20,2,17,8,2,8,13,24,14,7,20,20,8,109.8,112.1,106.8,108.1,3.0,4.0,0.653,2.04,19.3,0.308,0.744,0.524,0.136,0.527,0.558,100.1,98.49,82.08,8096,0.524,7,10,8,2,3,2,1,5,2,11,15,14,26,8,0.232,0.521,0.257,0.137,0.256,27,15,17,15,5,Regular Season
1610612744,Golden State Warriors,82,57,25,0.695,48.3,44.0,89.8,0.491,13.3,34.4,0.385,16.3,20.4,0.801,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,117.7,6.5,1,3,3,3,15,1,13,1,3,8,3,23,28,5,21,3,11,1,21,15,1,1,22,27,2,2,113.9,115.0,106.5,108.6,7.5,6.5,0.668,2.06,20.4,0.257,0.727,0.505,0.139,0.565,0.596,103.2,101.74,84.78,8390,0.546,1,11,2,1,1,1,23,17,10,16,1,1,10,2,0.227,0.508,0.266,0.132,0.273,28,3,21,19,17,Regular Season
1610612745,Houston Rockets,82,53,29,0.646,48.4,39.2,87.4,0.449,16.1,45.4,0.356,19.3,24.4,0.791,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,113.9,4.8,1,5,5,5,11,25,26,24,1,1,12,3,7,9,14,29,28,28,6,5,18,8,25,24,11,5,112.5,114.9,107.9,110.1,4.6,4.8,0.541,1.59,15.9,0.269,0.7,0.481,0.135,0.542,0.581,100.4,98.39,81.99,8130,0.498,2,17,5,28,24,28,16,29,28,9,4,3,27,17,0.279,0.525,0.274,0.152,0.3,6,18,25,7,29,Regular Season
1610612746,LA Clippers,82,48,34,0.585,48.4,41.3,87.5,0.471,10.0,25.8,0.388,22.6,28.5,0.792,9.7,35.8,45.5,24.0,14.5,6.8,4.7,6.1,23.3,24.0,115.1,0.9,1,11,11,11,11,17,24,7,25,28,2,1,1,8,22,8,13,18,22,23,22,30,28,1,5,13,109.7,111.4,109.0,110.4,0.7,1.0,0.582,1.65,17.1,0.263,0.722,0.5,0.141,0.529,0.575,104.1,102.66,85.55,8475,0.505,9,19,13,21,19,20,21,21,17,19,12,5,7,13,0.326,0.514,0.288,0.127,0.278,1,8,27,27,21,Regular Season
