PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_RAPM_3YR,D_RAPM_3YR,RAPM_3YR,RAPM_3YR_POSS,WPA
1642878,Tyrese Proctor,1610612739,CLE,22.0,Playoffs,4,3.2,0.25,0.5,0.3,0.0,0.3,0.5,0.0,0.0,0.5,0.3,0.0,0.0,1.0,0.0,0.347,0.161,0.25,1.0,28.6,28.6,0.0,0.067,0.037,85.7,115.4,-29.7,101.08,0.0,-1.5,95.2,111.6,-16.4,0.173,-29.7,-3.2,-26.5,,,-9.82,-3.47,-13.29,-0.04,0.5066,-0.5066,2.0,1.5,23.9,,,,,,,,,
203486,Mason Plumlee,1610612759,SAS,36.0,Playoffs,6,3.1,0.667,0.7,0.7,0.0,0.7,0.3,0.0,0.5,0.2,0.7,0.667,0.0,0.0,0.667,0.667,0.095,0.154,2.0,33.3,16.7,0.0,0.182,0.121,97.5,100.0,-2.5,105.75,0.076,-0.3,99.8,109.3,-9.5,0.097,-2.5,11.4,-13.9,,,-3.66,6.38,2.72,0.02,0.6491,0.0176,3.0,0.9,14.5,,,,,,,,,
1641854,Craig Porter Jr.,1610612739,CLE,26.0,Playoffs,7,3.0,0.429,0.3,0.4,0.0,0.4,0.6,0.0,0.0,0.6,0.1,0.333,0.0,0.0,0.333,0.333,0.13,0.333,1.0,36.4,36.4,0.0,0.13,0.068,75.0,100.0,-25.0,102.99,0.034,-1.0,85.6,96.6,-11.0,0.146,-25.0,-3.1,-21.9,,,-8.43,-2.87,-11.3,-0.05,0.5228,-0.1894,3.0,1.7,22.4,,,,,,,,,
1642859,Jase Richardson,1610612753,ORL,20.0,Playoffs,1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,97.63,0.857,3.0,100.0,61.5,38.5,0.333,50.0,-6.1,56.1,,,56.29,9.66,65.95,0.05,0.5209,0.9791,2.0,6.2,37.8,,,,,,,,,
1642855,Noa Essengue,1610612741,CHI,19.0,Regular Season,2,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,171.4,-111.4,115.36,-0.095,-7.5,64.3,169.0,-104.7,0.2,-111.4,-5.1,-106.3,,,-20.14,-1.71,-21.84,-0.03,0.5923,-0.5923,3.0,0.0,20.0,-0.24,-0.27,-0.51,28.0,-0.29,-0.31,-0.6,28.0,
1641724,Jett Howard,1610612753,ORL,22.0,Playoffs,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,97.63,-0.286,3.0,100.0,61.5,38.5,0.333,50.0,-6.1,56.1,,,-21.57,-12.56,-34.13,-0.02,0.5066,-0.5066,2.0,0.0,33.3,,,,,,,,,
1641733,Nick Smith Jr.,1610612747,LAL,22.0,Playoffs,6,3.0,0.333,2.7,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.429,0.429,0.5,0.536,0.538,0.333,0.111,1.0,5.9,5.9,0.0,0.067,0.026,107.7,121.6,-13.9,100.39,0.117,-0.5,109.4,135.5,-26.2,0.342,-13.9,-5.1,-8.8,0.0,0.02,7.48,0.45,7.93,0.04,0.4934,0.0423,14.0,6.1,47.2,,,,,,,,,
1642869,Noah Penda,1610612753,ORL,21.0,Playoffs,1,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,100.0,50.0,50.0,97.63,0.143,3.0,100.0,61.5,38.5,0.0,50.0,-6.1,56.1,,,-6.29,-0.41,-6.7,-0.0,,,,0.0,0.0,,,,,,,,,
1641772,Nae'Qwan Tomlin,1610612739,CLE,25.0,Playoffs,7,2.8,0.429,1.3,0.7,0.6,0.1,0.3,0.1,0.0,0.1,0.4,0.667,0.0,0.5,0.667,0.654,0.157,0.222,2.0,20.0,10.0,0.211,0.053,0.132,80.0,102.5,-22.5,104.77,0.133,-0.7,92.1,98.7,-6.6,0.175,-22.5,-3.2,-19.3,,,4.16,-1.09,3.07,0.02,0.6097,0.057,6.0,1.8,22.4,,,,,,,,,
1642280,Trentyn Flowers,1610612741,CHI,21.0,Regular Season,2,2.8,0.0,2.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.667,0.0,0.0,0.667,0.667,0.25,0.5,1.0,20.0,20.0,0.1,0.0,0.077,81.8,100.0,-18.2,95.14,0.128,-1.0,81.8,111.3,-29.5,0.267,-18.2,-3.9,-14.3,,,0.15,-2.53,-2.39,-0.0,0.6409,0.0257,3.0,4.9,46.7,-0.1,-0.04,-0.14,20.0,-0.21,0.02,-0.19,129.0,0.0
