PLAYER_ID,HX,HY,FGA,FGM,FG3A,FG3M,SEASON_TYPE
0,0.0,0.0,38252,27039,0,0,Regular Season
0,21.7,37.5,11430,5388,0,0,Regular Season
0,-21.7,37.5,10577,5013,0,0,Regular Season
0,0.0,75.0,5462,2346,0,0,Regular Season
0,129.9,225.0,5189,1893,5189,1893,Regular Season
0,-129.9,225.0,5175,1951,5174,1951,Regular Season
0,-216.5,0.0,4392,1785,4286,1741,Regular Season
0,43.3,0.0,3946,1965,0,0,Regular Season
0,-21.7,262.5,3836,1345,3836,1345,Regular Season
0,238.2,37.5,3803,1469,3799,1468,Regular Season
0,-43.3,0.0,3716,1759,0,0,Regular Season
0,21.7,262.5,3443,1214,3443,1214,Regular Season
0,-238.2,37.5,3260,1284,3260,1284,Regular Season
0,-151.6,187.5,3110,1130,3050,1107,Regular Season
0,216.5,0.0,2987,1188,2927,1168,Regular Season
0,-194.9,187.5,2889,1037,2889,1037,Regular Season
0,151.6,187.5,2810,1040,2752,1022,Regular Season
0,65.0,262.5,2517,879,2517,879,Regular Season
0,-65.0,262.5,2496,872,2496,872,Regular Season
0,194.9,187.5,2469,912,2469,912,Regular Season
0,86.6,225.0,2438,871,2378,848,Regular Season
0,-86.6,225.0,2337,866,2246,833,Regular Season
0,43.3,75.0,2325,1028,0,0,Regular Season
0,21.7,112.5,2312,1053,0,0,Regular Season
0,-21.7,112.5,2300,1029,0,0,Regular Season
0,-43.3,75.0,2287,966,0,0,Regular Season
0,65.0,37.5,2239,887,0,0,Regular Season
0,-216.5,150.0,2122,838,2122,838,Regular Season
0,0.0,150.0,2026,919,0,0,Regular Season
0,-65.0,37.5,1957,793,0,0,Regular Season
0,-173.2,225.0,1924,650,1924,650,Regular Season
0,216.5,150.0,1878,676,1878,676,Regular Season
0,108.3,262.5,1650,562,1650,562,Regular Season
0,-108.3,262.5,1585,556,1585,556,Regular Season
0,65.0,112.5,1576,701,0,0,Regular Season
0,173.2,225.0,1571,553,1571,553,Regular Season
0,216.5,75.0,1506,547,1446,526,Regular Season
0,-65.0,112.5,1396,615,0,0,Regular Season
0,86.6,150.0,1289,565,0,0,Regular Season
