PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1630573,Sam Hauser,BOS,0.99,-0.63,0.36,2021-22,1.0,-0.66,0.34,326,Regular Season
1629018,Gary Trent Jr.,TOR,0.25,0.11,0.36,2021-22,0.22,0.15,0.37,5012,Regular Season
1630538,Bones Hyland,DEN,0.57,-0.21,0.36,2021-22,0.57,-0.24,0.33,2696,Regular Season
201568,Danilo Gallinari,ATL,0.28,0.08,0.36,2021-22,0.34,0.1,0.44,3444,Regular Season
1630792,Malcolm Hill,CHI,0.25,0.1,0.35,2021-22,0.23,0.14,0.37,448,Regular Season
203081,Damian Lillard,POR,0.97,-0.62,0.35,2021-22,1.02,-0.65,0.37,2195,Regular Season
202331,Paul George,LAC,-0.34,0.69,0.35,2021-22,-0.29,0.63,0.34,2258,Regular Season
1628998,Cody Martin,CHA,-0.17,0.51,0.34,2021-22,-0.16,0.55,0.39,3894,Regular Season
1628436,Luke Kornet,BOS,0.27,0.06,0.33,2021-22,0.24,0.13,0.37,215,Regular Season
1626162,Kelly Oubre Jr.,CHA,0.41,-0.08,0.33,2021-22,0.39,-0.05,0.34,4253,Regular Season
1626204,Larry Nance Jr.,NOP,-0.16,0.47,0.31,2021-22,-0.16,0.49,0.33,2121,Regular Season
201933,Blake Griffin,BKN,-0.28,0.59,0.31,2021-22,-0.19,0.61,0.42,2030,Regular Season
1630647,Eugene Omoruyi,DAL,1.03,-0.73,0.3,2021-22,1.06,-0.69,0.37,38,Regular Season
203110,Draymond Green,GSW,-0.57,0.87,0.3,2021-22,-0.52,0.8,0.28,2808,Regular Season
203084,Harrison Barnes,SAC,0.6,-0.32,0.28,2021-22,0.61,-0.29,0.32,5473,Regular Season
1630188,Jalen Smith,IND,0.01,0.26,0.27,2021-22,0.03,0.28,0.31,1926,Regular Season
203516,James Ennis III,DEN,-0.14,0.39,0.25,2021-22,-0.14,0.44,0.3,120,Regular Season
1629673,Jordan Poole,GSW,0.83,-0.58,0.25,2021-22,0.81,-0.61,0.2,4750,Regular Season
203994,Jusuf Nurkić,POR,-0.19,0.44,0.25,2021-22,-0.17,0.42,0.25,3252,Regular Season
1629750,Javonte Green,CHI,-0.12,0.36,0.24,2021-22,-0.14,0.41,0.27,3166,Regular Season
1630170,Devin Vassell,SAS,-0.15,0.39,0.24,2021-22,-0.15,0.41,0.26,4124,Regular Season
1629020,Jarred Vanderbilt,MIN,-0.5,0.72,0.22,2021-22,-0.51,0.76,0.25,3969,Regular Season
1629033,Theo Pinson,DAL,-0.07,0.29,0.22,2021-22,-0.05,0.3,0.25,314,Regular Season
203506,Victor Oladipo,MIA,0.8,-0.58,0.22,2021-22,0.79,-0.63,0.16,362,Regular Season
1629622,Max Strus,MIA,0.6,-0.4,0.2,2021-22,0.61,-0.42,0.19,3194,Regular Season
1630179,Tyrell Terry,MEM,1.97,-1.77,0.2,2021-22,1.77,-1.83,-0.06,8,Regular Season
203457,Nerlens Noel,NYK,-1.32,1.52,0.2,2021-22,-1.29,1.58,0.29,1142,Regular Season
203915,Spencer Dinwiddie,DAL,0.51,-0.32,0.19,2021-22,0.54,-0.33,0.21,4038,Regular Season
1629048,Goga Bitadze,IND,0.16,0.02,0.18,2021-22,0.13,0.05,0.18,1518,Regular Season
