TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,SEASON_TYPE
1610612744,GSW,Golden State Warriors,2021-10-19,GSW @ LAL,W,121,50,30,9,2,17,0.441,0.359,0.833,7,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-19,LAL vs. GSW,L,114,45,21,7,4,18,0.474,0.357,0.474,-7,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-19,MIL vs. BKN,W,127,54,25,8,9,8,0.457,0.378,0.778,23,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-19,BKN @ MIL,L,104,44,19,3,9,13,0.44,0.531,0.565,-23,Regular Season
1610612738,BOS,Boston Celtics,2021-10-20,BOS @ NYK,L,134,56,34,13,9,18,0.41,0.368,0.739,-4,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-20,CLE @ MEM,L,121,36,38,6,5,11,0.505,0.368,0.722,-11,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-20,NOP vs. PHI,L,97,44,28,5,6,14,0.419,0.433,0.667,-20,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-20,CHI @ DET,W,94,48,18,8,5,17,0.43,0.304,0.867,6,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-20,DEN @ PHX,W,110,46,25,9,1,19,0.53,0.436,0.556,12,Regular Season
1610612745,HOU,Houston Rockets,2021-10-20,HOU @ MIN,L,106,41,21,13,3,24,0.455,0.333,0.682,-18,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-10-20,MIN vs. HOU,W,124,46,26,18,12,18,0.483,0.421,0.774,18,Regular Season
1610612752,NYK,New York Knicks,2021-10-20,NYK vs. BOS,W,138,55,27,9,10,19,0.486,0.378,0.704,4,Regular Season
1610612753,ORL,Orlando Magic,2021-10-20,ORL @ SAS,L,97,44,17,6,6,16,0.407,0.31,0.783,-26,Regular Season
1610612754,IND,Indiana Pacers,2021-10-20,IND @ CHA,L,122,51,29,2,10,17,0.467,0.362,0.875,-1,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-20,PHI @ NOP,W,117,47,24,9,5,13,0.518,0.52,0.8,20,Regular Season
1610612756,PHX,Phoenix Suns,2021-10-20,PHX vs. DEN,L,98,45,23,9,3,18,0.414,0.378,0.706,-12,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-20,POR vs. SAC,L,121,49,25,5,5,13,0.484,0.343,0.864,-3,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-20,SAC @ POR,W,124,43,24,6,4,10,0.457,0.415,0.793,3,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-20,SAS vs. ORL,W,123,43,32,8,3,8,0.5,0.433,0.667,26,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-20,OKC @ UTA,L,86,50,19,4,2,15,0.374,0.2,0.611,-21,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-20,TOR vs. WAS,L,83,54,14,10,4,19,0.309,0.206,0.727,-15,Regular Season
1610612762,UTA,Utah Jazz,2021-10-20,UTA vs. OKC,W,107,53,18,6,5,10,0.44,0.298,0.867,21,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-20,MEM vs. CLE,W,132,53,28,8,8,12,0.53,0.424,1.0,11,Regular Season
1610612764,WAS,Washington Wizards,2021-10-20,WAS @ TOR,W,98,51,20,14,8,22,0.444,0.185,0.808,15,Regular Season
1610612765,DET,Detroit Pistons,2021-10-20,DET vs. CHI,L,88,47,17,7,5,17,0.4,0.214,0.769,-6,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-20,CHA vs. IND,W,123,46,29,9,5,8,0.43,0.419,0.667,1,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-21,ATL vs. DAL,W,113,55,31,8,9,13,0.479,0.429,0.889,26,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-21,DAL @ ATL,L,87,50,16,7,3,15,0.333,0.302,0.923,-26,Regular Season
1610612744,GSW,Golden State Warriors,2021-10-21,GSW vs. LAC,W,115,53,27,5,4,21,0.518,0.484,0.636,2,Regular Season
1610612746,LAC,LA Clippers,2021-10-21,LAC @ GSW,L,113,39,24,9,2,7,0.438,0.35,0.714,-2,Regular Season
1610612748,MIA,Miami Heat,2021-10-21,MIA vs. MIL,W,137,58,28,8,2,11,0.531,0.429,0.645,42,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-21,MIL @ MIA,L,95,38,19,6,0,15,0.381,0.286,0.655,-42,Regular Season
1610612738,BOS,Boston Celtics,2021-10-22,BOS vs. TOR,L,83,42,19,6,12,25,0.39,0.324,0.727,-32,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-22,CLE vs. CHA,L,112,36,26,9,3,19,0.512,0.29,0.85,-11,Regular Season
