TeamID,TeamCity,TeamName,Conference,Division,ConferenceRecord,PlayoffRank,WINS,LOSSES,WinPCT,HOME,ROAD,L10,STREAK,GB,TEAM_ABBREVIATION,SEASON_TYPE
1610612748,Miami,Heat,East,Southeast,35-17,1,53,29,0.646,29-12,24-17,6-4,L 1,0.0,MIA,Regular Season
1610612756,Phoenix,Suns,West,Pacific,39-13,1,64,18,0.78,32-9,32-9,6-4,L 1,0.0,PHX,Regular Season
1610612738,Boston,Celtics,East,Atlantic,33-19,2,51,31,0.622,28-13,23-18,7-3,W 1,2.0,BOS,Regular Season
1610612763,Memphis,Grizzlies,West,Southwest,36-16,2,56,26,0.683,30-11,26-15,7-3,L 1,8.0,MEM,Regular Season
1610612744,Golden State,Warriors,West,Pacific,33-19,3,53,29,0.646,31-10,22-19,6-4,W 5,11.0,GSW,Regular Season
1610612749,Milwaukee,Bucks,East,Central,33-19,3,51,31,0.622,27-14,24-17,6-4,L 1,2.0,MIL,Regular Season
1610612742,Dallas,Mavericks,West,Southwest,36-16,4,52,30,0.634,29-12,23-18,8-2,W 4,12.0,DAL,Regular Season
1610612755,Philadelphia,76ers,East,Atlantic,32-20,4,51,31,0.622,24-17,27-14,6-4,W 2,2.0,PHI,Regular Season
1610612761,Toronto,Raptors,East,Atlantic,30-22,5,48,34,0.585,24-17,24-17,8-2,L 1,5.0,TOR,Regular Season
1610612762,Utah,Jazz,West,Northwest,33-19,5,49,33,0.598,29-12,20-21,4-6,W 1,15.0,UTA,Regular Season
1610612741,Chicago,Bulls,East,Central,29-23,6,46,36,0.561,27-14,19-22,4-6,W 1,7.0,CHI,Regular Season
1610612743,Denver,Nuggets,West,Northwest,29-23,6,48,34,0.585,23-18,25-16,6-4,L 1,16.0,DEN,Regular Season
1610612750,Minnesota,Timberwolves,West,Northwest,32-20,7,46,36,0.561,26-15,20-21,4-6,L 1,18.0,MIN,Regular Season
1610612751,Brooklyn,Nets,East,Atlantic,31-21,7,44,38,0.537,20-21,24-17,6-4,W 4,9.0,BKN,Regular Season
1610612739,Cleveland,Cavaliers,East,Central,27-25,8,44,38,0.537,25-16,19-22,3-7,W 1,9.0,CLE,Regular Season
1610612746,LA,Clippers,West,Pacific,26-26,8,42,40,0.512,25-16,17-24,6-4,W 5,22.0,LAC,Regular Season
1610612737,Atlanta,Hawks,East,Southeast,26-26,9,43,39,0.524,27-14,16-25,7-3,W 1,10.0,ATL,Regular Season
1610612740,New Orleans,Pelicans,West,Southwest,25-27,9,36,46,0.439,19-22,17-24,6-4,L 2,28.0,NOP,Regular Season
1610612759,San Antonio,Spurs,West,Southwest,24-28,10,34,48,0.415,16-25,18-23,6-4,L 3,30.0,SAS,Regular Season
1610612766,Charlotte,Hornets,East,Southeast,27-25,10,43,39,0.524,22-19,21-20,6-4,W 3,10.0,CHA,Regular Season
1610612747,Los Angeles,Lakers,West,Pacific,18-34,11,33,49,0.402,21-20,12-29,2-8,W 2,31.0,LAL,Regular Season
1610612752,New York,Knicks,East,Atlantic,22-30,11,37,45,0.451,17-24,20-21,7-3,W 2,16.0,NYK,Regular Season
1610612758,Sacramento,Kings,West,Pacific,20-32,12,30,52,0.366,16-25,14-27,5-5,W 1,34.0,SAC,Regular Season
1610612764,Washington,Wizards,East,Southeast,24-28,12,35,47,0.427,21-20,14-27,5-5,L 3,18.0,WAS,Regular Season
1610612754,Indiana,Pacers,East,Central,11-41,13,25,57,0.305,16-25,9-32,0-10,L 10,28.0,IND,Regular Season
1610612757,Portland,Trail Blazers,West,Northwest,11-41,13,27,55,0.329,17-24,10-31,0-10,L 11,37.0,POR,Regular Season
1610612760,Oklahoma City,Thunder,West,Northwest,17-35,14,24,58,0.293,12-29,12-29,4-6,L 3,40.0,OKC,Regular Season
1610612765,Detroit,Pistons,East,Central,18-34,14,23,59,0.28,13-28,10-31,4-6,L 3,30.0,DET,Regular Season
1610612745,Houston,Rockets,West,Southwest,11-41,15,20,62,0.244,11-30,9-32,2-8,L 7,44.0,HOU,Regular Season
1610612753,Orlando,Magic,East,Southeast,12-40,15,22,60,0.268,12-29,10-31,3-7,W 1,31.0,ORL,Regular Season
