TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,FTA_RATE_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON_TYPE
1610612756,Phoenix Suns,72,51,21,0.708,48.6,43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,115.3,5.8,1,2,2,2,1,2,16,2,13,15,7,28,29,2,28,18,23,3,4,19,25,1,14,28,7,4,114.9,116.3,108.8,110.4,6.1,5.9,0.622,2.15,19.6,0.248,0.741,0.5,0.126,0.564,0.597,99.3,98.0,81.67,7137,0.534,7,6,3,9,1,1,25,11,14,4,3,3,24,3,0.212,0.534,0.25,0.137,0.259,29,10,15,16,11,Regular Season
1610612757,Portland Trail Blazers,72,42,30,0.583,48.1,41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,116.1,1.8,1,8,8,8,24,15,4,23,2,2,6,6,13,3,3,20,12,30,1,25,13,10,10,16,5,12,114.9,117.1,113.4,115.3,1.5,1.8,0.515,1.92,15.9,0.273,0.731,0.495,0.112,0.54,0.577,100.8,98.97,82.48,7137,0.493,2,29,12,30,7,30,10,20,18,1,15,13,19,20,0.238,0.546,0.258,0.125,0.269,22,22,21,27,20,Regular Season
1610612758,Sacramento Kings,72,31,41,0.431,48.1,42.6,88.6,0.481,12.1,33.3,0.364,16.4,22.0,0.745,9.4,32.0,41.4,25.5,13.4,7.5,5.0,4.7,19.4,18.7,113.7,-3.7,1,21,21,21,24,8,13,6,19,20,16,21,11,25,22,30,30,12,11,16,15,13,20,19,11,24,111.1,112.7,114.6,116.5,-3.5,-3.8,0.599,1.91,18.4,0.253,0.713,0.482,0.133,0.549,0.578,102.2,100.71,83.92,7266,0.481,12,30,24,17,8,10,20,29,26,8,9,12,9,24,0.248,0.557,0.253,0.136,0.287,12,30,16,17,29,Regular Season
1610612759,San Antonio Spurs,72,33,39,0.458,48.6,41.9,90.5,0.462,9.9,28.4,0.35,17.4,22.0,0.792,9.3,34.6,43.9,24.4,11.4,7.0,5.1,5.1,18.0,18.6,111.1,-1.7,1,19,19,19,1,11,7,20,30,30,24,9,12,10,24,16,18,16,2,22,10,19,3,22,20,21,108.6,110.5,110.7,112.0,-2.1,-1.5,0.584,2.14,17.9,0.243,0.733,0.485,0.113,0.517,0.554,101.0,99.45,82.87,7236,0.493,19,17,21,20,2,16,27,18,24,2,27,26,15,21,0.243,0.541,0.23,0.131,0.267,14,17,6,21,18,Regular Season
1610612760,Oklahoma City Thunder,72,22,50,0.306,48.2,38.8,88.0,0.441,11.9,35.1,0.339,15.5,21.3,0.725,9.9,35.7,45.6,22.1,16.1,7.0,4.4,5.3,18.1,18.6,105.0,-10.6,1,26,26,26,19,27,19,29,20,13,29,29,17,30,14,3,6,27,30,23,23,21,6,23,28,30,101.3,102.8,111.9,113.4,-10.5,-10.6,0.568,1.37,16.1,0.254,0.742,0.494,0.158,0.509,0.539,103.1,101.61,84.67,7353,0.442,30,24,30,26,30,29,19,10,20,30,28,29,7,30,0.242,0.547,0.216,0.128,0.258,16,23,4,23,10,Regular Season
1610612761,Toronto Raptors,72,27,45,0.375,48.1,39.7,88.7,0.448,14.5,39.3,0.368,17.4,21.3,0.815,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,111.3,-0.5,1,24,24,24,24,23,12,26,4,4,15,10,17,4,20,29,28,20,8,4,4,27,28,12,19,19,109.3,111.6,109.8,112.0,-0.5,-0.4,0.607,1.82,17.7,0.256,0.716,0.479,0.133,0.529,0.567,101.6,99.57,82.98,7177,0.486,16,15,19,14,15,19,18,28,28,9,21,20,14,23,0.241,0.543,0.293,0.162,0.284,18,20,30,1,28,Regular Season
1610612762,Utah Jazz,72,52,20,0.722,48.2,41.3,88.1,0.468,16.7,43.0,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,116.4,9.3,1,1,1,1,19,17,18,16,1,1,4,12,14,8,4,2,1,23,18,29,8,3,8,17,4,1,115.1,116.5,105.7,107.5,9.4,9.0,0.573,1.66,17.3,0.284,0.757,0.529,0.142,0.563,0.597,100.8,99.37,82.81,7193,0.542,4,3,1,22,23,22,5,2,1,19,5,4,16,1,0.244,0.507,0.207,0.115,0.243,13,1,2,30,2,Regular Season
1610612763,Memphis Grizzlies,72,38,34,0.528,48.3,42.8,91.8,0.467,11.2,31.4,0.356,16.4,21.3,0.771,11.2,35.3,46.5,26.9,13.3,9.1,5.1,5.2,18.7,18.3,113.3,1.0,1,15,15,15,11,7,2,18,24,23,20,19,17,18,2,9,4,4,10,1,12,20,9,25,15,15,109.7,111.7,108.5,110.5,1.2,1.2,0.628,2.03,18.9,0.285,0.736,0.507,0.131,0.528,0.56,102.6,100.77,83.98,7302,0.511,15,7,14,7,3,9,4,15,11,6,22,22,8,9,0.232,0.535,0.249,0.146,0.264,25,12,14,8,15,Regular Season
1610612764,Washington Wizards,72,34,38,0.472,48.3,43.2,90.9,0.475,10.2,29.0,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,14.4,7.3,4.1,4.8,21.6,22.0,116.6,-1.8,1,17,17,17,11,5,5,10,28,29,23,1,1,19,15,6,8,13,20,18,28,15,30,1,3,22,108.9,110.7,110.5,112.3,-1.7,-1.6,0.59,1.77,17.8,0.25,0.736,0.494,0.137,0.531,0.569,106.4,104.67,87.22,7585,0.496,17,20,22,19,19,17,24,16,19,16,20,18,1,19,0.288,0.539,0.277,0.139,0.264,3,15,28,15,16,Regular Season
1610612765,Detroit Pistons,72,20,52,0.278,48.4,38.7,85.6,0.452,11.6,32.9,0.351,17.8,23.4,0.759,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,106.6,-4.5,1,29,29,29,6,28,29,24,22,21,22,7,5,24,18,26,25,18,25,17,8,28,26,5,27,25,105.4,107.6,110.3,112.2,-4.9,-4.5,0.626,1.62,17.8,0.267,0.725,0.493,0.151,0.519,0.556,100.1,98.19,81.82,7132,0.473,26,19,25,8,26,18,15,24,21,26,26,24,23,25,0.273,0.541,0.257,0.141,0.275,5,18,19,14,24,Regular Season
1610612766,Charlotte Hornets,72,33,39,0.458,48.2,39.9,87.8,0.455,13.7,37.0,0.369,15.9,20.9,0.761,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18.0,18.6,109.5,-1.9,1,19,19,19,19,22,20,22,10,9,14,26,24,21,6,25,19,5,24,10,16,14,5,21,23,23,108.1,110.1,110.6,112.0,-2.5,-1.9,0.672,1.81,19.2,0.276,0.722,0.496,0.149,0.532,0.564,100.6,99.0,82.5,7159,0.489,23,16,23,1,16,7,9,26,17,25,19,21,18,22,0.238,0.55,0.219,0.148,0.278,21,26,5,6,26,Regular Season
1610612737,Atlanta Hawks,18,10,8,0.556,48.0,38.9,86.8,0.449,11.7,34.2,0.343,16.7,20.9,0.798,9.1,33.3,42.4,20.2,12.4,6.7,4.4,4.3,21.2,20.3,106.3,-1.5,4,3,14,5,6,12,8,12,9,10,10,10,10,8,11,6,9,13,9,7,6,7,12,8,12,8,107.0,108.8,108.6,110.5,-1.6,-1.8,0.519,1.63,15.5,0.256,0.711,0.486,0.127,0.516,0.554,99.3,97.61,81.34,1759,0.483,12,7,8,14,11,12,12,12,13,8,11,11,5,8,0.241,0.52,0.273,0.132,0.289,9,5,11,5,12,Playoffs
1610612738,Boston Celtics,5,1,4,0.2,48.0,38.4,88.2,0.435,12.8,36.6,0.35,22.6,27.4,0.825,12.6,28.8,41.4,21.0,13.0,6.4,7.0,6.6,21.0,23.4,112.2,-11.2,12,12,1,12,6,13,7,13,7,4,9,1,3,4,2,16,13,10,12,10,1,14,10,3,7,14,111.5,115.9,126.4,128.0,-14.9,-12.1,0.547,1.62,15.5,0.355,0.699,0.513,0.134,0.508,0.56,99.2,96.6,80.5,484,0.439,5,16,14,8,12,13,1,13,4,13,12,8,8,14,0.311,0.582,0.324,0.118,0.301,3,15,15,11,13,Playoffs
1610612742,Dallas Mavericks,7,3,4,0.429,48.0,39.1,86.0,0.455,13.6,35.0,0.388,14.1,20.0,0.707,10.3,30.3,40.6,20.7,11.0,5.6,2.1,5.0,20.3,20.6,106.0,-5.1,9,9,1,8,6,10,11,11,6,8,4,16,15,15,8,14,16,12,3,13,16,10,5,7,13,9,111.0,114.2,120.2,119.7,-9.2,-5.5,0.529,1.88,16.2,0.29,0.753,0.503,0.118,0.534,0.559,94.0,92.86,77.38,650,0.448,9,10,10,13,8,9,5,4,7,4,8,9,16,11,0.233,0.571,0.293,0.118,0.247,11,12,12,10,4,Playoffs
1610612743,Denver Nuggets,10,4,6,0.4,49.0,42.1,92.2,0.457,14.7,38.5,0.382,15.9,20.9,0.761,11.7,31.9,43.6,24.9,11.2,6.1,4.3,4.9,20.4,20.3,114.8,-5.5,8,8,12,9,3,3,2,10,3,3,5,13,9,12,4,13,4,2,4,11,7,9,6,9,5,10,113.8,116.8,119.5,122.1,-5.7,-5.3,0.591,2.22,18.0,0.295,0.738,0.501,0.114,0.536,0.566,98.7,96.39,80.33,983,0.469,4,13,9,2,1,2,3,5,8,2,7,7,9,9,0.227,0.576,0.256,0.117,0.262,14,14,8,12,5,Playoffs
1610612746,LA Clippers,19,10,9,0.526,48.0,39.1,81.9,0.477,13.8,36.4,0.381,19.5,23.7,0.823,8.8,32.4,41.2,20.8,10.7,6.8,4.3,2.7,19.5,21.3,111.6,4.1,3,3,16,7,6,11,16,3,4,5,7,4,6,5,14,11,15,11,2,6,8,1,2,4,8,5,118.3,119.2,112.3,114.5,6.1,4.8,0.532,1.95,16.6,0.247,0.719,0.492,0.114,0.562,0.604,95.0,93.76,78.14,1778,0.534,3,8,4,12,5,7,13,10,11,3,3,3,15,4,0.29,0.543,0.227,0.124,0.281,5,9,3,7,10,Playoffs
1610612747,Los Angeles Lakers,6,2,4,0.333,48.0,34.3,83.0,0.414,9.8,32.8,0.299,19.0,24.5,0.776,10.5,32.7,43.2,19.3,13.8,6.7,4.0,5.0,20.5,21.0,97.5,-6.5,10,10,1,10,6,16,15,14,15,11,15,7,4,10,7,10,6,15,15,8,12,10,7,6,15,11,100.4,102.6,109.0,109.3,-8.6,-6.7,0.563,1.4,15.0,0.277,0.781,0.517,0.146,0.473,0.52,96.3,95.08,79.24,570,0.442,14,5,11,5,16,15,9,1,3,16,14,14,12,13,0.295,0.53,0.253,0.131,0.219,4,7,6,6,1,Playoffs
1610612748,Miami Heat,4,0,4,0.0,49.3,35.3,89.3,0.395,12.0,35.8,0.336,15.5,20.3,0.765,9.0,33.3,42.3,21.5,14.0,7.3,3.5,3.0,20.5,20.0,98.0,-20.5,16,16,1,16,2,14,4,16,8,6,12,14,13,11,12,7,11,9,16,4,14,2,7,12,14,16,95.0,95.4,113.9,115.0,-18.9,-19.7,0.61,1.54,15.8,0.212,0.664,0.43,0.136,0.462,0.499,101.0,100.26,83.55,411,0.389,16,9,16,1,13,11,16,16,16,14,15,16,3,16,0.227,0.538,0.235,0.146,0.336,13,8,4,1,16,Playoffs
1610612749,Milwaukee Bucks,23,16,7,0.696,48.4,42.1,91.1,0.462,11.2,35.0,0.321,14.9,20.8,0.718,12.8,36.1,49.0,22.8,12.7,7.8,4.2,3.8,18.0,20.1,110.3,5.1,1,1,13,1,4,4,3,8,10,9,14,15,11,14,1,1,1,5,10,3,9,5,1,11,9,3,110.1,112.2,105.3,106.8,4.8,5.3,0.542,1.79,16.7,0.31,0.765,0.531,0.13,0.524,0.55,99.1,97.51,81.26,2262,0.531,11,1,3,10,9,6,2,3,1,11,9,12,6,5,0.228,0.523,0.197,0.134,0.235,12,6,1,3,3,Playoffs
1610612751,Brooklyn Nets,12,7,5,0.583,48.4,40.7,86.2,0.472,13.6,35.6,0.382,17.6,20.3,0.868,8.3,34.3,42.6,22.6,11.6,7.1,4.8,6.2,21.2,18.6,112.5,6.3,5,5,9,3,5,7,10,5,5,7,6,9,13,1,15,5,8,6,5,5,4,12,11,15,6,2,114.3,115.9,105.8,109.3,8.5,6.6,0.555,1.95,17.3,0.242,0.698,0.484,0.119,0.551,0.592,98.5,96.29,80.24,1165,0.539,6,4,2,6,4,4,14,14,15,5,5,4,10,2,0.235,0.502,0.253,0.133,0.302,10,1,7,4,14,Playoffs
1610612752,New York Knicks,5,1,4,0.2,48.0,34.4,86.4,0.398,10.4,30.4,0.342,17.8,21.8,0.817,11.8,34.6,46.4,18.6,12.2,5.8,2.8,6.8,19.8,19.0,97.0,-7.0,12,12,1,12,6,15,9,15,13,13,11,8,8,6,3,4,2,16,8,12,15,15,4,14,16,12,100.6,102.1,108.3,109.7,-7.6,-7.6,0.541,1.52,14.4,0.289,0.781,0.521,0.128,0.458,0.505,96.2,94.9,79.08,475,0.448,15,6,12,11,14,16,6,2,2,10,16,15,13,12,0.252,0.519,0.226,0.114,0.219,8,4,2,14,2,Playoffs
1610612755,Philadelphia 76ers,12,7,5,0.583,48.0,42.5,85.8,0.496,11.2,28.4,0.393,20.1,29.3,0.685,9.0,35.7,44.7,24.9,12.8,8.0,6.2,3.8,23.0,23.8,116.3,7.5,5,5,9,3,6,2,12,1,12,15,3,3,1,16,12,2,3,1,11,1,2,4,14,1,3,1,113.4,115.6,106.2,107.5,7.3,8.1,0.586,1.94,18.1,0.26,0.734,0.505,0.128,0.561,0.589,102.5,100.88,84.06,1207,0.552,7,2,1,3,6,1,11,7,6,9,4,5,2,1,0.342,0.502,0.305,0.124,0.266,1,2,14,8,7,Playoffs
1610612756,Phoenix Suns,22,14,8,0.636,48.0,40.9,85.0,0.481,11.2,29.7,0.376,16.0,18.6,0.861,8.0,34.7,42.7,23.2,11.9,6.5,4.2,3.6,19.7,18.5,109.0,4.5,2,2,14,2,6,6,13,2,11,14,8,12,16,2,16,3,7,3,7,9,10,3,3,16,11,4,112.2,113.2,107.4,109.0,4.8,4.2,0.568,1.95,17.9,0.234,0.725,0.494,0.124,0.547,0.585,97.3,96.09,80.08,2118,0.536,10,3,5,4,3,3,15,9,10,7,6,6,11,3,0.219,0.507,0.259,0.123,0.275,15,3,9,9,9,Playoffs
1610612757,Portland Trail Blazers,6,2,4,0.333,49.7,42.0,88.3,0.475,16.2,39.2,0.413,19.3,22.7,0.853,9.3,32.3,41.7,22.8,11.8,5.2,5.5,4.5,23.2,20.2,119.5,-1.3,10,10,1,10,1,5,6,4,2,2,1,6,7,3,10,12,12,4,6,15,3,8,15,10,1,7,118.5,122.1,119.2,122.9,-0.7,-0.7,0.544,1.93,17.1,0.277,0.68,0.484,0.121,0.567,0.608,97.7,94.79,78.99,587,0.484,1,14,6,9,7,5,10,15,14,6,2,2,14,7,0.257,0.555,0.267,0.114,0.32,7,10,10,15,15,Playoffs
1610612762,Utah Jazz,11,6,5,0.545,48.0,39.7,84.2,0.472,18.0,43.6,0.413,19.5,24.3,0.801,9.4,33.0,42.4,19.6,13.5,5.2,4.1,4.3,21.5,21.1,116.9,-0.8,7,7,9,6,6,9,14,6,1,1,2,5,5,7,9,8,10,14,14,14,11,6,13,5,2,6,118.1,120.1,119.3,121.7,-1.1,-1.6,0.494,1.46,15.1,0.283,0.735,0.512,0.138,0.579,0.616,98.8,97.05,80.87,1071,0.485,2,12,7,16,15,14,7,6,5,15,1,1,7,6,0.288,0.562,0.252,0.108,0.265,6,11,5,16,6,Playoffs
1610612763,Memphis Grizzlies,5,1,4,0.2,48.0,44.2,94.4,0.468,10.4,31.6,0.329,16.2,20.4,0.794,11.2,30.0,41.2,22.0,10.4,8.0,4.0,6.2,20.6,19.2,115.0,-8.4,12,12,1,12,6,1,1,7,13,12,13,11,12,9,5,15,14,8,1,1,12,13,9,13,4,13,112.1,115.0,121.3,123.4,-9.2,-8.4,0.498,2.12,16.2,0.279,0.729,0.489,0.104,0.523,0.556,102.2,100.0,83.33,500,0.459,8,15,13,15,2,8,8,8,12,1,10,10,4,10,0.216,0.586,0.303,0.136,0.271,16,16,13,2,8,Playoffs
1610612764,Washington Wizards,5,1,4,0.2,48.0,40.6,88.6,0.458,7.0,24.2,0.289,21.8,29.0,0.752,10.6,32.8,43.4,22.4,13.4,4.8,4.8,7.2,24.0,23.8,110.0,-14.0,12,12,1,12,6,8,5,9,16,16,16,2,2,13,6,9,5,7,13,16,5,16,16,2,10,15,105.6,107.0,118.2,121.1,-12.6,-14.1,0.552,1.67,16.0,0.29,0.717,0.496,0.13,0.498,0.543,104.5,102.6,85.5,514,0.426,13,11,15,7,10,10,4,11,9,12,13,13,1,15,0.327,0.575,0.333,0.115,0.283,2,13,16,13,11,Playoffs
