PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1642844,Dylan Harper,1610612759,SAS,19.0,39,835.0,101,64,37,46,0,5,10,13,10,23,0.565,0.435,0,5,5,3,5,0.0,1.0,1.0,0.6,Regular Season
1630700,Dyson Daniels,1610612737,ATL,22.0,49,1667.0,298,166,132,207,3,69,166,25,21,46,0.543,0.457,7,17,23,20,24,0.292,0.708,1.0,0.87,Regular Season
1630604,E.J. Liddell,1610612751,BKN,25.0,6,28.0,5,4,1,2,0,0,0,0,0,0,0.0,0.0,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
1642856,Egor Dëmin,1610612751,BKN,19.0,42,1034.0,164,99,65,74,2,9,22,11,7,18,0.611,0.389,0,13,13,5,13,0.0,1.0,1.0,0.385,Regular Season
1641989,Elijah Harkless,1610612762,UTA,25.0,6,65.0,13,5,8,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1641801,Emanuel Miller,1610612739,CLE,25.0,4,29.0,3,3,0,2,0,0,0,1,2,3,0.333,0.667,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
201569,Eric Gordon,1610612755,PHI,37.0,5,68.0,6,1,5,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630679,Ethan Thompson,1610612754,IND,26.0,17,303.0,56,33,23,22,1,8,19,2,0,2,1.0,0.0,1,6,7,2,7,0.143,0.857,1.0,0.286,Regular Season
1630596,Evan Mobley,1610612739,CLE,24.0,42,1402.0,460,321,139,82,0,89,203,14,10,24,0.583,0.417,18,56,73,49,74,0.243,0.757,0.986,0.662,Regular Season
1630532,Franz Wagner,1610612753,ORL,24.0,26,854.0,115,67,48,59,1,7,17,9,9,18,0.5,0.5,0,19,19,8,19,0.0,1.0,1.0,0.421,Regular Season
1641713,GG Jackson,1610612763,MEM,21.0,24,454.0,97,63,34,38,0,5,11,2,5,7,0.286,0.714,2,4,6,3,6,0.333,0.667,1.0,0.5,Regular Season
